Place,Type,Size,Neighborhood,Address,Ambience,Purchase Required,Parking Situation,Free Wi-Fi,Has Cinnamon Rolls,Has Reviews,Description,Website,Google Maps Profile URL,Apple Maps Profile URL,Comments,Google Maps Place Id,Latitude,Longitude,Place Enhancements Link,Last Modified Time,Created Time,Operational,Photos
Amelie's Bakery & Café | Carmel Commons,"Bakery,Café",Large,Carmel,"7715 Pineville-Matthews Rd Unit 34B, Charlotte, NC 28226, USA","Eclectic,Charming",Yes,Free,Yes,Yes,Yes,"This charming gathering place draws a crowd for its pastries, light fare & coffee drinks.",http://www.ameliesfrenchbakery.com/,https://maps.google.com/?cid=15148131243291499616,"https://maps.apple.com/?ll=35.0861975,-80.85066499999999&q=Amelie%27s%20Bakery%20%26%20Caf%C3%A9%20%7C%20Carmel%20Commons","Seating by outlets at this location can be a little tricky here so come with a full charge. Other than that, as is consistent across all Amelie's, it's a great place to hangout and read, work, study, chill, etc.",ChIJJ1k-2i6gVogRYNxihxv5ONI,35.0861975,-80.85066499999999,,1/6/2025 12:38pm,11/5/2022 10:30pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqEDuMe26qvw15DpRPDpruqp_3V8WWiT7chTsTKrrb8yOwsSO7-4xhHhA7pLfreLwCVYaRG4iMIg-C7LtkkRRjlYLMM_FtT-xlw=s4800-w4011-h3008', 'https://lh3.googleusercontent.com/places/ANXAkqHxDVi3evpfiV9PE_dYwo2fNHw3-F3n4L_UeJU26M_aiqw9GUI7wuGXqLmgLdPL6zq8ey1_UBiKzM8seg722F5ue9bk9MTiOuM=s4800-w2992-h2992', 'https://lh3.googleusercontent.com/places/ANXAkqGgm-Q6oxZrW6_Dh6Z2C1hMhIDWa8VqUvbhRJexqyDReScP03y91s8VCQXTVp8xroVOOLn_i9uuXX3R9Bg2WsO6QpzoAKZiisk=s4800-w604-h453', 'https://lh3.googleusercontent.com/places/ANXAkqFw76cTYN3qMmcATB6Es1iOE6jmd7kepaIKHy7cLLoWAvoMSUn5AB1mZH9cOt_kRqMMbYUPhQtvijy2Whg4Xqg3NGfbvu7y3cI=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqGa6CJxR5jPRep2uBgLwnzlDdUQAbQnPvkXIJp2EbZVHRi3bYVpSKcC9xQQ8MqGpaAgATMYadhsdSEL7VqAQzu55NFAK3qHSiw=s4800-w3600-h4800', 'https://lh3.googleusercontent.com/places/ANXAkqGv2vWIlJaiHtbtulPI1IMdPyBqUbPhoi2vqJqoed5lvLfVJTeS6dUsdduKagETipnpukaEddvkbCWh1k1pRQzUEdVsHphdN2Q=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqFUUP_jpQDDSEU4dNqPlCt5pxS3Z8jnI688kDr2VclQvJg6q7NRfnWX8umZXalqzl_T5B0K7731YgPxJ8SQaSb11O-WggbZGIg=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqGPLqJIXA7MN_TfGVmfAe3Tt2OOHqjATYEsxhA85_vMkgBD8ILp8Y9iJZF-CEbJtBv8LQ2_TyaZHY4s4p4-cWOgVLVSJRHu9IY=s4800-w3468-h4624', 'https://lh3.googleusercontent.com/places/ANXAkqFnJcfhXsoGwNKB0LX63y1oHjadbVIn3C3_PFomM7iKPQtl6E9LpVoQsxBGV71zlzhnbjtX93C3ICfiuRoFXSPSGzzNoXhppeI=s4800-w3600-h4800', 'https://lh3.googleusercontent.com/places/ANXAkqFKNOBzokUXWb0lsv9Lte3r6SLpjE3mmmkT5RBXAdJfwCSCoPcxR1ivIJgcr-s-VwUvMypcZqsRYIW9SsMvvBU0ciM1dnCCzH8=s4800-w4032-h3024']"
Amelie's Bakery & Café | NoDa,"Bakery,Café",Large,NoDa,"136 E 36th St, Charlotte, NC 28205, USA","Eclectic,Charming",Yes,Free,Yes,Yes,Yes,"This charming gathering place draws a crowd for its pastries, light fare & coffee drinks.",http://www.ameliesfrenchbakery.com/,https://maps.google.com/?cid=8054318092690766109,"https://maps.apple.com/?ll=35.251701,-80.80789709999999&q=Amelie%27s%20Bakery%20%26%20Caf%C3%A9%20%7C%20NoDa","This isn't the original Amelie's if you've been in Charlotte long enough to remember that. They moved, so this is the new ""original"" in a way. The interior design is better than the original, it's bigger, the seating is arranged such that there's plenty of spots for 1-2 people to sit that are out of the way of the bigger tables. The food might be overpriced but I don't go for the food. I'm there for vibes. The vibes are great.",ChIJY_5TrnWgVogRHbnVtqGvxm8,35.251701,-80.80789709999999,,1/7/2025 9:13am,11/6/2022 6:09pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqFZz_n9f7ngliGSAczjV9eKwTS-ZKMq1NeyLE-l6UtW--vVh5dBtniDaWdiFfp1dyIsTCfX-VVCsmHV6iG3W2B2TBumF1NVEYE=s4800-w4800-h3600', 'https://lh3.googleusercontent.com/places/ANXAkqEqbAkFth7-zwU4m9-l6Jg5fg1GCYzLKUSnyuo9XeJgQ9mLmpMn6j3pelLjf7C6WPUxO9TZ9fAPIrPYR1rYqdOI3-_S4G5Rb9U=s4800-w2000-h1333', 'https://lh3.googleusercontent.com/places/ANXAkqEmfN8bTSuW6ygEtSLj1vTOwpGhkHXeW7tSnz2BmZ0ryVhLYeZAQ248zr-GiFt-2LiWoWRO0HCR8YMA33-1uODnvbhVUhmgdDE=s4800-w4080-h3072', 'https://lh3.googleusercontent.com/places/ANXAkqH3i1WyGwwoY5v_Y1wUG_yZBt0_fO9l0w_FK9uIXZnhI6JXG8FCC6uInGXio_NTkn1nuwjpOCSDHRhJW9UpAxqzPUjUkEV5UQg=s4800-w2048-h1365', 'https://lh3.googleusercontent.com/places/ANXAkqHaMqQi4i6GrvuEJD3xv6K1QH39qP5GafflbBEmcoO8swL2CCgMfVhVqebMDfM4zripBy-FS3S2Ncw1Zo7cP7AX9Z5VDNMe5I0=s4800-w4080-h3072', 'https://lh3.googleusercontent.com/places/ANXAkqHsfE6FPekapHCTvBTzcUHW9pbvk7XSGAy8_MVPzhB6NX2Uqaoa_9ySEIosFIWv4Gr-a-u1RgHOuEYte2wVhyPxdse3Z--ozL0=s4800-w4000-h2252', 'https://lh3.googleusercontent.com/places/ANXAkqGCmpm9jktN4NmpmmbBGjZMPJ49QVuJo6lBlAQviv7GMjD4ln3GyGZW6n5__P1pkLBmz_W7kmhaTsPpM_8tBjNOd1FYVwXxvBs=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqGmZtRRvmb5Qx9qzYOEaabF5TBYmJqfaD_9pp-s2tSWBKZKH_0wF1igpAqYPbHj4Z0HXbykIfrdJEgOdNS2T9jVaTCZL3RrrFI=s4800-w4080-h3072', 'https://lh3.googleusercontent.com/places/ANXAkqEN-y_xV51qhgev97Yn3NTpcMjvkjxh4ZtyVPymlSjAA1eHktX4kBIXyCB5HuPxepyifiwINJNLs4f2ZGdVTu7dLGXN3w2VzHI=s4800-w4032-h2268', 'https://lh3.googleusercontent.com/places/ANXAkqHDDZ_ktDDLNGl7SqG83xayZAFJl-enOUFD1Fz7xsYsYsiBuBHi2eTcHXdiR9hlG3_TTGZQK-mkIIT8GDZta7A3RBBzU-ZWaEE=s4800-w3600-h4800']"
Amelie's Bakery & Café | Park Road,"Bakery,Café",Large,Montford,"524 Brandywine Rd, Charlotte, NC 28209, USA","Eclectic,Charming",Yes,Free,Yes,Yes,Yes,"This charming gathering place draws a crowd for its pastries, light fare & coffee drinks.",http://www.ameliesfrenchbakery.com/,https://maps.google.com/?cid=2651193147542650831,"https://maps.apple.com/?ll=35.1733556,-80.8473461&q=Amelie%27s%20Bakery%20%26%20Caf%C3%A9%20%7C%20Park%20Road","One of my favorites. Large space, plenty of seating, excellent, and I mean excellent, organization of seating nearby outlets. There's a raised seating area featuring a row of booth-style seats along the wall. Beneath the padded backs, you'll find a discreet black strip with outlets available for use. They’re easy to overlook, but they’re there! If you frequent this location, as I do, you'll see the same people a lot. Working, reading, studying, etc. Great way to make friends if you're new to the city. Food, pastries (cinnamon rolls🔥) coffee, tea (pro tip, you can get a whole pot of tea. Just ask. It's not on the displayed menu, but it's on the menu). Everything you need to stay a while.",ChIJvVxqVlSeVogRz786_h7uyiQ,35.1733556,-80.8473461,,12/20/2024 3:03pm,11/5/2022 10:30pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqHlbwgoJIKYwtoPVWqqiEhqVGbl68wlxzkuwNpZz8iuPNXEaEebDiub42kUp4koeahNhBnZvDeTG-8ix_kflIty5r6LghtLDMo=s4800-w4800-h3200', 'https://lh3.googleusercontent.com/places/ANXAkqGquu_1Gf7JYVR5v5DHbSPRXE41a9h2T2W-XXOaeMrLaFR6QTsaNO4hrndyBL7NvIpv1f4G9N4GkERQ3JY4bYQSsazTc1Rm_BE=s4800-w2048-h1365', 'https://lh3.googleusercontent.com/places/ANXAkqHvpkgtL2jT7TGv0nJFDDXDX2oukdV7nL15anTL9rZ6QmAUbsFGS19ntNhGDk2gBN-iiPFoHcqMlyghusiKJ4EymtPmQlzh9bE=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqGuer5qVnk1Q43GxEJN-4VfJWMJRIlXr7SoegaWF67v2sLkwJP-0Rgz2I0NZk4cXf9uBdlyM1neg7HSgWIc_e6RXsIXMyzf458=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqH1CzhjHnPz1F_dLD9u3p7P_0rPaG5vg2lBYSjNOycL7kV8u4TqPnTaPOeZgiBhZQibp7jWcQruhtXxSSkNPmgK75Kvyj3CZLE=s4800-w4080-h3072', 'https://lh3.googleusercontent.com/places/ANXAkqH1prRKQ05GLFpr75V4DMEMUL_FmoPzssgSUoAOlUBbrHJcnc9ntYbyHF6WsXSN6Kvh7NXFNz4qeG080CUish_vhTIfgdJYDqU=s4800-w4080-h3072', 'https://lh3.googleusercontent.com/places/ANXAkqGerDitlzWLdQBHKMnc2M1_qLchx9OI1Z6zDXF79zf_aJhDfPinD2tu8Mx91eyFrmesIrEUAWIKrI3PeNL0YXbF_3t0m62YFfU=s4800-w3024-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqFS1X7L9e0AVgQhfYV0xrBsKILP0ChBuW2vS_q5fms9Ec_x253NIcymfdpy1sUB21razsuhycjZrSUKu-QaUH38ayfwX9o8odY=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqEAqvJsMjex_x7HGIVVzf-ADyRNTRhOHStP061hegfOs0le52P7p5XULYcvYd2K2mdlmaZuS9cDPyVeJoWuJ-HIhcuJ-Iqqc68=s4800-w3600-h4800', 'https://lh3.googleusercontent.com/places/ANXAkqFHApD2p4CW588P1pBdw-kss6OPjsVgnF3UjWeo179W4BvUCBHi4DS-r4bdRtiJNyw8Wl9eoVUGak_l8dyGJT8U_h-rCst0XZA=s4800-w1169-h1066']"
Amelie's Bakery & Café | Rock Hill,"Bakery,Café",Large,Rock Hill,"157 E Main St, Rock Hill, SC 29730, USA","Eclectic,Charming",Yes,Free,Yes,Yes,Yes,"This charming gathering place draws a crowd for its pastries, light fare & coffee drinks.",http://www.ameliesfrenchbakery.com/,https://maps.google.com/?cid=7743095968249824219,"https://maps.apple.com/?ll=34.925179,-81.0260237&q=Amelie%27s%20Bakery%20%26%20Caf%C3%A9%20%7C%20Rock%20Hill","This whole area of town has several third places all within walking distance. You could drive, park, and spend a day walking between this Amelie's, The Mercantile, Rock Hill Coffee, and Knowledge Perk. It's worth the drive if you're in Charlotte and haven't gone down to Rock Hill yet. Finish your day at Fountain Park for nice views and a calm relaxing atmosphere. Bring a book!",ChIJISNW2VWIVogR20NKKcIAdWs,34.925179,-81.0260237,,12/26/2024 9:30pm,11/6/2022 6:10pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqFQepcJrIM_fp0Iz5u9YB6wTlnTco23UIdrpf7Fz3MEJ9lWo98IRIO_M7ugsC2hdipjNWVIuoVIG_Vpdt3PdgyGAy4ItLMue5o=s4800-w800-h1200', 'https://lh3.googleusercontent.com/places/ANXAkqFRtIU3wcaP0eDpP2SQOjqrEgT9_thCV3wzMYoxFR5RONqJEvnsq_O2_Mj1_6wCWuFwLp914T6wGew4GK2l8pGH4tSFXmy3tk4=s4800-w3000-h2000', 'https://lh3.googleusercontent.com/places/ANXAkqGr7yCXzHDUmquVSqj_GY0S1oEIS0uDu2A6uUMASmi-TIA1RiLXArIF5rmFG3NQtd8CAIetMjbiVfJrHzMZzLDaG6V9mf9Z0RY=s4800-w4000-h3000', 'https://lh3.googleusercontent.com/places/ANXAkqGTA7nWokONsM9H9xiDrmBu3-HHYmYUc43Tmu9_TCmZHBI-FVYSdRYTWnMQ_2_p6ahKb_-2vWlykg_Zxd182Ml8iAPqlHZLeyQ=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqGb1ReMWrIp8VJd_CxmMruU7Lc6zN_w0wgJnI8Ybjom9cis8E1qSvycvWInXO3e8zFlojoKF-KUMSKVb9qNiyGD8V3c7DlJOKg=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqGIKBrBRmk2anTIPVmtma2wVdixAYBxVGtLGvd_puEDTvUjM41i3s3XwHoC-FPoiIrPKph9zJOmhEZDjWA3YdsGBvMW5lOuR94=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqEK0lScKnbYUq1xU6gwqgz5xK80tvym6-R0fHR5HFQwazqfuUZKU54xkEMxuegLL8MOb4LZiwqryAwzQLPqhW0Wl9hnv4isC80=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqFI_gFIF4LXJ9W0bU77vPAmJRrA3icHv6lqEDBp0j6oziDkbcQH3qmCms_A9chaOxCw0chdvTLTquM68W1e5ggWMP4KvN8foxs=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqESwdTRnl1yonlFmy--jOJWlhhqKCIc6vrHecDmw2uBjtX223ip2E42STqCTxWipjrW9KhBUiAVtl9_fglQ0CzNPfzmlc-wNmk=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqHpL9uM7Xo-eBOWuxjMZAhq34UpyraKys0a7TXhvsvmVypwr_H4B5V2YLE7y-_Fa-2Ne9sUwr1OZr0e7a6OT-j7CX5HZZPLMtc=s4800-w4032-h3024']"
Amelie's Bakery & Café | Uptown,"Bakery,Café",Large,Uptown,"380 S College St, Charlotte, NC 28202, USA","Eclectic,Charming",Yes,Paid,Yes,Yes,Yes,"This cheerful gathering place draws a crowd for its pastries, light fare & coffee drinks.",http://www.ameliesfrenchbakery.com/,https://maps.google.com/?cid=2098583166447930922,"https://maps.apple.com/?ll=35.2242849,-80.8452061&q=Amelie%27s%20Bakery%20%26%20Caf%C3%A9%20%7C%20Uptown","This place is huge. You have the entry level with plenty of seating, but also an upstairs that can easily seat 30 people and a downstairs (that’s sometimes blocked off for private events) that can fit a good chunk of people as well. The only thing about Uptown is if you're driving, you'll have to pay for parking. But if you're on the rail trail or walking distance, definitely make the trek over here.",ChIJBZnWtyigVogRKk6-Z0WqHx0,35.2242849,-80.8452061,,1/6/2025 12:37pm,12/26/2023 1:06pm,Yes,[]
Archive CLT,Coffee Shop,Small,Washington Heights,"2023 Beatties Ford Rd Suite D, Charlotte, NC 28216, USA","Afrocentric,Hip",Yes,Free,Yes,No,Yes,,http://archiveclt.com/,https://maps.google.com/?cid=11088778597899362654,"https://maps.apple.com/?ll=35.2626266,-80.8555297&q=Archive%20CLT","You could drop this spot right into Brooklyn (we're talking Flatbush, Little Caribbean, Little Haiti, Bed-Stuy) and it'd fit right in. It's black owned, black themed, and very cool. The walls are decked with black history, culture, art, and icons. There's a live DJ sometimes playing music Mos Def would approve of. You can catch a group of Bernie Mac/Cedric the Entertainer brand old heads in here on some weekends in full barbershop mode, just chilling. If Dr. Umar (iykyk) ever came to Charlotte this is where he'd want to hang out. Its unapologetically black. It's worth visiting just for the vibes. If you haven't caught on by now I—the creator of this site—am black—and proud!",ChIJzUFGL22hVogRXuG-SGJB45k,35.2626266,-80.8555297,,1/6/2025 12:37pm,8/18/2023 4:02am,Yes,[]
Backyard Brew,Coffee Shop,Small,Dilworth,"1218 East Blvd, Charlotte, NC 28203, USA",,Yes,Free,Unsure,Unsure,Yes,,http://backyardbrew.com/,https://maps.google.com/?cid=15664245035760079760,"https://maps.apple.com/?ll=35.20293840000001,-80.8463147&q=Backyard%20Brew",,ChIJJehEeOadVogRkNMnB96TYtk,35.20293840000001,-80.8463147,,1/6/2025 12:37pm,8/22/2024 10:49am,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqFh7UdM2qrqy6ktaA7JRc-WulBBvKQ0aqJiu8gZLk6XAvFmTsA2NbCYGflkRtxqtzPfpQUHbbJlzWp8YgmoyUj5E_9-Wbvxt1k=s4800-w3540-h4716', 'https://lh3.googleusercontent.com/places/ANXAkqF5o0OxFUuNMV3424D6fCsd75CNUNqo1bGQv1NP4EWLvA8yHLo-L0a63Z0oq1RFkYcOy2GtzXn6-chMIwIH0JKNZJ-dZ6tvZsQ=s4800-w4032-h2268', 'https://lh3.googleusercontent.com/places/ANXAkqG4tcHJPiQe_qiJF-eEXeMedSlEH93WKKXyQDp8hy0bnZ2pfkVllOiSxXV46Ejb4u4Opv3CmA7s13B9Ia01wiP6QOs0Ka2GELY=s4800-w1125-h633', 'https://lh3.googleusercontent.com/places/ANXAkqHc8qVnpJnvbnOpQTcVrq3_wKm9ZGMi82fnsFfgurIzTjJbotjFKoGt33Bto3osMkprIZnOuEg8BDMtpkQvE2Apiw49CuhNB2o=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqGlqq_8V37loYghWaq8gUPv-3Yn8ei6VArnMUqHnhFYnZz3Cc0ZrWO6XPkAkQ_fydoxhbscPPimAchspoeEn6eAMbL0enG2Ek4=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqE-GE8q41VARddTShWJQn3SnqxPlX74pWJNai0CcbmM81X0Fc3yu43hWDa906FdZTaYyxhHC5fNaPqmITVjqOTsbrFCChgthgI=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqEMigTamqerzuLOnPCwkmRKzKG4ySRkzEV5I-8lHmvdVyRy91mEwHfnMQ7zk5nM9e1_vo3lw3QmGZ6uRVTPEZYjd6RRhEusPAg=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqFnPUfZCUd0hW4OHy0BqVmVKQqgP7ijUdM_T1tgTMRIBWkY4rQtIBdsjDza5TPFynnWywBoJXydh7vspx4xeBQWKhr6VPCyyZ8=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqEzVihR_F4oVRvQ7H14QoXmgFSASdLyqbAwJE-C4glDRh89r5Z34vjz4PKGD_ED5GYjyuYdf0Gw_OrAVCwbbJG450jNq0MTQ4k=s4800-w2849-h3799', 'https://lh3.googleusercontent.com/places/ANXAkqFaNU3rhNyPeLQckiUo8qcu6GehBp5oi9QXOGfO0snQppMP1L-QXpkdQYjQCc95ekbRYsf9uq2l6lKiGIQb1hVFwz52DMqNGC8=s4800-w4032-h3024']"
Barnes & Noble | Arboretum,Bookstore,Large,Raintree,"3327 Pineville-Matthews Rd, Charlotte, NC 28226, USA","Airy,Charming",No,Free,Yes,No,Yes,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",https://stores.barnesandnoble.com/store/2812,https://maps.google.com/?cid=10723445271695802224,"https://maps.apple.com/?ll=35.096511,-80.783864&q=Barnes%20%26%20Noble%20%7C%20Arboretum","The seating mostly comes from the Starbucks inside which is right in the middle of the store, and there's a moderate amount. At one point, they had signs up saying that visitors shouldn't sit for more than an hour. That might no longer be a thing, but there's a Panera nearby as a backup if you drive here and can' t find a spot to sit.",ChIJr-iHwRMnVIgRcD_Fy6hU0ZQ,35.096511,-80.783864,,1/7/2025 9:13am,11/6/2022 7:14pm,Yes,[]
Barnes & Noble | Carolina Place,Bookstore,Large,Pineville,"11025 Carolina Pl Pkwy, Pineville, NC 28134, USA","Airy,Upbeat",No,Free,Yes,No,Yes,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",https://stores.barnesandnoble.com/store/2254,https://maps.google.com/?cid=7459426008146382940,"https://maps.apple.com/?ll=35.0818152,-80.8772228&q=Barnes%20%26%20Noble%20%7C%20Carolina%20Place","Not a ton of seating in the downstairs Starbucks, not a ton of the cozy couches Barnes & Nobles are known for, and it's connected to the mall, so lot's of traffic from there. Limited access to outlets as well. Personally, I wouldn't go out of my way to frequent this Barnes & Noble. If you're driving to this area, Waterbean Pineville and the Pineville Library aren't too far from here. Better options in my opinion.",ChIJSUoajZKcVogRXBDgw240hWc,35.0818152,-80.8772228,,1/7/2025 9:13am,11/6/2022 7:13pm,Yes,[]
Barnes & Noble | Concord Mills,Bookstore,Large,Concord,"8062 Concord Mills Boulevard #20, Concord, NC 28027, USA",,No,Free,Yes,No,Yes,,https://stores.barnesandnoble.com/store/3476,https://maps.google.com/?cid=3536637599976035786,"https://maps.apple.com/?ll=35.3724558,-80.7155403&q=Barnes%20%26%20Noble%20%7C%20Concord%20Mills",,ChIJ_4katjcbVIgRypXcxSipFDE,35.3724558,-80.7155403,,12/20/2024 3:04pm,8/23/2024 10:09pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqEQZOMbXo9ENrnFOPn1RAshn8EkkE-UN1fZ9q2xfPXZMyOVrtlQzYdiFHNvcgQUNcyjlcww2S_jl9_SwPGWYxb41pnZY0hh0lA=s4800-w800-h428', 'https://lh3.googleusercontent.com/places/ANXAkqEBJnJ2TKPKGjSU-GmD6qi5vn1Uqw5rTvigN9U-_aZ1zzduyjoRpDAdYVeJzgJuyZIZy0q3d61Vu_62DssZbJGEJdqLIdzLVys=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqEQteRtFLTOaZKeftcuQLZCEUXRSoqIyrGlKcW5FDyBs0Rg0qd6-eEPMwRymunAQqd7bvl4OkncsLLL4rwU5RLEt8jNwHaCYWE=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqGXqzvyN-iRbpnYAqklBu0tH8zMR4hqNP-jH0HHvhJCQRJTE6YHkbUf9JDGgpZv7v4jJo0bQnEh04v0pz9NeUgFLlMTX6kdToE=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqEpo7xkeD7Gu8wcQaTS46xs9KqsBVgXHzS2oxY4v6BikWFQRR1septQ2QCTyePSv8afVPOxw5EP41iWCh5EkYVIPF_6QwPBTG4=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqHTESjlczsOmpbirj2ZVTlWqc_c1SEpTOEzR-uY16k2KJwEJuNcJF7FlAQWWbhTxLTpqVJGMLy6srE0ospjmDNonHIjcrGWuDE=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqF7NvbJyVVqqLkhHFxdiRj8nQHF76_zg2Uc4FywTDQAw46UVnww8GIOXAeJFhtqcqC1nF7SmEZaOTg2eBBl6Zs49hfbnGz7f24=s4800-w4000-h3000', 'https://lh3.googleusercontent.com/places/ANXAkqEa0NLjg7NRPoY1qkcNYFFKHGWAHPyR513julOvBNY7M23bt390rR6R5vIJSyagevu_ssKFwF0jYh9hF-mcGhV6DhpK25J8wR8=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqHwpYhlzXXYUrGn5TG7LHmGkGyEI22sL1eFdvw8hlXl3DHWTcL9CcTzLzbCROnyH3NKw6aghqCbupiESI19Z-aGq5E3roC_2-8=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqEgj9aNzi-L0Eo6GJQoaB1lGxDydFT8l0MMi3TOiLd5T7uTnmxYETrnu80gsQ0MFhVGrfxDHXlr8q0CXjHAAYqf1xke-LFzIfs=s4800-w3000-h4000']"
