Adjective,Count
good,96
great,72
delicious,54
Great,27
French,25
nice,23
best,23
favorite,21
friendly,19
Good,17
many,15
fresh,15
fantastic,14
tasty,13
hot,13
sweet,12
busy,12
Best,12
amazing,12
french,11
little,11
wonderful,11
small,10
first,9
sure,9
full,9
cold,9
excellent,9
Excellent,9
happy,8
big,8
cute,8
outside,8
huge,8
terrible,7
better,7
dry,7
last,7
large,7
disappointed,7
much,7
Nice,7
rude,6
beautiful,6
European,6
perfect,6
Wonderful,6
slow,6
super,6
wrong,6
Delicious,6
several,5
special,5
different,5
clean,5
dirty,5
polite,5
available,5
free,5
bad,4
typical,4
short,4
new,4
whole,4
next,4
hard,4
helpful,4
enjoyable,4
awesome,4
dark,4
wide,4
reasonable,4
less,4
double,3
soft,3
regular,3
unique,3
cool,3
long,3
disappointing,3
to-go,3
comfortable,3
delightful,3
Beautiful,3
lemon,3
attentive,3
bitter,3
lukewarm,3
lovely,3
glad,3
fun,3
daily,3
gluten,3
due,3
baked,3
cafe,3
quirky,3
okay,3
outdoor,3
higher,3
Awesome,3
Friendly,3
pleasant,3
eclectic,3
open,3
curbside,3
Amazing,3
expensive,3
average,3
Other,3
extensive,2
spacious,2
decent,2
oat,2
],2
pretty,2
old,2
true,2
Eclectic,2
authentic,2
fluffy,2
right,2
classic,2
ice,2
extra,2
birthday,2
recent,2
top,2
es,2
least,2
loud,2
phenomenal,2
go-to,2
High,2
peaceful,2
early,2
fair,2
raw,2
previous,2
iced,2
cheap,2
horrible,2
”,2
delish,2
worse,2
5-6,2
exceptional,2
burnt,2
basic,2
sticky,2
croissant,2
seasonal,2
quick,2
light,2
cheese,2
corona,2
greasy,2
courteous,2
yummy,2
real,2
American,2
Italian,2
....,2
salted,2
Unique,2
atmosphere,2
table,2
single,2
difficult,2
generous,2
crazy,2
fast,2
thin,2
miss,2
awful,2
pricey,2
Free,2
parsimonious,2
stingy,2
swiss,2
Terrible,2
worst,2
kitchen,1
Double,1
plastic,1
aggressive,1
fig,1
fluent,1
Little,1
popular,1
disrespectful,1
up-it,1
semi-warm,1
various,1
wine,1
очень,1
honest,1
possible,1
closest,1
like,1
white,1
ordinary,1
LaBrea,1
unacceptable,1
restaurant,1
mixed,1
resistant,1
inexpensive,1
adorable,1
tastful,1
future,1
covered,1
Every,1
Last,1
want,1
mini,1
empty,1
uncommon,1
plain,1
unsalted,1
empleados,1
sin,1
proof,1
loose,1
AMAZING,1
gorgeous,1
casual,1
unheated,1
accept,1
sensitive,1
tree,1
limited,1
por,1
prima,1
personal,1
First,1
specific,1
pre-ordered,1
weird,1
croque,1
hyped,1
swim,1
halved,1
thick,1
actual,1
unprofessional,1
consistent,1
pushy,1
hispanic,1
tough,1
longer,1
downtown,1
freakin,1
uptown,1
cake,1
coconut,1
assorted,1
warmth,1
beautiful/clean,1
strange,1
deli,1
past,1
petit,1
oh,1
ok,1
Clean,1
timely,1
bare,1
Total,1
longtime,1
brie,1
open-faced,1
Top,1
marscapon,1
quaint,1
crisp,1
Lumpy,1
oily,1
시기여서인지,1
코로나,1
진열장에,1
closed,1
convenient,1
*,1
loyal,1
uncomfortable,1
satisfied,1
rotten.Dirty,1
Open,1
outstanding,1
Much,1
easy,1
Substantial,1
leek,1
pre-pandemic,1
late,1
sarcastic,1
Delish,1
hesitant,1
lower,1
More,1
sweeter,1
colorful,1
multiple,1
positive,1
usual,1
mean,1
respect,1
afterschool,1
airy,1
anywhere,1
stunning,1
dine-in,1
indoor,1
atrocious,1
insane,1
standard,1
emotional,1
key,1
immaculate,1
asparagus,1
strong,1
ye,1
terrific,1
Fantastic,1
salad,1
Enjoyable,1
pricier,1
cheaper,1
second,1
high,1
online,1
.....,1
frozen,1
tasted,1
w/,1
impressed,1
snobbish,1
Fabulous,1
original,1
vegan,1
Due,1
understandable,1
self,1
pandemic,1
Needless,1
update,1
interior,1
cleaning,1
non-pandemic,1
African,1
overkill,1
inedible,1
front,1
unreasonable,1
independent,1
fancy,1
overpriced,1
straight,1
constant,1
Phenomenal,1
caramel,1
homemade,1
patient,1
bigger,1
neutral,1
background,1
aesthetic,1
pressing,1
respectful,1
Tasty,1
luscious,1
delighted,1
Perfect,1
chai,1
Ca,1
Wish,1
serious,1
especial,1
superb,1
creative,1
unusual,1
mejor,1
impossible,1
asta,1
inposible,1
almond,1
weak,1
normal,1
detached,1
ummmm,1
GREAT,1
black,1
heavy,1
sandwich,1
aforementioned,1
ample,1
Quaint,1
Russian,1
sorry,1
important,1
maple,1
Such,1
ceramic,1
familiar,1
smaller,1
eclairs,1
cinnamon,1
shared,1
Cant,1
extreme,1
famous,1
Family,1
eccentric,1
worth,1
ready,1
messy,1
lavender,1
Spacious,1
intimate,1
bible,1
espaço,1
young,1
attractive,1
older,1
funny,1
decaf,1
Busy,1
savvy,1
simple,1
blah,1
mop,1
waa,1
hit,1
borderline,1
inconsistent,1
crowded,1
not-so-great,1
Romantic,1
Easy,1
accessible,1
bechamel,1
bottom,1
melted,1
poor,1
Adorable,1
whimsical,1
lucky,1
thousand,1
truly,1
50th,1
anniversary,1
Exquisite,1
enough,1
lunch,1
definite,1
pecan,1
warm,1
similar,1
european,1
rustic,1
quality,1
dessert,1
interesting,1
everyday,1
extraordinary,1
grad,1
tight,1
communal,1
willing,1
grown,1
TO,1
coffee,1
