Adjective,Count
good,65
great,57
delicious,49
new,33
friendly,22
best,22
French,19
first,19
nice,19
fresh,17
many,17
sweet,16
favorite,15
beautiful,13
little,12
unique,12
sure,11
better,11
amazing,11
bad,11
last,10
wonderful,10
perfect,10
different,10
super,9
much,8
helpful,8
hard,8
tasty,8
busy,7
next,7
excellent,7
cold,7
iced,7
free,6
ok,6
long,6
original,6
real,6
dry,6
hot,6
small,6
old,6
fantastic,6
available,5
Great,5
worth,5
eclectic,5
cozy,5
vegan,5
adorable,5
terrible,5
rude,5
cool,5
large,5
late,5
slow,5
disappointing,5
stale,4
cute,4
awesome,4
salted,4
professional,4
“,4
huge,4
Amazing,4
un,4
incredible,4
open,4
Beautiful,4
happy,4
able,4
whole,4
quick,4
awful,4
ready,4
outstanding,3
right,3
authentic,3
loud,3
quality,3
clean,3
flaky,3
Excellent,3
wrong,3
poor,3
rich,3
wait,3
courteous,3
Nice,3
soft,3
bigger,3
overpriced,3
special,3
comfortable,3
tiny,3
lemon,3
Best,3
gorgeous,3
easy,3
Good,3
sad,3
cafe,3
less,3
local,3
second,3
light,3
flavorful,3
polite,3
Fresh,2
Terrible,2
strawberry,2
black,2
white,2
emotional,2
young,2
fair,2
respectful,2
recent,2
several,2
back,2
AMAZING,2
close,2
french,2
Most,2
mad,2
energetic,2
enjoyable,2
yummy,2
daily,2
strong,2
hungry,2
nasty,2
industrial,2
..,2
cheese,2
Adorable,2
asparagus,2
separate,2
creative,2
togo,2
big,2
Awesome,2
impeccable,2
attentive,2
outside,2
Other,2
patient,2
knowledgeable,2
dish,2
quirky,2
American,2
unprofessional,2
high,2
impressed,2
former,2
corporate,2
popular,2
bright,2
top,2
phenomenal,2
Such,2
Fantastic,2
warm,2
disappointed,2
funky,2
gluten,2
exceptional,2
overall,2
urinal,2
Overall,2
dysfunctional,2
weak,2
ritual,2
past,2
pushy,2
least,2
expensive,2
worse,2
outdoor,2
skim,1
whimsical,1
similar,1
welcome,1
:Some,1
inclusive,1
uncomfortable,1
laptop,1
upset,1
interested,1
objective,1
and/or,1
justified,1
middle,1
various,1
multiple,1
answered,1
ta,1
decide,1
general,1
First,1
hyped,1
✨,1
solid,1
sizable,1
plenty,1
associate,1
con,1
su,1
atienden,1
el,1
una,1
lo,1
dairy-free,1
flakiest,1
crispiest,1
overwhelming,1
dining,1
appetite,1
gross,1
higher,1
online,1
mine,1
healthy,1
menu,1
mousse,1
umph,1
au,1
legit,1
peaceful,1
superior,1
2nd,1
lit,1
sugary,1
yummiest,1
swiss,1
excess,1
entire,1
aka,1
unfortunate,1
pricey,1
Generous,1
une,1
aussi,1
petite,1
et,1
pleased,1
fun,1
savory,1
fig,1
chefs,1
croissant,1
particular,1
underwhelming,1
back👍👍,1
robust,1
greatest,1
Yummy,1
Authentic,1
neat,1
food…delicious,1
flakey,1
spacious,1
Friendly,1
nEw,1
Many,1
caramel,1
espresso,1
atmosphere,1
artistic,1
fast,1
possible,1
Cute,1
disposable,1
noir,1
wine,1
complimentary,1
plus,1
Soooo-soo,1
cute.Yes,1
peach,1
danish,1
fruit,1
alright,1
absolute,1
soggy,1
leek,1
place-,1
typical,1
croque,1
Went,1
quiet,1
empty,1
gluten-free,1
lactose-free,1
fine,1
horrible,1
dark,1
entertaining,1
subtle,1
greater,1
usual,1
advance.This,1
decided,1
now.To,1
unhappy,1
indignant.Of,1
Only,1
Eclectic,1
amazing-,1
flat,1
interesting,1
사실,1
cutest,1
plain,1
blue,1
coffee/tea/,1
gooooo……,1
sunny,1
decent,1
sudden,1
realxing,1
potted,1
convenient,1
eccentric,1
wild,1
wacky,1
casual,1
cheerful,1
delectable,1
tomato,1
Greek,1
traditional,1
undoubtedly,1
fabulous,1
overnight,1
10-15min,1
difficult,1
ridiculous,1
bebidas,1
generic,1
magnefique,1
surprised,1
clear,1
uptown,1
earlier,1
clueless,1
photographic,1
interior,1
basic,1
cheap,1
manufactured,1
understaffed,1
chaotic,1
sick,1
filthy,1
service,1
Slowwww,1
memorable,1
tremendous,1
newness,1
nc,1
/,1
energy-,1
closer,1
dessert,1
spend,1
personable,1
pleasant,1
-Expensive,1
tart,1
-Lemon,1
unflavorful,1
-The,1
pecan,1
pedidos,1
aesthetic,1
cinnamon,1
oat,1
clumpy,1
sub,1
thick,1
momentary,1
slight,1
ten,1
plugged,1
willing,1
crunchy,1
extra,1
GOOD,1
recommend,1
funny,1
dietary,1
to-go,1
correct,1
kitchen,1
Wonderful,1
nut,1
common,1
proper,1
packed,1
7-8pm,1
isnt,1
Unbelievable,1
Delicious,1
mixed,1
key,1
Marvelous,1
overcooked,1
overdone,1
acceptable,1
unsafe,1
odd,1
strange,1
unaware,1
muzzled,1
passive-aggressive,1
short,1
flavorless,1
piping,1
plastic,1
necessary,1
actual,1
divine,1
6-8,1
sharp,1
unwilling,1
safe,1
wish,1
main,1
tricky,1
independent,1
stocked,1
Yummy-,1
neighborhood,1
adapt,1
die,1
abysmal,1
twenty,1
single,1
undercooked,1
messy,1
stuffy,1
bitter,1
anniversary,1
lovely,1
upbeat,1
baked,1
non-gf,1
negative,1
ineffective,1
limited,1
gon,1
charming,1
enough,1
bearable,1
unflavored,1
savary,1
known,1
Delish,1
lower,1
grab,1
snappy,1
delicate,1
green,1
unusual,1
wafer/crunchy,1
cramped,1
make,1
regular,1
Courteous,1
south,1
shiny,1
