Adjective,Count
great,91
good,88
delicious,53
French,41
nice,32
little,30
friendly,28
Great,24
best,23
favorite,20
fresh,19
hard,17
hot,17
Good,14
sweet,14
helpful,14
first,14
better,13
super,13
salted,13
awesome,12
excellent,12
cute,11
different,11
eclectic,11
wonderful,11
least,10
free,10
much,10
new,10
sure,9
unique,9
happy,8
busy,8
cool,8
dry,7
tasty,7
fantastic,7
large,7
Excellent,7
bad,7
rich,7
last,7
spacious,7
expensive,7
usual,7
french,6
baked,6
original,6
amazing,6
Amazing,6
cafe,6
worth,6
perfect,6
Nice,6
hidden,6
small,6
local,6
open,6
stale,5
decent,5
old,5
high,5
quirky,5
fun,5
delightful,5
rude,5
slow,5
Wonderful,5
ok,5
iced,5
fabulous,5
quick,5
real,5
pleasant,5
average,4
big,4
beautiful,4
past,4
several,4
lovely,4
pecan,4
long,4
flaky,4
interior,4
pretty,4
clean,4
able,4
outdoor,4
special,4
wrong,4
..,4
comfortable,4
regular,4
many,4
actual,3
frozen,3
cinnamon,3
simple,3
extra,3
professional,3
multiple,3
interesting,3
Best,3
Friendly,3
reasonable,3
low,3
fig,3
ready,3
due,3
huge,3
second,3
separate,3
awful,3
terrible,3
seasonal,3
flavorful,3
Fantastic,3
Eclectic,3
enough,3
lemon,3
Beautiful,3
incredible,3
outside,3
yummy,3
social,3
light,3
Awesome,3
easy,3
odd,3
funky,3
More,3
savory,3
Such,3
cold,2
basic,2
“,2
American,2
true,2
counter,2
consistent,2
OK,2
cozy,2
bitter,2
espresso,2
late,2
full,2
clear,2
close,2
cheese,2
surprised,2
delish,2
Real,2
decadent,2
front,2
Parisian,2
personal,2
dark,2
sugary,2
petit,2
Delicious,2
wide,2
specific,2
whole,2
absolute,2
First,2
impressed,2
entire,2
courteous,2
creative,2
ear,2
terrific,2
impressive,2
assorted,2
individual,2
heavy,2
newest,2
warm,2
fine,2
caramel,2
everyday,2
available,2
disappointed,2
fruit,2
quiet,2
phenomenal,2
loud,2
European,2
cheerful,2
next,2
atmosphere,2
stellar,2
affordable,2
neat,2
welcoming,2
divine,2
sticky,2
burnt,2
short,2
serious,2
unhelpful,2
alcoholic,2
pricey,2
various,2
to-go,2
asparagus,2
bright,2
reheated,1
pre,1
half,1
biggest,1
pre-made,1
kitschy,1
une,1
tacky,1
off-putting,1
4-5,1
intermittent,1
spotty,1
polished,1
sterile,1
avant-garde,1
patient,1
drip,1
Decent,1
Nothing,1
exceptional,1
Typical,1
supposed,1
sugar,1
🤤,1
awe,1
delcious,1
casual,1
must-go,1
relaxing,1
generously-buttered,1
upset,1
sensitive,1
fatty,1
white,1
friendliest,1
ordering,1
impatient,1
Overall,1
poor,1
legitimate,1
potential,1
obnoxious,1
snarky,1
sorry,1
excited,1
leisurely,1
harder,1
powdered,1
Adorable,1
a-hole,1
Terrible,1
sudden,1
required,1
speechless,1
disgusted,1
deleted,1
half-frozen,1
croque,1
south,1
recent,1
moist,1
robust,1
gruyere,1
salt,1
positive,1
refreshing,1
straws,1
weird,1
welcome,1
broccoli,1
prepared,1
dead,1
MUST,1
decor-this,1
bakery/,1
Delectable,1
ordered,1
deeelicious,1
hooked,1
added,1
visual,1
crazy,1
museum-like,1
likely,1
heaven,1
yo,1
overall,1
cordial,1
terirble,1
annoying,1
wirth,1
creme,1
tipped,1
pick,1
flexible,1
worst,1
pre-paid,1
flat,1
interested,1
obvious,1
fledgling,1
glamorous,1
Russian,1
indoor,1
propane,1
heater,1
chilly,1
shaded,1
superb,1
dessert,1
mid-west,1
honest,1
Cool,1
chewy,1
almond,1
medical,1
dine-in,1
Delightful,1
whimsical,1
sooo,1
ok.,1
thought,1
artificial,1
buena,1
french-inspired,1
Small,1
tasteless,1
tartalete,1
Last,1
online,1
من,1
Due,1
young,1
spectacular,1
