Adjective,Count
great,95
good,89
delicious,66
French,42
nice,35
little,34
best,33
favorite,25
wonderful,23
amazing,23
Great,23
sweet,20
Good,19
many,18
fresh,17
friendly,17
free,16
Excellent,14
cute,13
helpful,13
small,12
hot,12
beautiful,11
Best,11
first,10
old,10
eclectic,10
fantastic,10
awesome,9
cool,9
unique,9
french,9
available,9
perfect,9
tasty,9
hard,8
new,8
Friendly,8
Wonderful,8
disappointed,8
white,8
much,7
young,7
high,7
salted,7
excellent,7
upstairs,7
dry,6
yummy,6
gluten,6
different,6
pecan,6
decent,5
super,5
second,5
large,5
authentic,5
local,5
able,5
least,5
busy,5
big,5
croissant,5
outside,5
Such,5
full,5
Nice,5
quiet,5
wrong,4
extra,4
happy,4
AMAZING,4
fair,4
rich,4
baked,4
knowledgeable,4
awful,4
lemon,4
better,4
delightful,4
sun-dried,4
expensive,4
reasonable,4
main,4
due,4
pleasant,4
quaint,4
safe,3
Beautiful,3
dirty,3
entire,3
European,3
worth,3
hostile,3
phenomenal,3
Eclectic,3
casual,3
vegan,3
black,3
several,3
sandwich,3
pricey,3
patient,3
sure,3
outstanding,3
positive,3
top,3
clean,3
light,3
pretty,3
Delicious,3
dessert,3
next,3
fun,3
cold,3
huge,3
seasonal,3
Yummy,3
incredible,3
higher,3
lucky,3
personable,3
Fabulous,3
historic,3
original,2
warm,2
surprised,2
straight,2
older,2
American,2
horrible,2
professional,2
unprofessional,2
proper,2
quick,2
weird,2
aesthetic,2
affordable,2
creamy,2
recommend,2
Lovely,2
special,2
regular,2
bad,2
oldest,2
careful,2
crazy,2
double,2
efficient,2
wide,2
..,2
Overall,2
leek,2
Fantastic,2
okay,2
terrible,2
buttery,2
flaky,2
spotty,2
multiple,2
lovely,2
tastiest,2
critical,2
close,2
possible,2
attentive,2
rude,2
particular,2
croques-monsieurs,2
coolest,2
outdoor,2
cozy,2
right,2
adorable,2
inside,2
stale,2
plenty,2
Awesome,2
Incredible,2
chocolate,2
bright,1
halfway,1
herbal,1
2nd,1
bigger,1
loud,1
louder,1
usual,1
crooked,1
ideal,1
lacked,1
follow,1
managerial,1
combative,1
instructed,1
private,1
effective,1
dramatic,1
catty,1
deplorable,1
random,1
impressed,1
pricier,1
Big,1
general,1
mismatched,1
odd,1
cohesive,1
potential,1
repurposed,1
coffee,1
*,1
intimate,1
Casual,1
bohemian,1
comfortable,1
used,1
breakfast,1
former,1
fancy,1
mini,1
Decent,1
plant-based,1
build,1
flakey,1
tasted,1
interior,1
thats,1
upfront,1
pull,1
unremarkable,1
military,1
Clean,1
loose,1
leaf,1
gray,1
concerned,1
staffing,1
rough,1
savory,1
past,1
to-go,1
flavorful,1
yummiest,1
Extensive,1
ice,1
third,1
less,1
various,1
moist,1
ect,1
genuine,1
ugghhh,1
honest,1
weekday,1
industrial,1
dark,1
mild,1
lip,1
Cafe,1
mobile,1
major,1
incomplete,1
oh,1
anywhere,1
WONDERFUL,1
hospitable,1
unsure,1
los,1
muy,1
midweek,1
volleyball,1
crunchy,1
undergoing,1
UNREAL,1
Delightful,1
cheeky,1
expansive,1
overwhelming,1
non-COVID,1
numerous,1
uncontrollable,1
Steep,1
chicken,1
plan,1
fatty,1
shredded,1
frequent,1
consistent,1
self-proclaimed,1
overly,1
negative,1
privileged,1
gorgeous,1
guyere,1
crisp,1
open,1
almond,1
gigantic,1
petit,1
lazy,1
difficult,1
bitter,1
Cool,1
compliant,1
unplug,1
hidden,1
satisfying,1
mixed,1
inviting,1
Ca,1
sublime,1
natural,1
Russian,1
derful,1
cheap,1
noisy,1
realistic,1
Second,1
sweetest,1
starbucks,1
expresso,1
austistic,1
order-delivered,1
leave,1
windy,1
Funny,1
inclusive,1
Next,1
homemade,1
quality,1
garlic,1
paramount,1
Example,1
surprising,1
nous,1
Nous,1
est,1
que,1
Exemple,1
Les,1
sous,1
un,1
été,1
une,1
Wild,1
nostalgic,1
wig,1
finest,1
simple,1
untrained,1
single,1
hands-down,1
genuinely,1
dissapointed,1
supper,1
fine,1
real,1
informative,1
poor,1
slow,1
under-impressed,1
welcome,1
popular,1
dusty,1
uptown,1
public,1
steady,1
Wish,1
Local,1
terrific,1
greater,1
global,1
culinary,1
back,1
assemble,1
le,1
solid,1
gritty,1
unfriendly,1
self,1
shabby,1
Scrumptious,1
key,1
lime,1
stuff,1
es,1
chill,1
add,1
glad,1
suggest,1
annoyed,1
indulgent,1
obvious,1
separate,1
downstairs,1
direct,1
short,1
stuffy,1
Free,1
cafe/bakery,1
fab,1
Cute,1
African,1
na,1
act,1
bday,1
First,1
locations-,1
Must,1
🙂,1
cafe,1
seating,1
pretentious,1
Just,1
Much,1
political,1
espresso,1
decadent,1
satisfied,1
appreciative,1
present,1
later,1
hungry,1
early,1
late,1
Victorian,1
pure,1
acceptable,1
tangy,1
overall,1
Other,1
Jumbo,1
tacky,1
red,1
long,1
+,1
worse,1
side,1
Amazing,1
magical,1
unforgettable,1
biggest,1
sugar-free,1
true,1
guilty,1
smaller,1
absolute,1
daily,1
croisant,1
....,1
gross,1
to.I,1
lovely.The,1
good.The,1
wonderful.😘❤️🤗😀😍😄,1
salad,1
Many,1
sooooo,1
spectacular,1
bakery/coffee,1
traditional,1
and/or,1
average,1
dipped,1
delishous,1
diverse,1
quirky,1
incorrect,1
flexible,1
neat,1
Delectable,1
breakfast/lunch,1
colorful,1
seeded,1
swiss,1
Favourite,1
mocha,1
caramel,1
loft,1
atmosphere,1
Perfect,1
nigh,1
ed,1
