Adjective,Count
great,19
friendly,9
delicious,6
wonderful,5
sourdough,4
fantastic,4
Great,4
good,4
cold,3
favorite,3
genuine,3
amazing,3
super,2
huge,2
Incredible,2
exceptional,2
positive,2
pumpkin,2
awesome,2
interior,2
inclusive,2
many,2
open,2
new,2
personable,2
Wonderful,1
next,1
cool,1
avocado,1
Amazing,1
iced,1
easy,1
happier,1
whip,1
first,1
different,1
nicest,1
knowledgable,1
Best,1
attentive,1
Friendly,1
able,1
best,1
nitro,1
top,1
maple,1
modern,1
clean,1
comfortable,1
sure,1
sweet,1
pleasant,1
comfy,1
light,1
classical,1
human,1
impressed,1
loving,1
creative,1
differently-abled,1
sensory,1
complete,1
tactile,1
whole,1
several,1
on-site,1
delightful,1
Much,1
Enderly,1
beware,1
successful,1
in-house,1
Creative,1
ample,1
outdoor,1
uptown,1
all-around,1
solid,1
serene,1
calming,1
entire,1
Fantastic,1
flat,1
white,1
hard,1
lucky,1
excited,1
public,1
grand,1
much,1
tasty,1
friendliest,1
responsible,1
energetic,1
right,1
