Adjective,Count
great,58
helpful,57
good,39
nice,35
friendly,30
Great,30
Good,22
clean,15
awesome,12
new,12
Nice,11
favorite,10
best,10
super,9
knowledgeable,9
young,8
long,8
little,8
better,8
real,6
whole,6
Best,6
Noble,6
Excellent,6
much,6
wonderful,6
interesting,5
last,5
willing,5
different,5
able,5
quiet,5
open,5
large,5
many,5
happy,4
excellent,4
neat,4
older,4
right,4
expensive,4
Fantastic,4
popular,4
overall,4
particular,4
easy,4
free,4
cool,4
Friendly,4
wide,3
first,3
special,3
big,3
small,3
rude,3
next,3
warm,3
ready,3
fantastic,3
busy,3
general,3
pricey,3
cafe,3
Helpful,3
glad,3
Typical,3
multiple,3
Large,3
enough,2
sure,2
hot,2
hispanic,2
current,2
old,2
uncomfortable,2
inappropriate,2
less,2
beautiful,2
wrong,2
sweet,2
terrible,2
attentive,2
available,2
eager,2
specific,2
normal,2
empty,2
fabulous,2
decent,2
least,2
Wonderful,2
online,2
Clean,2
sorry,2
..,2
Quiet,2
senior,2
crumpy,2
short,2
spacious,2
n,2
local,2
high,2
poor,2
noble,2
latest,2
huge,2
Decent,1
absolute,1
tad,1
avid,1
similar,1
depth,1
early,1
patient,1
impeccable,1
multi,1
scary,1
gorgeous,1
bigger,1
racist,1
top,1
responsible,1
spilled,1
strong,1
laaaarge,1
enjoyed,1
timely,1
presidential,1
light,1
white,1
scared,1
strange,1
appalled,1
angry,1
formal,1
shy,1
gross,1
certain,1
dear,1
embarrassed,1
cute,1
perfect,1
single,1
First,1
ta,1
younger,1
common,1
accustomed,1
Teen,1
13-18,1
equivalent,1
Cafe,1
complimented,1
regular,1
cozy,1
inside,1
technological,1
displayed.Pleasant,1
Such,1
Барнз,1
Event,1
mega,1
guess,1
important,1
exciting,1
welcoming,1
Spanish,1
future,1
spend,1
content,1
unavailable,1
nosey,1
privacy-not-invasive,1
offensive,1
unprofessional,1
read,1
courteous,1
merciless,1
typical,1
classic,1
ea,1
scan,1
bag,1
ur,1
atmosphere,1
disappointing,1
second,1
safe,1
precautionary,1
temporary,1
easier,1
separate,1
prepaid,1
cheaper,1
electronic,1
2-3,1
loyal,1
numerous,1
homeless,1
costly,1
Big,1
Enjoyable,1
inviting,1
noble-,1
cluttered,1
loud,1
tasty,1
limited,1
tough,1
back,1
Much,1
*,1
welcome,1
quick,1
refreshing,1
😀😀,1
supposedly,1
sick,1
sparky,1
baked,1
sandwich,1
congenial,1
delish,1
informative,1
upkept,1
efficient,1
relax,1
leisurely,1
intelligent,1
ect,1
central,1
accessory,1
iced,1
cold,1
bottom,1
left,1
liberal,1
religious,1
sparse,1
Multiple,1
full,1
positive,1
smaller,1
grab,1
etc,1
forgiven,1
national,1
truly,1
independent,1
snd,1
busier,1
organized,1
encanta,1
Beautiful,1
dependable,1
questionable,1
attractive,1
relaxing,1
manual,1
unique,1
terrific,1
additional,1
dedicated,1
main,1
Limited,1
naval,1
true,1
Many,1
creative,1
finish,1
boy,1
happy❤️❤️,1
broad,1
interactive,1
black,1
authored,1
weekly,1
child,1
themed,1
pleasant,1
ridiculous,1
plus,1
digital,1
Most,1
Knowledgeable,1
useful,1
suitable,1
disappointed,1
Attentive,1
넒으면서,1
damaged.ty,1
receive,1
slow,1
Smart,1
cheesecake,1
sensible,1
sad,1
greatest,1
environment-great,1
pretty,1
bad,1
Favorite,1
comic,1
nooks,1
honest,1
u,1
Awesome,1
crowded,1
solid,1
unfair,1
asinine,1
miscellaneous,1
weary,1
dull,1
fair,1
responsive,1
hard-working,1
grrrrr,1
extra,1
MARKED,1
remote,1
