Adjective,Count
great,55
helpful,48
good,39
nice,31
Great,27
clean,25
many,21
Good,16
friendly,16
little,15
new,12
huge,10
whole,9
different,9
quiet,9
best,8
favorite,8
Excellent,8
much,8
awesome,7
Nice,7
better,7
wonderful,7
online,6
super,6
Clean,6
Best,6
Noble,6
large,6
willing,5
single,5
disappointed,5
next,5
glad,5
rude,5
first,5
able,5
Awesome,5
knowledgeable,5
easy,5
Wonderful,4
sure,4
peaceful,4
quick,4
old,4
noble,4
Overall,4
busy,4
top,4
Friendly,4
short,4
available,4
cold,4
several,4
happy,3
young,3
hard,3
pleasant,3
disrespectful,3
free,3
common,3
hot,3
beautiful,3
cool,3
decent,3
certain,3
amazing,3
right,3
Large,3
ready,3
expensive,3
comfortable,3
attentive,3
due,3
past,3
second,3
un,3
wide,3
specific,3
complete,2
slow,2
terrible,2
sweet,2
attractive,2
open,2
lovely,2
small,2
silly,2
enjoyable,2
local,2
worth,2
two-story,2
electronic,2
simple,2
special,2
pretty,2
less,2
disorganized,2
alphabetical,2
unprofessional,2
fast,2
non,2
overall,2
wrong,2
perfect,2
long,2
bigger,2
least,2
last,2
crazy,2
Most,2
religious,2
organized,2
excellent,2
spacious,2
black,2
real,2
Perfect,2
cafe,2
mad,2
nicest,2
Amazing,2
retail,2
Huge,2
digital,2
los,2
main,2
queen,1
adam,1
polite,1
n,1
Rude,1
efficient,1
6-7,1
Typical,1
reasonable,1
More,1
meant,1
displayed,1
undamaged,1
mandalorian,1
snappy,1
espresso,1
charming,1
collection,1
national,1
cinco,1
для,1
atmosphere,1
honest,1
academic,1
big,1
authorized,1
trash,1
Easy,1
Side,1
outta,1
desirable,1
newer,1
inaccurate,1
mixed,1
else,1
daily,1
tho,1
write,1
Many,1
collectable,1
funko,1
knic,1
toys,1
strange,1
return,1
related,1
political,1
favorite-,1
sparse,1
popular,1
bariatric,1
diverse,1
Favorite,1
bag,1
usual,1
oldest,1
ok,1
proper,1
seating,1
positive,1
impressed,1
read,1
learn,1
Knowledgeable,1
foreign,1
horrible,1
Solid,1
relaxing,1
fresh,1
bottom,1
bad,1
average,1
ordeno,1
lo,1
Quiet,1
actual,1
ridiculous,1
entire,1
aggravated,1
separate,1
ese,1
lady,1
libros,1
satisfied,1
fantasy,1
prominent,1
absent,1
poor,1
tangible,1
quite,1
👌,1
B-DAY,1
private,1
library,1
vast,1
interesting,1
una,1
ahí,1
personal,1
courteous,1
closest,1
assorted,1
technologically-,1
euphoric,1
nervous,1
longest,1
..,1
exempt,1
pandemic,1
10-15,1
dominant,1
todo,1
helpful.Thanks,1
waiting,1
Biblical,1
commercial,1
empty,1
⭐⭐⭐⭐⭐,1
👉,1
layed,1
extra,1
Long,1
worst,1
forgetful,1
clear,1
difficult,1
younger,1
eager,1
happier,1
healthier,1
genes-not,1
affordable,1
moderate,1
confident,1
sweetie,1
critical,1
upstairs,1
kept,1
social,1
welcome,1
mejor,1
Spanish,1
historical,1
biased,1
sole,1
fine,1
First,1
inexcusable,1
welcoming,1
negative,1
high,1
traditional,1
es,1
hay,1
sobre,1
que,1
necesitas,1
costly,1
sad,1
strong,1
Big,1
Comfortable,1
avid,1
magical,1
harder,1
show-related,1
tremendous,1
eagle,1
pop,1
typical,1
solid,1
serious,1
light-hearted,1
meaningful,1
lo-tech,1
vehicular,1
hectic,1
hey,1
unique,1
loud,1
moveable,1
Japanese,1
characterized,1
librarian,1
audio,1
empleados,1
extensa,1
Fantastic,1
outstanding,1
Tremendous,1
legaly,1
disgusted,1
covered,1
Such,1
same/next,1
veritable,1
SCAMMMM,1
crusty,1
k-pop,1
furious,1
cheese,1
info,1
laid-back,1
upset,1
cant,1
fraudulent,1
orderly,1
disappointing,1
in/at,1
Clear,1
visible,1
parroted,1
impressive,1
u,1
sci-fi,1
older,1
iced,1
delicious,1
heavy,1
accurate,1
pushy,1
Cafe,1
cheerful,1
lucky,1
smile,1
upper,1
