Adjective,Count
nice,61
helpful,59
great,54
friendly,35
Great,35
good,33
clean,23
favorite,21
Good,16
quiet,13
Friendly,13
Nice,13
best,12
big,11
little,11
many,11
noble,9
available,9
knowledgeable,9
Excellent,8
wonderful,8
happy,7
new,7
awesome,7
super,7
Noble,7
large,7
excellent,7
willing,6
long,6
better,6
much,6
courteous,6
able,6
bad,6
Wonderful,5
second,5
wide,5
due,5
huge,5
sure,5
Clean,4
Best,4
fantastic,4
right,4
pleasant,4
easy,4
limited,4
unique,4
older,4
local,4
real,4
cafe,3
ready,3
difficult,3
busy,3
whole,3
specific,3
decent,3
different,3
disappointed,3
upstairs,3
hard,3
next,3
delicious,3
entire,3
incredible,3
first,3
smaller,3
polite,3
quick,3
Such,3
free,3
pretty,3
Large,3
general,3
spacious,2
worth,2
2nd,2
Decent,2
amazing,2
vinyl,2
Knowledgeable,2
un,2
upscale,2
outstanding,2
social,2
high,2
perfect,2
open,2
neat,2
full,2
avid,2
low,2
professional,2
old,2
expensive,2
horrible,2
Helpful,2
single,2
online,2
Awesome,2
interested,2
peaceful,2
small,2
Favorite,2
personal,2
last,2
phenomenal,2
enjoyable,2
..,2
vast,2
less,2
special,2
Happy,2
alive,2
hidden,2
young,2
warm,2
mixed,2
important,1
plenty,1
Long,1
lovely,1
thorough,1
near,1
various,1
coffee,1
snooty,1
erroneous,1
comparative,1
socio-economic,1
Many,1
dirty,1
lost,1
true,1
recent,1
gorgeous,1
Eastern,1
exestimley,1
😡,1
library,1
varied,1
📚,1
para,1
también,1
self-serving,1
Busy,1
holiday,1
patient,1
senior,1
marvelous,1
familiar,1
similar,1
Terrible,1
top,1
yummy,1
kinda,1
cleaner,1
efficient,1
☆Has,1
deli,1
teensy,1
air-conditioning,1
Japanese,1
exquisiteness,1
physical,1
所以顧客也是很少,1
*,1
glad,1
unmistakable,1
sweet,1
fast,1
civilized,1
dietary,1
go-to,1
♡,1
isolated,1
stuff,1
modern,1
careful,1
mindful,1
interesting,1
late,1
slight,1
catan,1
Went,1
cashier,1
popular,1
strange,1
til,1
hot,1
entertaining,1
Huge,1
enough,1
imaginable,1
bright,1
Fantastic,1
fire,1
rude,1
borderline,1
racist,1
passionate,1
front,1
previous,1
Easy,1
downtown,1
content,1
absolute,1
cognative,1
quaint,1
Big,1
want,1
pleased,1
nicest,1
meh,1
reasonable,1
devotional,1
Perfect,1
Spanish,1
agradable,1
que,1
hubiese,1
iced,1
likely,1
app,1
pricey,1
funko,1
stationary,1
biggest,1
cool,1
comic,1
graphic,1
early,1
noble-,1
wider,1
Quiet,1
Fabulous,1
calm,1
rainy,1
ta,1
timely,1
beautiful,1
hostile,1
fun,1
respectful,1
jn,1
endless,1
yearly,1
spending,1
Comfortable,1
average,1
child,1
younger,1
Starbucks-ish,1
scarce,1
Overall,1
positive,1
loud,1
hundred,1
directional,1
close,1
actual,1
high-rent,1
well-tended,1
cozy,1
organize,1
Vast,1
answer,1
wrong,1
poor,1
accessible,1
spectacular,1
random,1
proper,1
everyday,1
exceptional,1
assorted,1
Sure,1
Beautiful,1
u,1
up/study,1
Exceptional,1
ME,1
Several,1
main,1
reading,1
Attentive,1
required,1
extra,1
Short,1
True,1
impatient,1
unhelpful,1
electronic,1
in-store,1
shelved,1
passing,1
owned,1
sensitive,1
