Adjective,Count
great,28
good,15
friendly,14
wonderful,7
cold,7
super,7
best,7
delicious,7
nice,6
fantastic,6
amazing,6
Wonderful,5
little,5
inclusive,5
awesome,5
helpful,4
hot,4
happy,4
new,4
clean,3
top,3
special,3
cool,3
iced,3
Great,3
Good,3
excellent,3
large,2
free,2
horrible,2
perfect,2
AMAZING,2
subpar,2
high,2
upbeat,2
worst,2
lucky,2
bad,2
busy,2
Such,2
daily,2
lukewarm,2
many,2
touchy,1
single,1
cheap,1
Minor,1
big,1
lovely,1
Lovely,1
huge,1
fortunate,1
tea,1
needs,1
seamless,1
teddy,1
cooperative,1
Fantastic,1
able,1
inspiring,1
brown,1
slow,1
tasteless,1
impressed,1
quiet,1
comforable,1
sad,1
eager,1
mediocre,1
sugar-free,1
disabled,1
interested,1
disappointed,1
lacked,1
proper,1
least,1
Delicious,1
Excellent,1
delighted,1
Win-win-win,1
wholesome,1
Strong,1
regular,1
Brilliant,1
stop,1
easy,1
pretty,1
modern,1
conducive,1
loud,1
Clean,1
first,1
*,1
kiss,1
welcome,1
immaculate,1
decent,1
efficient,1
cheaper,1
bright,1
small,1
average,1
half,1
extra,1
luke,1
Best,1
cinnamon,1
Perfect,1
attentive,1
difficult,1
due,1
limited,1
beau-tiful,1
Yessssss,1
useful,1
fine,1
south,1
Super,1
yummy,1
Pleasant,1
different,1
fabulous,1
dirty,1
added,1
astute,1
thankful,1
noble,1
favorite,1
Incredible,1
wide,1
several,1
tasty,1
convenient,1
intellectual,1
developmental,1
necessary,1
capable,1
pumpkin,1
fast,1
next,1
recommend,1
pure,1
grand,1
full,1
ice,1
