Adjective,Count
great,114
good,65
nice,53
friendly,45
delicious,33
local,33
little,32
Great,26
Good,26
best,26
outdoor,24
perfect,18
favorite,17
busy,15
outside,14
seasonal,14
awesome,14
downtown,13
wonderful,13
super,12
better,12
Friendly,12
small,12
excellent,12
Excellent,11
amazing,10
fresh,10
unique,10
comfortable,10
different,9
Nice,9
cute,9
cool,9
cozy,8
new,8
fantastic,8
hard,8
first,8
quiet,8
hot,7
quick,7
beautiful,7
old,7
sure,7
burnt,7
Best,7
iced,6
open,6
baked,6
many,5
decent,5
sweet,5
Fantastic,5
clean,5
Cool,4
high,4
warm,4
large,4
Such,4
Delicious,4
right,4
light,4
atmosphere,4
pleasant,4
several,4
private,4
tasty,3
big,3
Busy,3
front,3
enjoyable,3
ready,3
Amazing,3
cold,3
Tasty,3
chai,3
patient,3
adorable,3
smaller,3
Local,3
available,3
fabulous,3
helpful,3
free,3
disappointed,3
young,3
least,3
bad,3
historic,3
top,3
bitter,2
relaxing,2
yummy,2
strong,2
cutest,2
Popular,2
quaint,2
lovely,2
Wonderful,2
Most,2
typical,2
ample,2
indoor,2
attentive,2
outstanding,2
public,2
entire,2
delightful,2
go-to,2
cafe,2
frequent,2
lucky,2
tough,2
unexperienced,2
uptown,2
Several,2
slow,2
espresso,2
black,2
Adorable,2
upstairs,2
limited,2
overall,2
wish,2
Much,2
modern,2
regular,2
upper,2
interior,2
phenomenal,2
long,2
much,2
reasonable,2
true,2
solid,2
real,2
queen,1
favorite—,1
relaxed,1
worth,1
calming,1
tiny,1
hometown,1
calm,1
homemade,1
healthier,1
dirty,1
historical,1
romantic,1
punch-card,1
Pretty,1
dependent,1
Colombian,1
total,1
adjacent,1
cheerful,1
interesting,1
roasted,1
seating,1
peaceful,1
shadey,1
это,1
shady,1
Happy,1
Comfortable,1
bean,1
to-go,1
Cute,1
sun,1
Reasonable,1
Perfect,1
crowded,1
Easy,1
polite,1
less,1
sunny,1
favourite,1
overly,1
flavorful,1
nonhelpful,1
poor,1
w/,1
creative,1
lit,1
snickerdoodle,1
genuine,1
whole,1
stronger,1
tad,1
happy,1
uncomfortable,1
short,1
remote,1
Real,1
Oregonian,1
focused,1
appropriate,1
basic,1
bright,1
.great,1
Phenomenal,1
absolute,1
speciality,1
efficient,1
inviting,1
Next,1
fast,1
Awesome,1
sweetest,1
gorgeous,1
greatest,1
average,1
recommend,1
drip,1
weak,1
backyard,1
current,1
possible,1
willing,1
overly-sweet,1
-the,1
3-4/5,1
inconsistent,1
milky,1
soo,1
usual,1
great-,1
stuffy,1
welcoming,1
prompt,1
iffy,1
easy,1
fun,1
sweeter,1
healthy,1
multiple,1
لطيف,1
unhurried,1
close,1
kitschy,1
millennial,1
and/or,1
conversational,1
larger,1
Always,1
Last,1
luke,1
last,1
loud,1
neighborhood,1
extra,1
able,1
versed,1
newer,1
fair,1
cheese,1
fancy,1
..,1
pretty,1
Quiet,1
special,1
GOOD,1
past,1
trendy,1
french,1
sooooo,1
Elavation,1
daily,1
wi-fi,1
Unique,1
pick-me-up,1
simple,1
acidic,1
undrinkable,1
previous,1
figurative,1
literal,1
actual,1
insert,1
sad,1
upbeat,1
mid,1
independent,1
Decent,1
cant,1
sensible,1
later,1
solo,1
At-home,1
low,1
popular,1
simplistic,1
social,1
coco,1
chalkboard,1
divine,1
Irish,1
personal,1
awful,1
Nasty,1
na,1
Wish,1
normal,1
Rustic,1
cramped,1
laptop,1
smile,1
closer,1
annual,1
daddy-daughter,1
Non-pretentious,1
lenai,1
Limited,1
Free,1
decaf,1
second,1
....,1
evident,1
play,1
live,1
homey,1
spacious,1
full,1
filthy,1
nitro,1
wifi,1
spectacular,1
missed,1
wrong,1
older,1
Other,1
scrumptious,1
urban,1
professional,1
south,1
Beautiful,1
Cold,1
single,1
mad,1
longer,1
welcomed,1
train-town,1
customer-first,1
knowledgeable,1
courteous,1
anywhere,1
positive,1
back,1
wound,1
middle,1
brilliant,1
EXCELLENT,1
near,1
standard,1
lounge/conversational,1
full-wall,1
High,1
approachable,1
authentic,1
