Adjective,Count
great,54
good,29
friendly,17
best,16
little,12
nice,12
small,11
better,11
hot,10
amazing,10
local,10
iced,9
Good,8
bad,8
open,8
super,8
sweet,8
delicious,7
new,7
comfortable,7
different,7
Great,6
sure,6
favorite,6
frozen,6
awesome,5
top,5
slow,5
social,5
Best,5
large,4
full,4
cool,4
first,4
incredible,4
clean,4
black,4
strong,4
perfect,4
least,4
much,4
worth,4
available,4
simple,3
pleasant,3
unique,3
many,3
outside,3
Excellent,3
right,3
sour,3
“,3
basic,3
cute,3
overall,3
several,3
busy,3
dry,3
wrong,3
rude,3
tasty,3
big,3
fresh,3
drive-thru,3
flat,2
white,2
extra,2
early,2
creamy,2
limited,2
Amazing,2
knowledgeable,2
fun,2
huge,2
unfriendly,2
average,2
smooth,2
Terrible,2
disappointed,2
quiet,2
last,2
cold,2
mediocre,2
disappointing,2
legit,2
happy,2
warm,2
actual,2
First,2
common,2
Cozy,2
popular,2
seasonal,2
AMAZING,2
dirty,2
go-to,2
cheaper,2
helpful,2
sugar-free,2
single,2
free,2
excellent,2
glad,2
beautiful,2
dark,2
fantastic,2
bitter,2
Multiple,2
easy,2
difficult,2
crazy,2
efficient,1
typical,1
half,1
non-dairy,1
unfortunate,1
inattentive,1
lackidasical,1
brewed,1
less,1
tasteless,1
FAVORITE,1
shocked,1
ive,1
Clean,1
young,1
thankful,1
non-chain,1
Bible,1
cinnamon,1
delightful,1
forbid,1
Ethiopian,1
displeased,1
awful,1
innocent,1
stressed,1
Ukraine,1
deep,1
unprofessional,1
loyal,1
poured,1
awkward,1
Highly,1
retro,1
Mexican,1
larger,1
decent,1
correct,1
foul,1
second,1
phenomenal,1
unnecessary,1
Cute,1
withe,1
”,1
wont,1
quick,1
regular,1
clear,1
evident,1
misleading,1
latte,1
missed,1
enjoyable,1
unable,1
relevant,1
well-,1
worse,1
secret,1
Wish,1
entire,1
wish,1
pathetic,1
arrogant,1
blue,1
green,1
appropriate,1
modern,1
Cafe,1
inside,1
nostalgia,1
absolute,1
hard,1
horrible,1
guest,1
Horrible,1
weak,1
espresso,1
smoothie,1
ample,1
south,1
kinda,1
flavored,1
café,1
fav,1
aztec,1
pink,1
welcoming,1
key,1
back,1
generous,1
plain,1
diabetic,1
packed,1
worthy,1
Rude,1
poor,1
Inconsistent,1
undrinkable,1
3-4,1
likely,1
complete,1
abhorrent,1
Nice,1
possible,1
negative,1
constant,1
one-of-a-kind,1
diverse,1
special,1
recommend,1
cafe,1
beat,1
casual,1
Same,1
'medical,1
daily,1
traditional,1
mexican,1
hole-in-the-wall,1
pretty,1
trendy,1
weird,1
Went,1
aware,1
ok.,1
attentive,1
caramel,1
rich,1
global,1
blah,1
ready,1
smile,1
long,1
terrific,1
..,1
yummy,1
Fair,1
fair,1
quirky,1
serious,1
double,1
homey,1
able,1
digital,1
upscale,1
uncomfortable,1
remote,1
authentic,1
fancy,1
Wonderful,1
stellar,1
Casual,1
creative,1
Latin,1
Panamanian,1
Italian,1
thin,1
well-made,1
tasted,1
short,1
dismissive,1
minor,1
baked,1
endless,1
excited,1
invite,1
feels,1
Exceptional,1
Large,1
*,1
added,1
list,1
abundant,1
sub-par,1
independent,1
superior,1
cozy,1
drink,1
enough,1
drip,1
Cool,1
famous,1
consistent,1
Serious,1
alternative,1
expensive,1
cheap,1
okay,1
terrible,1
boutique,1
uninformed,1
comparable,1
national,1
retail,1
high,1
Awesome,1
coffee,1
Friendly,1
latte-,1
higher,1
southern,1
ridiculous,1
Music,1
terrible-,1
loud,1
GREAT,1
wonderful,1
passionate,1
constructive,1
au,1
waverly,1
additive,1
fabulous,1
