Adjective,Count
great,26
good,25
nice,14
Great,11
friendly,11
best,10
Good,9
quick,7
hot,7
favorite,7
better,6
amazing,6
awesome,5
little,5
delicious,5
many,4
super,4
helpful,4
bad,4
busy,4
old,4
clean,4
free,4
cozy,3
incorrect,3
correct,3
large,3
hard,3
comfortable,3
Excellent,3
small,3
short,3
much,3
sure,3
excellent,3
Better,3
last,2
easy,2
regular,2
smooth,2
ready,2
incredible,2
big,2
Nice,2
hidden,2
first,2
fresh,2
fantastic,2
perfect,2
available,2
u,2
green,2
top,2
chill,2
wonderful,2
Free,2
Quiet,2
Best,2
comfy,2
espresso,2
special,2
welcome,1
atmosphere…berry,1
white,1
cool,1
different,1
to-go,1
spot-on,1
everyday,1
☕️,1
Wrong,1
wrong,1
exact,1
poor,1
crafted,1
Quicker,1
quicker,1
frozen,1
absolute,1
bakery,1
1st,1
♥,1
exceptional,1
safe,1
cold,1
indoor,1
expensive,1
enjoyable,1
full,1
fair,1
friendliest,1
online,1
curbside,1
theres,1
knowledgeable,1
exceeded,1
Worth,1
complicated,1
plus,1
enough,1
particular,1
thankful,1
Delicious,1
exquisite,1
delightful,1
rush,1
hi,1
blk,1
north,1
n,1
w,1
Amazing,1
w/extra,1
Expensive,1
awesomeness,1
multiple,1
Caribou,1
burnt,1
sad,1
giant,1
superior,1
patient,1
high,1
pre,1
dry,1
glazed,1
efficient,1
horrible,1
Alaskan,1
homie,1
Wonderful,1
specialized,1
Many,1
Sweet,1
decaf,1
topnotch,1
tasty,1
sweet,1
ten,1
second,1
welcomed,1
come,1
negative,1
public,1
seasonal,1
right,1
Friendly,1
warm,1
neighborhood,1
fun,1
hometown,1
Other,1
excited,1
specific,1
mocha,1
sorry,1
extra,1
long,1
study-,1
corporate-owned,1
lovely,1
Delish,1
fast,1
friendlier,1
eclectic,1
biggest,1
tight,1
GOOD,1
mediocre,1
odd,1
creamy,1
Right,1
strong,1
next,1
Comfortable,1
casual,1
