Adjective,Count
good,16
great,15
nice,12
favorite,6
best,5
little,5
Good,4
better,4
Best,4
friendly,4
caribou,4
Great,4
small,4
happy,3
delicious,3
hot,3
sure,3
bad,3
Friendly,3
different,3
daily,3
much,2
real,2
wrong,2
right,2
clean,2
seating,2
gross,2
whole,2
awesome,2
wonderful,2
Nice,2
front,2
Busy,2
free,2
Beautiful,1
trivia,1
average,1
Favorite,1
sale/,1
phenomenal,1
Excellent,1
comd/iced,1
helpful,1
tiniest,1
larger,1
cup,1
disappointed,1
smooth,1
roasted,1
First,1
overall,1
positive,1
young,1
worst,1
key,1
iced,1
brown,1
Total,1
public,1
u,1
many,1
Knowledgeable,1
handcrafted,1
brueggels,1
last,1
lukewarm,1
smaller,1
eager,1
overpriced,1
aware,1
ordered,1
hectic,1
sugary,1
healthier,1
large,1
terrible,1
high,1
fresh,1
cheaper,1
Wonderful,1
prompt,1
used,1
interesting,1
inconvenient,1
super,1
dark,1
cute,1
expresso,1
quiet,1
knowledgeable,1
busy,1
early,1
hooked,1
atmosphere,1
excellent,1
fine,1
retail,1
quick,1
prepared,1
dirty,1
negative,1
special,1
sanitary,1
tasty,1
obsidian,1
french,1
hard,1
ample,1
rainforest,1
certified,1
devastating,1
adjacent,1
efficient,1
ya,1
easy,1
enough,1
able,1
timely,1
unpretentious,1
fast,1
