Adjective,Count
good,103
great,88
friendly,50
best,39
little,35
nice,30
Good,29
Great,24
small,22
favorite,20
cold,20
local,20
delicious,19
Friendly,15
Nice,12
central,12
super,12
excellent,11
wonderful,10
cool,10
fantastic,9
helpful,9
hot,9
tasty,9
Excellent,9
first,8
baked,8
much,8
Central,8
quiet,8
pleasant,8
free,8
many,8
vegan,8
cozy,7
Best,7
Amazing,7
quick,7
better,7
iced,7
long,7
incredible,7
fresh,7
perfect,7
limited,7
huge,7
light,6
new,6
awesome,6
pretty,6
original,6
next,6
clean,5
large,5
sure,5
average,5
knowledgeable,5
amazing,5
Wish,5
busy,5
less,4
real,4
Comfortable,4
comfortable,4
dark,4
ok,4
fair,4
easy,4
reasonable,4
sweet,4
hard,4
least,4
whole,4
outstanding,4
high,4
big,4
cute,4
different,4
French,4
larger,3
last,3
short,3
wrong,3
ready,3
polite,3
top,3
calm,3
loud,3
south,3
full,3
old,3
available,3
slow,3
Wonderful,3
happy,3
regular,3
fabulous,3
strong,3
multiple,3
interesting,3
warm,3
personable,3
fine,3
enough,3
right,3
casual,3
wish,3
special,2
couple,2
second,2
Horrible,2
true,2
rude,2
dry,2
bitter,2
worth,2
Fantastic,2
creamy,2
important,2
lovely,2
patient,2
exact,2
bad,2
daily,2
Small,2
end,2
please,2
okay,2
turmeric,2
social,2
roasted,2
due,2
coffee,2
open,2
disappointed,2
Stellar,2
absolute,2
spacious,2
french,2
safe,2
filling,2
alternative,2
bright,2
sugary,2
glad,2
interior,2
divine,2
ceramic,2
Delicious,2
go-to,2
chill,2
red,2
seating,2
urban,2
fast,2
Knowledgeable,2
dirty,2
contemporary,2
Tasty,2
Greek,2
Fresh,2
gross,2
delish,2
willing,2
lucky,2
convenient,2
certain,2
proper,2
thin,2
walkable,1
inviting,1
unbothered,1
miserable,1
unhappy,1
consistent,1
focused,1
dim,1
4-5,1
flimsy,1
avid,1
groovy,1
quaint,1
Double,1
Perfect,1
similar,1
terrible-,1
Every,1
wild,1
particular,1
sour,1
2-minute,1
overpriced,1
national,1
seasonal,1
poor,1
stark,1
Simple,1
commercialized,1
greater,1
mexican,1
ro,1
strange,1
Awful,1
rushed,1
@,1
uptown,1
hopeful,1
careful,1
clear,1
surprised,1
non-caffeinated,1
tea,1
family-owned,1
operated,1
main,1
remarkable,1
inclusive,1
economic,1
responsible,1
sad,1
bussin,1
half,1
delic,1
*,1
told,1
30-60,1
later,1
helpful-I,1
lazy,1
ol,1
fav,1
good👍,1
bold,1
gingerbread,1
Covid,1
mine,1
wide,1
personal,1
cheese,1
soo,1
covid,1
impressed,1
nippy,1
visited,1
livid,1
modern,1
related,1
chocolate,1
unbelievable,1
weekly,1
Wrong,1
strive,1
higher,1
worse,1
camden,1
cafe,1
unaffiliated,1
creative,1
GOOD,1
empty,1
fancy,1
sarcastic,1
dont,1
comparable,1
blah,1
general,1
corporate,1
innovative,1
barista,1
seat/table,1
trendy,1
lavender-vanilla,1
swiss,1
flavorful,1
loose-leave,1
Peaceful,1
Terrible,1
underground,1
Due,1
rural,1
recent,1
balanced,1
common,1
non-dairy,1
fudgy,1
drip,1
cheaper,1
sketchy,1
terrible,1
plastic,1
feels,1
able,1
expensive,1
spectacular,1
accessible,1
remote,1
exotic,1
unpleasant,1
negative,1
tiny,1
single,1
independent,1
humble,1
evident,1
impressive,1
complete,1
robust,1
happier,1
found,1
peaceful,1
Glorious,1
breakfast,1
Overall,1
rewards,1
spread,1
weird,1
conventional,1
una,1
ginger,1
protein,1
well-crafted,1
hungry,1
rare,1
Several,1
affordable,1
favourite,1
recommend,1
awful,1
several,1
ONLY,1
neat,1
intense,1
lower,1
simplistic,1
stylish,1
outside,1
metered,1
brewed,1
Ethiopian,1
overall,1
minimalistic,1
Separate,1
unusual,1
attentive,1
soft,1
elevator,1
tad,1
softer,1
yes-the,1
dramatic,1
young,1
“,1
ask,1
drowsy,1
delicous,1
traditional,1
rough,1
divided,1
outdoor,1
pre-Starbucks,1
superior,1
More,1
visual,1
YouTube,1
select,1
lounge,1
ur,1
busier,1
internet,1
separate,1
fortunate,1
beautiful,1
aware,1
litmited,1
laid-back,1
Tiny,1
low,1
one-of-a-kind,1
Such,1
Open,1
earlier,1
gluten-free,1
Pro,1
au,1
white,1
colourful,1
,no,1
soy,1
fave,1
me-,1
excellent-,1
quality,1
Most,1
shortbread,1
Awesome,1
enthusiastic,1
horrible,1
english,1
Enthusiastic,1
pushy,1
welcome,1
ample,1
couch,1
mobile,1
Quiet,1
Beautiful,1
natural,1
Swiss,1
co-working,1
unbeatable,1
picky,1
Dirty,1
welcoming,1
over-sweetened,1
Limited,1
prepared,1
closest,1
Cool,1
serious,1
eclectic,1
typical,1
closer,1
decent,1
Greatest,1
superb,1
unpretentious,1
double,1
brown,1
previous,1
inside,1
freak,1
third,1
queen,1
espresso,1
parking,1
Nitrous,1
gathering,1
touch,1
ta,1
solid,1
Brazilian,1
packed,1
narrow,1
reflective,1
difficult,1
private,1
off-the-beaten,1
