Adjective,Count
nice,12
helpful,9
great,7
library,6
friendly,5
quiet,4
big,3
good,3
little,2
Many,2
returned,2
Great,2
siempre,2
clean,2
available,2
full,2
huge,1
entire,1
competent,1
super,1
touch,1
familial,1
best,1
friendliest,1
glad,1
special,1
NICE,1
neat,1
accessible,1
fifth,1
newer,1
overall,1
awesome,1
xk,1
los,1
muy,1
buenos,1
much,1
Friendly,1
peaceful,1
public,1
informative,1
cool,1
many,1
everyday,1
fun,1
dancee,1
ukelele,1
real,1
eclectic,1
foreign,1
Good,1
Story,1
polite,1
spacious,1
small,1
easy,1
bead,1
outside,1
Librarian,1
separate,1
Helpful,1
large,1
fine,1
utilized,1
older,1
librarian,1
next,1
better,1
temporary,1
rude,1
bad,1
Small,1
