Adjective,Count
great,15
helpful,10
library,9
nice,9
friendly,6
quiet,5
pleasant,4
loud,4
Great,3
professional,3
good,3
teen,2
entire,2
many,2
best,2
able,2
free,2
virtual,2
bright,2
better,2
rude,2
high,2
amazing,2
cordial,2
exceptional,1
happy,1
different,1
beautiful,1
sure,1
pathetic,1
petty,1
human,1
particular,1
palatable,1
abusive,1
regular,1
.the,1
.ill,1
poor,1
clean,1
open,1
right,1
convenient,1
preschoolers/elementary,1
positive,1
Friendly,1
first,1
pleased,1
mommy,1
serious,1
single,1
sweet,1
FREE,1
close,1
Excellent,1
noisy,1
social,1
overall,1
afterschool,1
unbearable,1
real,1
smaller,1
cool,1
superior,1
bad,1
gravy,1
inappropriate,1
disappointed,1
lower,1
sad,1
wrong,1
educational,1
online,1
young,1
loudest,1
weird,1
Library,1
LOUD,1
unusualy,1
somewhere,1
easy,1
Helpful,1
natural,1
interactive,1
instructive,1
little,1
regional,1
super,1
validated,1
favorite,1
stuffy,1
light,1
least,1
pretty,1
plenty,1
small,1
polite,1
front,1
ther,1
awsome,1
allow,1
weak,1
Awesome,1
Large,1
throughout.Two,1
additional,1
early,1
large,1
non,1
audio,1
geared,1
older,1
engaging,1
entertaining,1
Other,1
Good,1
Beautiful,1
personal,1
