Adjective,Count
nice,10
helpful,10
library,6
friendly,6
great,5
knowledgeable,4
young,4
happy,3
little,3
excellent,3
easy,3
Great,3
new,3
clean,3
best,3
available,2
accessible,2
quiet,2
Library,2
individual,2
Awesome,2
awesome,2
huge,2
public,2
good,2
Such,1
sweet,1
high-tech,1
atmosphere,1
medium-sized,1
Good,1
fantasy,1
free,1
groundless,1
radical,1
racial,1
benign,1
innocent,1
Asian,1
obvious,1
male,1
librarian,1
double,1
standard,1
south,1
regional,1
antagonistic,1
printed,1
complete,1
quick,1
Friendly,1
First,1
polite,1
easiest,1
large,1
respectful,1
wrong,1
enough,1
right,1
grateful,1
cozy,1
cutest,1
last,1
inter,1
generational,1
loudest,1
personal,1
AWFUL,1
child,1
oldest,1
Reading,1
various,1
enthusiastic,1
much,1
wonderful,1
giant,1
Amazing,1
absolute,1
favorite,1
cosy,1
willing,1
quietest,1
constant,1
wisest,1
patient,1
Clean,1
personable,1
beautiful,1
Many,1
super,1
comfortable,1
perfect,1
Wi-Fi,1
inconsistent,1
local,1
weekly,1
