Adjective,Count
great,8
clean,7
friendly,6
helpful,6
best,5
Great,4
quiet,4
loud,3
nice,3
beautiful,3
Excellent,2
modern,2
good,2
wonderful,2
peaceful,2
Friendly,2
open,2
small,2
library,2
Staff,1
fabulous,1
cool,1
warmest,1
attentive,1
inside,1
little,1
Awesome,1
online,1
last,1
grateful,1
easy,1
past,1
due,1
various,1
possible,1
-1,1
e-book,1
Good,1
sized,1
available,1
Helpful,1
conducive,1
sooo,1
....,1
ridiculous,1
loudest,1
polite,1
silent,1
Every,1
happy,1
wish,1
busy,1
Beautiful,1
Clean,1
warm,1
organized,1
sensory,1
weekly,1
monthly,1
rude,1
whole,1
sure,1
Wonderful,1
numerous,1
free,1
electrical,1
favorite,1
right,1
large,1
