Adjective,Count
small,12
library,5
helpful,5
little,5
friendly,4
best,4
nice,4
good,3
favorite,3
teen,2
Great,2
great,2
knowledgeable,2
new,2
easy,2
wonderful,2
right,2
normal,2
sure,1
fast,1
able,1
multiple,1
Quick,1
Good,1
awesome,1
single,1
ten,1
sweet,1
amazing,1
suitable,1
fav,1
important,1
elderly,1
Best,1
much,1
nicest,1
polite,1
warm,1
least,1
many,1
overwelming.1/4,1
fun,1
next,1
open.When,1
bad,1
frustrated,1
Fantastic,1
unprofessional,1
back,1
peak,1
fantastic,1
super,1
local,1
quick,1
Limited,1
older,1
frequent,1
decent,1
sized,1
big,1
negative,1
librarian,1
flustered,1
unacceptable,1
Beautiful,1
full,1
u,1
cant,1
cool,1
young,1
clean,1
perfect,1
late,1
