Adjective,Count
helpful,12
library,8
nice,7
friendly,7
good,5
great,5
free,4
clean,4
small,4
easy,3
little,3
comfortable,3
Free,3
well-used,2
useful,2
first,2
huge,2
quiet,2
super,2
busy,2
Good,2
efficient,2
fast,2
impossible,2
older,1
Great,1
mobile,1
tough,1
able,1
open,1
knowledgeable,1
educational,1
beneficial,1
hot,1
many,1
graphic,1
novel,1
informative,1
like,1
Summer,1
civic,1
pizza,1
cute,1
friendliest,1
willing,1
online,1
portal,1
u,1
next,1
soooo,1
feels,1
Many,1
homeless,1
separate,1
book/music,1
Nice,1
plenty,1
last,1
wrong,1
certain,1
asthmatic,1
sick,1
soft,1
nasty,1
empty,1
used,1
dangerous,1
annoying,1
table,1
portable,1
spacious,1
grateful,1
convenient,1
long,1
Small,1
