Adjective,Count
new,11
clean,9
nice,9
helpful,9
great,7
library,6
friendly,6
small,6
quiet,4
little,4
free,4
old,3
loud,3
good,2
cute,2
easy,2
Great,2
due,2
Good,2
spacious,2
best,2
whole,2
cool,1
plus,1
irriated,1
happy,1
sure,1
several,1
simple,1
extra,1
confused,1
grateful,1
liberty,1
guest,1
useful,1
😜💕💯,1
busy,1
right,1
main,1
modern,1
courteous,1
open,1
able,1
tour,1
local,1
uptown,1
important,1
actual,1
sensitive,1
ample,1
cramped,1
roomy,1
raw,1
First,1
welcoming,1
nicest,1
e-books,1
digital,1
normal,1
millennial,1
mobile,1
renovated,1
laptop,1
missed,1
beautiful,1
leading,1
mindful,1
outstanding,1
public,1
full,1
knowledgeable,1
eclectic,1
perfect,1
Helpful,1
bigger,1
enjoyable,1
willing,1
Older,1
early,1
Friendly,1
teen,1
sized,1
Large,1
Nice,1
available,1
