Adjective,Count
nice,14
great,11
helpful,10
quiet,10
new,9
library,9
friendly,7
good,6
clean,6
old,5
Nice,3
next,3
easy,3
available,3
different,3
super,3
regular,3
Great,3
large,2
best,2
noisy,2
sure,2
second,2
pandemic,2
open,2
peaceful,2
decent,2
beautiful,2
disappointed,2
quick,2
bad,2
non-resident,2
small,2
comfortable,2
least,2
Library,2
newer,2
early,1
intrusive,1
serious,1
inspirational,1
Friendly,1
high,1
willing,1
Quick,1
efficient,1
clear,1
recent,1
much,1
regional,1
back,1
Wonderful,1
perfect,1
less,1
packed,1
bright,1
last,1
re-designing,1
whole,1
awful,1
re-built,1
huge,1
lovely,1
tiny,1
wonderful,1
upstairs,1
relaxing,1
stressful,1
modern,1
fortunate,1
Courteous,1
Easy,1
favorite,1
covid-19,1
safe,1
Traffic,1
amazing,1
Clean,1
spacious,1
natural,1
several,1
Excellent,1
pleasant,1
underwhelmed,1
impressed,1
interesting,1
welcoming,1
loud,1
soft,1
normal,1
former,1
uninterested,1
nonexistent,1
rural,1
approachable,1
larger,1
happy,1
Incredible,1
apologetic,1
calm,1
familiar,1
little,1
excited,1
older,1
outside,1
harsh,1
nicer,1
fresh,1
rolling,1
unstable,1
automatic,1
unhelpful,1
Unprofessional,1
wide,1
checked-in,1
multiple,1
return,1
polite,1
full,1
first,1
dedicated,1
aloud,1
pretty,1
upset,1
public,1
actual,1
designated,1
Good,1
Quite,1
free,1
rental,1
terrible,1
internet,1
enough,1
slow,1
welcome,1
entire,1
satisfied,1
Quiet,1
needed.The,1
rowdy,1
congested,1
human,1
courteous,1
wish,1
longer,1
fortune,1
magical,1
top,1
