Adjective,Count
great,8
helpful,8
Great,5
quiet,5
open,4
good,3
beautiful,3
library,3
public,3
nice,3
favorite,3
efficient,2
welcome,2
main,2
crazy,2
friendly,2
Excellent,2
much,2
empty,2
modern,2
Wonderful,1
new,1
long,1
cornelius,1
Most,1
last,1
special,1
Quiet,1
Early,1
awful,1
uncomfortable,1
screen,1
warmth,1
summary,1
spent,1
wide,1
call,1
second,1
amazing,1
antagonistic,1
caucasian,1
interior,1
stupid,1
single,1
former,1
current,1
electrical,1
common,1
available,1
tranquil,1
general,1
bd,1
teen,1
older,1
little,1
Amazing,1
easy,1
different,1
outside,1
hot,1
sure,1
impressed,1
reserve,1
Nice,1
small,1
enough,1
Every,1
arm,1
perfect,1
rude,1
unfriendly,1
miserable,1
first,1
unhelpful,1
unwelcome,1
Perfect,1
professional,1
patient,1
nicest,1
Giant,1
teen-only,1
private,1
likely,1
quietest,1
high,1
individual,1
disappointed,1
okay,1
awesome,1
minuscule,1
outdoor,1
disappointing,1
nonfiction,1
best,1
wonderful,1
worth,1
clean,1
isnt,1
hoodlum,1
local,1
Better,1
young,1
working,1
silent,1
advanced,1
