Adjective,Count
helpful,8
great,5
nice,5
clean,4
many,3
able,3
short,3
AMAZING,3
friendly,3
ready,2
Small,2
library,2
convenient,2
local,2
Quiet,2
big,2
best,2
stocked,2
small,2
outside,2
first,2
understanding,2
patient,1
Clean,1
spacious,1
outdoor,1
Cordial,1
fantastic,1
important,1
easy,1
popular,1
audio,1
overdrive,1
Stumble,1
interesting,1
Good,1
comfy,1
cool,1
e-books,1
biggest,1
free,1
pandemic,1
simple,1
greatest,1
super,1
comfortable,1
lovely,1
bad,1
little,1
Super,1
Liberian,1
caring,1
favorite,1
Silent,1
charming,1
natural,1
wide,1
comprehensive,1
incredible,1
Loud,1
open,1
Friendly,1
new,1
quick,1
quiet,1
Great,1
good,1
thankful,1
regular,1
sectional,1
wooden,1
garden,1
busy,1
unhappy,1
fair,1
full,1
please,1
late,1
old,1
st,1
disappointed,1
gracious,1
next,1
Polite,1
10-7,1
10-5,1
