Adjective,Count
great,15
helpful,14
quiet,11
friendly,11
library,7
good,5
beautiful,4
awesome,4
open,4
different,3
easy,3
nice,3
clean,3
little,3
best,3
happy,3
right,2
next,2
various,2
wonderful,2
super,2
loud,2
Great,2
busy,2
Good,2
laptop,1
fabulous,1
el,1
pueden,1
una,1
libros,1
fabuloso,1
suppose,1
loudest,1
…,1
12-08-2022,1
eager,1
special,1
entire,1
Friendly,1
well-organized,1
attentive,1
Able,1
extensive,1
Large,1
simple,1
several,1
negative,1
middle,1
hard,1
least,1
inside,1
consistent,1
free,1
wish,1
black,1
patient,1
worth,1
bad,1
white,1
larger,1
lake,1
close,1
pretty,1
pandemic,1
closed,1
outside,1
neat,1
covid,1
late,1
excellent,1
diverse,1
intentional,1
librarian,1
present,1
correct,1
bleak,1
inhospitable,1
active,1
comic,1
empty,1
slow,1
background,1
biggest,1
enough,1
bandwidth,1
huge,1
Decent,1
public,1
Amazing,1
fun,1
ideal,1
safe,1
poor,1
horrible,1
Other,1
big,1
educational,1
able,1
median,1
extra,1
overdue,1
first,1
