Adjective,Count
good,26
great,26
friendly,17
nice,17
little,11
delicious,10
cute,8
rustic,6
Good,6
quiet,6
small,6
organic,5
tasty,5
local,5
healthy,5
regular,5
Great,4
next,4
best,4
fresh,4
first,4
clean,4
sweet,4
comfortable,3
beautiful,3
bad,3
Beautiful,3
wonderful,3
enough,3
super,3
Friendly,3
many,3
Nice,3
awesome,3
helpful,3
cozy,3
new,3
gluten,2
free,2
special,2
solid,2
atmosphere,2
“,2
better,2
sure,2
lovely,2
chatty,2
yummy,2
cheap,2
fine,2
long,2
ready,2
7-10,2
short,2
OK,2
baked,2
amazing,2
Overall,2
reasonable,2
hidden,2
old,2
warm,2
oak,2
Excellent,2
frequent,1
Adorable,1
everyday,1
relaxing,1
cool,1
grilled,1
hot,1
caffeinated,1
safe,1
extra,1
day-old,1
leftover,1
real,1
priceless,1
cabin,1
Amazing,1
alternative,1
Brilliant,1
worthwhile,1
courteous,1
cafe,1
outdoor,1
gluten-free,1
Wonderful,1
beaten,1
Cute,1
please,1
anaphylactic,1
English,1
confused,1
wait,1
costomer,1
servie,1
Pleasant,1
adjacent,1
young,1
certain,1
used,1
right,1
steamed,1
slow,1
easy,1
но,1
ждала,1
так,1
handicap,1
cheese,1
wrong,1
genuine,1
fast,1
attentive,1
phenomenal,1
cheerful,1
consistent,1
not-so-perfect,1
Such,1
serene,1
informative,1
odd,1
glad,1
Cozy,1
tainted,1
younger,1
African-American,1
entire,1
negligible,1
heavy,1
higher,1
average,1
calm,1
professional,1
withy,1
decor,1
ideal,1
salted,1
satisfied,1
fantastic,1
excellent,1
pleasant,1
favorite,1
closed,1
due,1
willing,1
smallest,1
black,1
different,1
hey,1
Awesome,1
fanatic,1
happy,1
several,1
homey,1
busy,1
covid-19,1
Red,1
loud,1
simple,1
perfect,1
picky,1
sandwich,1
iced,1
white,1
cold,1
l,1
wired,1
big,1
tea,1
banana/pecan,1
drinkable,1
whole,1
ample,1
plus,1
welcome,1
grateful,1
