Adjective,Count
good,114
great,104
nice,57
friendly,45
delicious,34
best,31
Good,30
cool,29
favorite,27
Great,27
little,26
unique,18
comfortable,14
bad,14
uptown,13
better,13
awesome,13
super,13
perfect,12
amazing,12
cold,12
excellent,12
hot,11
open,11
sweet,10
fantastic,10
new,10
quiet,10
small,10
quick,9
expensive,9
different,8
easy,8
tasty,8
Amazing,8
iced,8
many,8
local,8
helpful,8
Cool,8
cozy,7
much,7
warm,7
clean,7
Nice,7
Friendly,7
Best,7
Excellent,7
free,6
beautiful,6
next,6
busy,5
cheese,5
second,5
big,5
large,5
average,5
fast,5
cafe,5
fresh,5
hard,5
worth,5
sure,4
cute,4
awful,4
strong,4
slow,4
interior,4
long,4
ample,4
fine,4
whole,4
right,4
available,4
trendy,4
chill,4
first,4
top,4
modern,4
early,4
loud,4
aesthetic,4
everyday,4
real,4
ok,4
regular,3
front,3
black,3
rude,3
rustic,3
sandwich,3
fabulous,3
efficient,3
dirty,3
coolest,3
able,3
light,3
baked,3
ready,3
First,3
short,3
Incredible,3
burnt,3
special,3
atmosphere,3
daily,3
knowledgeable,3
huge,3
decent,3
mediocre,3
cheap,3
co-working,3
white,3
sugar,2
outstanding,2
welcoming,2
flippant,2
terrible,2
Delicious,2
coffee,2
overall,2
”,2
original,2
artisanal,2
acidic,2
least,2
steep,2
close,2
last,2
larger,2
disappointed,2
yummy,2
simple,2
layered,2
croissant,2
neat,2
creative,2
unconventional,2
single,2
calm,2
African,2
solid,2
inviting,2
productive,2
urban,2
superb,2
wide,2
incredible,2
wonderful,2
worse,2
weak,2
due,2
conducive,2
tea,2
stale,2
Other,2
Wonderful,2
interesting,2
vegan,2
personable,2
handy,2
high,2
flat,2
Decent,2
Overall,2
usual,1
gross,1
critical,1
Perfect,1
rainy,1
creamy,1
dark,1
absolute,1
sooo,1
Fresh,1
pillow,1
enjoyed,1
Terrible,1
subpar,1
utter,1
snarky,1
nasty,1
recent,1
reckless,1
dismissive,1
foolish,1
re-pivot,1
poor,1
“,1
automatic,1
OK,1
bomb,1
hopeful,1
take-out,1
to-go,1
Tanzanian,1
focused,1
alternative,1
varied,1
sweeter,1
contact,1
customizable,1
English,1
pre,1
expansive,1
okay,1
basic,1
orderly,1
tall,1
😍🤤😛,1
happy,1
golden,1
premade,1
absurd,1
casual,1
crucial,1
broken,1
4-Star,1
swanky,1
comparable,1
relaxed,1
French,1
inconsistent,1
Asian,1
terrific,1
espectacular,1
snow,1
Rude,1
glad,1
full,1
flaky,1
electrical,1
cool-,1
social,1
lemon,1
poppy,1
let,1
pecan,1
sticky,1
wooden,1
else,1
weird,1
sad,1
fancy,1
hip,1
sublime,1
cordial,1
fermented,1
bitter,1
peaceful,1
crazy,1
hectic,1
mixed,1
middle,1
eastern,1
airy,1
unusual,1
memorable,1
tough,1
loose,1
leaf,1
Eclectic,1
prompt,1
coziest,1
wall,1
exact,1
common,1
correct,1
Expired,1
pitiful,1
Most,1
cold-natured,1
menu-,1
artisan,1
lounge,1
brilliant,1
gorgeous,1
worst,1
wrong,1
coffee-,1
twice-,1
served,1
Wish,1
Central,1
underwhelming,1
smaller,1
Spacious,1
pricey,1
stepped,1
corporate,1
locally-owned,1
large-scale,1
thin,1
American,1
mighty,1
unprofessional,1
alright,1
purpose,1
broad,1
laptop,1
Comfortable,1
mid,1
fun,1
pleasant,1
bright,1
strange,1
beatiful,1
Affordable,1
eclectic,1
enjoy,1
Ok,1
impressive,1
9-,1
willing,1
smoke,1
Top,1
Real,1
electric,1
honest,1
spacious,1
friday,1
ridiculous,1
negative,1
appropriate,1
attentive,1
normal,1
horrible,1
disapointed,1
young,1
entire,1
longer,1
used,1
Mexican,1
net,1
Modern,1
professional,1
old,1
central-Uptown,1
consistent,1
flawless,1
bunch,1
centralized,1
delocious,1
central,1
convenient,1
menus,1
@,1
heavy,1
adjacent,1
related,1
ita,1
hipster,1
Limited,1
chic,1
pretty,1
surprising,1
lactose,1
centric,1
ideal,1
Free,1
Lactose-free,1
solo,1
private,1
communal,1
fried,1
enjoyable,1
Open,1
yoga,1
adorable,1
Such,1
sweetest,1
funniest,1
espresso,1
plenty,1
noisy,1
Terrific,1
Neat,1
decadent,1
Last,1
straight,1
Big,1
stair-like,1
main,1
traditional,1
un,1
popular,1
smoothie,1
pillowed,1
rare,1
late,1
Awesome,1
inside,1
roasted,1
mild,1
robust,1
superior,1
quirky,1
congenial,1
Next,1
mini,1
Fantastic,1
hospitable,1
Clean,1
lunch,1
jovial,1
mix,1
sooooo,1
collaborative,1
stuffy,1
Lunch,1
industrial,1
Horrible,1
Vertical,1
welcome,1
High,1
tricky,1
skeptical,1
artsy,1
enough,1
multiple,1
various,1
Stellar,1
Right,1
over-priced,1
overhead,1
biggest,1
kept,1
dead,1
scary,1
overpaid,1
typical,1
healthy,1
Upscale,1
birthday,1
live,1
pour,1
barista,1
serious,1
functional,1
higher,1
lower,1
u,1
total,1
outside,1
overwhelmed,1
famous,1
non-food,1
oozes,1
entrepreneurial,1
grilled,1
retail,1
fav,1
sleek,1
down-to-earth,1
reasonable,1
