Adjective,Count
great,35
good,21
Great,11
friendly,11
local,11
first,8
Good,7
cool,7
favorite,6
nice,6
little,5
best,5
super,5
happy,5
new,5
common,4
wonderful,4
helpful,4
deli,4
fresh,4
Common,4
awesome,4
Friendly,4
vegetarian,3
vegan,3
delicious,3
whole,3
fantastic,3
early,3
warm,3
wine,3
slow,2
regular,2
Eclectic,2
casual,2
open,2
perfect,2
Best,2
excellent,2
eclectic,2
outside,2
white,2
incredible,2
Nice,2
attentive,2
unique,2
sandwich,2
usual,2
late,2
rude,2
awful,2
Happy,2
small,2
available,2
tasty,2
prepared,2
possible,1
Every,1
sick,1
visible,1
exact,1
long,1
ready,1
total,1
final,1
solid,1
Ridiculous,1
useless,1
Amazing,1
polite,1
due,1
indoor,1
shiny,1
sorry,1
wrong,1
live,1
great💜,1
hot,1
review-worthy,1
scrambled,1
low-key,1
amazing,1
red,1
friendliest,1
gag,1
covered,1
outdoor,1
spacious,1
tap,1
canned,1
chill,1
Polite,1
Clean,1
cheese,1
pimento,1
friendlier,1
pretentious,1
many,1
least,1
u,1
worse,1
Terrible,1
delusional,1
dog,1
supportive,1
extra,1
greatest,1
Went,1
sad,1
bitter,1
burnt,1
treated,1
Such,1
snack,1
setup,1
knowledgeable,1
true,1
pumpkin,1
30-,1
thankful,1
smaller,1
funny,1
typical,1
divey,1
bigger,1
particular,1
Decent,1
simple,1
close,1
poor,1
back,1
oakhurst,1
hard,1
huge,1
trafficked,1
higher,1
newer,1
seemingly-revolving,1
overall,1
messy,1
inviting,1
easy,1
..,1
different,1
“,1
normal,1
Second,1
eccentric,1
non-corporate,1
Comfortable,1
next,1
neighborhood,1
sister,1
much,1
hippy,1
dippy,1
fine,1
average,1
thick,1
First,1
surprised,1
second,1
anywhere,1
accessible,1
Excellent,1
personable,1
wide,1
Large,1
original,1
sure,1
half,1
better,1
Fresh,1
atmospheric,1
ok,1
rough,1
relaxed,1
Pleasant,1
Awesome,1
fabulous,1
Spacious,1
tentacle,1
interested,1
Fabulous,1
quiet,1
laptop,1
atmosphere,1
fast,1
varied,1
high,1
creative,1
comprehensive,1
non-smoking,1
quick,1
Glad,1
newest,1
cm,1
