Adjective,Count
great,68
good,40
cool,17
Good,17
Great,16
awesome,15
favorite,13
little,13
best,13
new,12
friendly,12
nice,11
local,10
many,10
common,9
delicious,9
amazing,9
Common,8
small,8
vegan,7
much,7
interesting,7
first,7
sure,7
different,7
unique,6
long,5
eclectic,5
rude,5
bad,5
chill,5
Eclectic,5
Friendly,5
last,5
Such,5
deli,5
fresh,5
next,4
wine,4
helpful,4
happy,4
outside,4
wide,3
busy,3
several,3
daily,3
super,3
picnic,3
better,3
open,3
sandwich,3
fair,3
wonderful,3
knowledgeable,3
excellent,3
vegetarian,3
pretty,3
easy,3
cheap,3
top,3
fun,3
high,3
cheese,3
outdoor,3
Best,3
fantastic,3
free,3
hard,3
real,3
angry,3
past,3
Last,3
right,3
stale,3
huge,3
social,2
basic,2
second,2
Excellent,2
Fantastic,2
w,2
soft,2
on-site,2
active,2
authentic,2
trendy,2
Decent,2
general,2
Cool,2
cultural,2
live,2
weird,2
large,2
Horrible,2
regular,2
random,2
tasty,2
glad,2
safe,2
correct,2
worth,2
absolute,2
Awesome,2
stellar,2
filthy,2
inviting,2
aesthetic,2
lovely,2
quick,2
hot,2
late,2
pleasant,2
individual,2
welcome,2
true,2
old,2
dry,2
black,2
disrespectful,2
left,2
extensive,2
international,2
overall,2
surprised,1
stuck,1
front,1
genuine,1
unprofessional,1
perfect,1
slow,1
plaza,1
understaffed,1
unorganized,1
🤬,1
Cute,1
ppl,1
1st,1
..,1
outstanding,1
gon,1
go-to,1
loud,1
bohemian,1
cozy,1
artistic,1
warm,1
Unpretentious,1
delightful,1
Big,1
white,1
grilled,1
honest,1
ok.,1
upbeat,1
closer,1
spread,1
Other,1
main,1
parallel,1
hidden,1
overcrowded,1
noisy,1
boring,1
chicken,1
dill-heavy,1
phenomenal,1
Amazing,1
diverse,1
creative,1
able,1
single,1
incomparable,1
fine,1
Limited,1
rear,1
das,1
low,1
Hilarious,1
Top,1
Nice,1
decent,1
oozy,1
yummy,1
coffee-,1
Fresh,1
NY,1
Daily,1
refreshing,1
desired,1
energetic,1
eccentric,1
Casual,1
unexpected,1
socialize,1
limited,1
neat,1
greater,1
Clean,1
sublime,1
Large,1
pepper,1
healthy,1
lifelong,1
lame,1
classic,1
peaceful,1
bearded,1
approachable,1
clean,1
nasty,1
dull,1
mixed,1
guilty,1
underwhelmed,1
Unbeatable,1
vibey,1
relaxed,1
well-priced,1
insane,1
potential,1
horrible,1
grungy,1
snobbiest,1
younger,1
chatty,1
gross,1
cute,1
beaten,1
incredibly,1
sentimental,1
overpriced,1
ex-child,1
Numerous,1
dangerous,1
terrible,1
oz,1
suppose,1
hot/,1
Delightful,1
least,1
various,1
personal,1
early,1
reminiscent,1
everyday,1
ideal,1
impressive,1
adventurous,1
available,1
suitable,1
Affordable,1
bustling,1
superficial,1
alternative/sub,1
snobby,1
illest,1
jealous,1
seating,1
impressed,1
mega,1
fancy,1
wrong,1
worse,1
mush,1
Californian,1
ripe,1
edible,1
disappointing,1
hateful,1
largest,1
political,1
occassional,1
comfotable,1
found,1
coolest,1
higher,1
standard,1
attentive,1
popular,1
litlle,1
sarcastic,1
negative,1
twisted,1
stupid,1
extra,1
touristy,1
uptown,1
okay,1
impaired,1
courteous,1
plentiful,1
patio,1
novelty,1
pigeon,1
Critical,1
drive,1
literal,1
More,1
bodega,1
jar,1
premade,1
instrument,1
stool,1
15-20,1
whole,1
cold,1
multiple,1
handwritten,1
polite,1
ridiculous,1
biggest,1
familiar,1
Urban,1
national,1
beautiful,1
ten,1
hungry,1
become,1
Live,1
particular,1
antagonistic,1
responsible,1
Every,1
belligerent,1
female,1
nearby,1
Rather,1
complete,1
side,1
sour,1
bigger,1
Real,1
central,1
SouthEnd,1
chit-chat,1
north,1
eastern,1
careful,1
divey,1
tap,1
rare,1
green,1
Aromatic,1
