Adjective,Count
great,85
good,49
delicious,25
friendly,23
amazing,23
nice,20
wonderful,18
best,18
super,13
Great,13
excellent,12
awesome,11
new,10
French,9
Wonderful,9
Good,8
helpful,8
incredible,8
fresh,8
local,8
fantastic,8
favorite,7
Amazing,7
Excellent,7
attentive,7
cafe,7
beautiful,6
Fantastic,6
sure,5
able,5
pleasant,5
spacious,5
open,5
different,4
big,4
little,4
cold,4
perfect,4
tasty,4
cheese,4
small,4
casual,4
warm,4
slow,4
quick,4
free,3
fast,3
clean,3
important,3
happy,3
classic,3
first,3
flavorful,3
Such,3
phenomenal,3
least,3
hot,3
busy,3
Awesome,3
reasonable,3
simple,3
crispy,3
next,3
light,3
unique,3
several,3
true,3
un,3
right,3
top,2
uptown,2
many,2
sweet,2
positive,2
Friendly,2
Best,2
whole,2
easy,2
pulled,2
baked,2
black,2
Incredible,2
complimentary,2
various,2
meaningful,2
impressed,2
cute,2
last,2
worth,2
hard,2
special,2
outstanding,2
better,2
outdoor,2
polite,2
high,2
full,2
non-profit,2
welcoming,2
iced,2
pandemic,2
thoughtful,2
natural,2
modern,2
second,2
legit,1
First,1
overall,1
disappointed,1
due,1
limited,1
pup,1
mid-week,1
tastiest,1
calm,1
terrific,1
cozy,1
elite,1
thankful,1
creamy,1
rare,1
much,1
smooth,1
apprehensive,1
complex,1
underwhelming,1
entire,1
multiple,1
someones,1
GOOD,1
garlic,1
apologetic,1
sandwich,1
時間がかかったり間違いがあるかもしれませんが、私は気になりませんでした。サンドイッチもヨーグルトも美味しかったです。,1
main,1
necessary,1
internet,1
cool,1
guest,1
southern,1
inspired,1
partial,1
cuz,1
short,1
Rest,1
humiliating,1
preppy,1
enuf,1
actual,1
sorry,1
english,1
refreshing,1
bad,1
wait,1
wish,1
back,1
Overall,1
safe,1
traditional,1
dietary,1
old,1
rich,1
Next,1
top-level,1
attractive,1
beaten,1
longer,1
ok,1
larger,1
warehouse-style,1
Christian,1
Cajun,1
fried,1
horseradish,1
thick,1
buttered,1
fine,1
gracious,1
lovely,1
fresh-,1
Upscale,1
pleased,1
extraordinary,1
assured🙏👏😊,1
interior,1
common,1
comfortable,1
had—excellent,1
stylish,1
pet,1
scrumptious,1
single,1
over-the-top,1
hard-working,1
healthy,1
creative,1
out-of-the-box,1
yum-yum,1
for-a-great-cause,1
breezy,1
Warm,1
wedding,1
Continued,1
Fabulous,1
covered,1
community-oriented,1
indoor,1
win-win,1
nicest,1
productive,1
underrated,1
french,1
delicous,1
lemon,1
exceptional,1
Many,1
large,1
sad,1
close,1
dine-in,1
excited,1
economic,1
—,1
awsome,1
agradable,1
generous,1
plenty,1
Clean,1
energetic,1
chai,1
sparkling,1
vegan,1
OK,1
loud,1
early-,1
early,1
Cool,1
turkey,1
Highly,1
skill,1
underserved,1
private,1
Worthy,1
patio,1
hidden,1
atmosphere,1
Quaint,1
neat,1
Phenomenal,1
Fastanstic,1
Top,1
higher,1
delish,1
bigger,1
house-roasted,1
industrial,1
organic,1
Small,1
“,1
house-made,1
onsite,1
welcome,1
Strong,1
gluten,1
lunch,1
nearby,1
soft,1
flaky,1
Beautiful,1
proud,1
delightful,1
