Adjective,Count
great,13
best,7
Best,6
friendly,5
delicious,4
local,3
nice,3
little,3
uptown,3
muddled,2
professional,2
amazing,2
cozy,2
Amazing,2
Great,2
Small,2
fantastic,2
many,1
branded,1
excellent,1
second,1
ready,1
eco,1
alternative,1
sorry,1
able,1
Next,1
next,1
last,1
Fantastic,1
tasty,1
shout-out,1
pleasant,1
light,1
chipper,1
sustainability-,1
compostable,1
complete,1
opposite,1
pregnant,1
FAVORITE,1
favorite,1
Exceptional,1
flavorful,1
bold,1
sustainable-minded,1
Spent,1
Muddled,1
Pour-over,1
Friendly,1
short,1
good,1
reasonable,1
extra,1
Such,1
French,1
quick,1
fresh,1
glad,1
iced,1
relaxing,1
natural,1
different,1
hard,1
average,1
several,1
coming,1
Incredible,1
aware,1
Similar,1
homemade,1
personable,1
worth,1
wish,1
open,1
terrific,1
slow,1
handcrafted,1
small,1
