Adjective,Count
great,53
good,33
nice,24
friendly,19
best,16
delicious,14
new,14
amazing,12
local,10
favorite,10
wonderful,9
super,9
excellent,8
little,8
awesome,7
iced,7
perfect,7
better,6
fantastic,6
Friendly,6
Good,6
Great,6
warm,5
happy,5
clean,5
fresh,5
Best,5
hot,5
Fantastic,5
sweet,5
seasonal,4
cold,4
open,4
much,4
top,4
Nice,3
exceptional,3
extra,3
right,3
Amazing,3
first,3
many,3
sure,3
smooth,3
blue,3
black,3
strong,3
free,3
cute,3
impressed,3
regular,3
outstanding,3
able,3
roasted,3
Excellent,3
small,2
welcome,2
friendliest,2
helpful,2
go-to,2
First,2
recommended,2
easy,2
cheese,2
hidden,2
Enderly,2
pleased,2
busy,2
outdoor,2
fine,2
Overall,2
whole,2
special,2
hard,2
healthy,2
genuine,2
old,2
high,2
ta,2
quiet,2
long,2
single,1
ethical,1
Such,1
expert,1
delightful,1
informative,1
pure,1
thankful,1
chocolate,1
navigate,1
additional,1
absolute,1
Other,1
real,1
lovely,1
impeccable,1
pregnant,1
different,1
must-try,1
bitter,1
burnt,1
aesthetic,1
ideal,1
phenomenal,1
simple,1
big,1
double,1
table,1
daily,1
low,1
skip,1
excited,1
Quieter,1
coffee,1
capable,1
6-8,1
High-ceiling,1
beautiful,1
normal,1
disappointed,1
ordinary,1
cinnamon,1
Community-focused,1
uplifting,1
bad,1
odd,1
weird,1
several,1
outside,1
car/motorcycle/four-wheeler,1
full,1
modified,1
particular,1
rude,1
annoyed,1
ok,1
quality,1
aaa,1
affordable,1
medium,1
bi-weekly,1
Ethopian,1
next,1
steady,1
quick,1
available,1
espresso,1
modern,1
plentiful,1
kiss,1
pumpkin,1
certified,1
generous,1
everyday,1
French,1
short,1
gathering,1
artsy,1
rougher,1
weak,1
stronger,1
last,1
creative,1
personable,1
desperate,1
legit,1
satisfied,1
Beautiful,1
superb,1
Wonderful,1
winning,1
glad,1
non-dairy,1
Every,1
greet,1
yummy,1
poor,1
stale,1
undercooked,1
attentive,1
thoughtful,1
impressive,1
modest,1
Happy,1
monthly,1
inviting,1
social,1
mellow,1
useable,1
-highly,1
decadent,1
honest,1
present,1
overwhelming,1
Fast,1
dark,1
funny,1
mic,1
Adrian,1
entire,1
family-owned,1
focused,1
sketchy,1
spacious,1
inspired,1
official,1
sotasty,1
knowledgeable,1
decaf,1
preggo,1
continued,1
dang,1
Cool,1
large,1
SUPERB,1
usual,1
casual,1
brilliant,1
gorgeous,1
floral,1
unique,1
comfortable,1
second,1
true,1
conscious,1
GREAT,1
impossible,1
trendy,1
young,1
Strong,1
pleasant,1
white,1
huge,1
..,1
cant,1
owned,1
false,1
transparent,1
cool,1
dutch,1
Awesome,1
enough,1
inclusive,1
incredible,1
calm,1
Solid,1
positive,1
custom,1
community-minded,1
divine,1
Been,1
biggest,1
historic,1
mid-20th,1
active,1
Free,1
peaceful,1
