Adjective,Count
great,54
good,44
little,19
nice,17
friendly,17
Good,11
Great,11
delicious,9
affordable,8
amazing,8
wonderful,8
perfect,7
cute,7
excellent,7
quiet,7
super,6
used,6
iced,6
small,6
awesome,6
free,6
local,5
decent,5
Wonderful,5
hot,5
large,4
best,4
favorite,4
next,4
neat,4
comfortable,4
helpful,4
hidden,4
eclectic,4
cozy,4
Best,4
fantastic,4
warm,3
regular,3
yummy,3
new,3
cool,3
rare,3
Nice,3
cold,3
Excellent,3
Such,3
right,3
vegetarian,3
delis,2
non-profit,2
Fantastic,2
expensive,2
reasonable,2
whole,2
better,2
interesting,2
clean,2
open,2
sure,2
pleasant,2
cafe,2
special,2
different,2
tasty,2
fabulous,2
white,2
Comfortable,2
phenomenal,2
incredible,2
available,2
many,2
enjoyable,2
library,2
real,2
unexpected,2
second,2
prepared,2
crazy,1
busy,1
BEST,1
important,1
bw,1
working,1
young,1
non,1
coffee,1
mixed,1
Delightful,1
read,1
laptop,1
significant,1
so-so,1
strong,1
outgoing,1
relaxing,1
quick,1
courteous,1
sanitary,1
Busy,1
Steady,1
Overall,1
legit,1
Noble,1
Awesome,1
Delicious,1
sweet,1
Brilliant,1
outrageous,1
charitable,1
broad,1
dietary,1
diverse,1
historical,1
cutest,1
nitro,1
wrong,1
direct,1
disappointed,1
Horrible,1
dining,1
greatest,1
confusing,1
kindest,1
enough,1
live,1
indoor,1
High,1
cheap,1
sooooo,1
alphabetical,1
alternative,1
pretentious,1
Pleasant,1
closer,1
lovely,1
cuenta,1
cauliflower,1
exceptional,1
welcoming,1
expresso,1
conscious,1
wish,1
Big,1
inviting,1
certain,1
fun,1
peculiar,1
friendship,1
senior,1
peaceful,1
personale,1
tranquillo,1
un,1
delish,1
Eclectic,1
GOOD,1
pumpkin,1
charming,1
least,1
worse,1
service-,1
simple,1
flex,1
low,1
unbeatable,1
frequent,1
light,1
ate,1
Other,1
bald,1
soy,1
seating,1
older,1
organized,1
solid,1
Cool,1
espresso,1
old,1
outside,1
much,1
uncomfortable,1
casual,1
spacious,1
gorgeous,1
gluten-free,1
baked,1
Enough,1
timeless,1
Many,1
.50,1
true,1
classic,1
late,1
happy,1
extensive,1
several,1
comfy,1
Friendly,1
..,1
Long-standing,1
smooth,1
table,1
sized,1
dark,1
frufru,1
trivia,1
corporate,1
Most,1
underrated,1
connecting,1
Tasty,1
varied,1
top,1
load,1
interrupted,1
bring,1
stop,1
delightful,1
inexpensive,1
Real,1
thrilled,1
killer,1
quirky-cool-,1
Wish,1
upstairs,1
unique,1
convenient,1
Next,1
mid,1
Dirt-cheap,1
sci-fi,1
beautiful,1
full,1
well-priced,1
