Adjective,Count
great,16
new,13
good,12
friendly,11
best,8
nice,8
amazing,6
sweet,5
cold,5
delicious,5
open,4
Great,4
super,4
live,4
beautiful,4
cool,4
black,4
perfect,3
favorite,3
light,3
frozen,3
better,3
awesome,3
outside,3
co-working,3
late,2
small,2
regular,2
incredible,2
fantastic,2
private,2
free,2
mediocre,2
weird,2
pretty,2
tall,2
spacious,2
little,2
large,2
upstairs,2
added,2
high,2
welcoming,2
easy,2
wrong,2
baked,2
clean,2
bright,2
modern,2
comfortable,2
traditional,2
many,2
drip,2
quick,1
truly,1
/,1
drink,1
personal,1
huge,1
quiet,1
excellent,1
reminiscent,1
vegan,1
seasonal,1
fresh,1
convenient,1
local,1
overpriced,1
spotty,1
lovely,1
exciting,1
disappointed,1
unsatisfied,1
unmatched,1
absolute,1
special,1
willing,1
8-,1
cocktails,1
horrible,1
ridiculous,1
extra,1
bakery,1
arrogant,1
sure,1
reasonable,1
remote,1
Beautiful,1
eclectic-feel,1
first,1
hand-crafted,1
smaller,1
helpful,1
hidden,1
flaky,1
natural,1
minimal,1
eloquent,1
sugary,1
hot,1
enjoyed,1
themed,1
fast,1
NICE,1
calm,1
relaxing,1
actual,1
barista,1
unwelcoming,1
next,1
entire,1
clear,1
rude,1
Crazy,1
laptop,1
hard,1
yeah,1
unwelcomed,1
top,1
unreal,1
right,1
delightful,1
last,1
cozy,1
Different,1
Additional,1
missing,1
starb,1
Expensive,1
Good,1
alternative,1
outstanding,1
long,1
accommodate,1
Other,1
Large,1
appropriate,1
Seating-,1
seating-,1
quality,1
intuitive,1
tasting,1
available,1
harmonious,1
exceptional,1
Friendly,1
casual,1
tic,1
bad,1
Such,1
okay,1
outdoor,1
inside,1
knowledgeable,1
classic,1
able,1
comparable,1
enough,1
much,1
creative,1
yummy,1
darn,1
expensive,1
severe,1
terrible,1
Perfect,1
strong,1
big,1
welcome,1
third-wave,1
similar,1
specific,1
diverse,1
Starbucks-esque,1
