Adjective,Count
great,66
good,59
delicious,37
nice,24
little,24
best,18
favorite,18
cool,18
friendly,17
fresh,16
last,16
excellent,14
cold,13
local,12
Good,11
sure,10
cute,10
amazing,9
many,9
tasty,9
new,9
wrong,8
hot,8
super,8
Great,8
awesome,7
big,7
incredible,7
sticky,7
hard,7
busy,6
solid,6
several,6
least,6
terrible,6
fine,6
much,6
next,6
sandwich,6
bad,6
first,6
Excellent,6
high,6
wine,5
small,5
baked,5
iced,5
phenomenal,5
regular,5
fun,5
quick,5
available,4
heavy,4
simple,4
casual,4
outstanding,4
cheese,4
white,4
stuffed,4
perfect,4
cozy,4
rude,4
huge,4
“,4
different,4
Fantastic,4
unique,4
creative,4
due,4
helpful,4
loyal,3
open,3
poor,3
lemon,3
brunch,3
limited,3
weird,3
slow,3
polite,3
delightful,3
long,3
Favorite,3
fantastic,3
real,3
second,3
dark,3
decent,3
hungry,3
separate,3
glad,3
soft,3
Wonderful,3
interesting,3
beautiful,3
empty,3
main,3
extra,3
large,3
grilled,3
sweet,3
eclectic,3
clean,3
difficult,3
key,2
joint,2
awful,2
wasteful,2
mediocre,2
surprised,2
single,2
avo,2
red,2
wonderful,2
Nice,2
minimal,2
willing,2
welcome,2
longer,2
sorry,2
minute,2
uncomfortable,2
pretty,2
overall,2
worse,2
multiple,2
seasonal,2
table,2
disrespectful,2
top,2
enjoyable,2
Horrible,2
whole,2
able,2
soggy,2
odd,2
happy,2
hearty,2
Awesome,2
tough,2
bland,2
trendy,2
short,2
welcoming,2
Best,2
outdoor,2
special,2
healthy,2
disappointing,2
accessible,2
right,2
vanilla,2
bean,2
yummy,2
fabulous,2
Eclectic,2
ready,2
worst,2
GREAT,2
flat,2
social,2
Other,2
worth,2
avocado,2
light,2
functional,2
complimentary,2
black,2
high-end,2
current,2
pleasant,2
salmon,2
less,2
to-go,2
better,2
complete,2
fave,2
overpriced,2
go-to,2
comfortable,2
dry,2
retail,2
neat,2
old,2
wet,2
MANY,1
5-star,1
actual,1
bread,1
underrated,1
unknown,1
peaceful,1
stressed,1
tactic,1
unfriendly,1
average,1
prime,1
interior,1
disposable,1
trash,1
empathetic,1
knowledgeable,1
trained,1
reasonable,1
adequate,1
pickled,1
out-of-this-world,1
drip,1
superb,1
general,1
loud,1
study/remote,1
ordinary,1
scrambled,1
vegan,1
wish,1
goods…,1
accommodating,1
certain,1
ridiculous…,1
turkey,1
rudest,1
unpleasant,1
packed,1
gigantic,1
sad,1
covid,1
attentive,1
conversational,1
indifferent,1
fair,1
arugula,1
possible,1
sweeping,1
outside,1
embarrassed,1
heartbroken,1
ten,1
sloppy,1
careless,1
lazy,1
freshest,1
sourdough,1
eager,1
staffed,1
frustrated,1
horrible,1
rough,1
active,1
”,1
soooo,1
..,1
Worth,1
overwhelming,1
normal,1
Beautiful,1
poetic,1
naughty,1
lavender,1
civil,1
to/not,1
2-3,1
strange,1
runny,1
guacamole,1
Second,1
ripe,1
brown,1
friendliest,1
angry,1
Weekend,1
Incredible,1
Decent,1
picky,1
double,1
wi-fi,1
Friendly,1
flip,1
likely,1
spacious,1
pretentious,1
couldnt,1
ok,1
vibe,1
Lunch,1
Small,1
anywhere,1
peak,1
laptop,1
Fresh,1
dine-in,1
occasional,1
artsy,1
avacado,1
par,1
free,1
custom,1
recommended,1
smooth,1
hefty,1
uptown,1
blue,1
American,1
25-30,1
infamous,1
prettiest,1
incorrect,1
plastic,1
blank,1
clear,1
Cool,1
online,1
alert,1
responsive,1
female,1
specific,1
popular,1
bottled,1
older,1
derogatory,1
initial,1
Smart,1
bottle,1
invisible,1
learn,1
Simple,1
subtle,1
lox,1
delectable,1
canned,1
operational,1
frequent,1
past,1
constant,1
thorough,1
not-so-great-anyway,1
sketchy,1
crisis/pandemic,1
forced,1
cheap,1
feasible,1
silence-,1
you-,1
baby/toddler,1
Such,1
flavorful,1
Cinnamon,1
olive,1
tad,1
mtg,1
alright,1
filling,1
thin,1
Sweet,1
hostile,1
disrespect,1
human,1
lacking,1
plum,1
Neat,1
god,1
similar,1
Unique,1
Table,1
uninitiated,1
self,1
mid,1
manageable,1
🔥,1
magical,1
encanta,1
personal,1
amable,1
High,1
okay,1
cherry,1
funny,1
egg,1
legit,1
delish,1
More,1
stellar,1
nervous,1
careful,1
oat,1
hidden,1
daily,1
low,1
eggcellent,1
Cute,1
refreshing,1
gimic,1
piggy,1
hipster,1
cant,1
miss,1
beaten,1
exposed,1
easy,1
recent,1
pecan,1
exceptional,1
kid-friendly,1
giant,1
relaxed,1
pebble,1
Delightful,1
full-bodied,1
espresso-based,1
intriguing,1
hip,1
rustic,1
impressed,1
affordable,1
expensive,1
Comfortable,1
pricier,1
Free,1
mundane,1
turmeric,1
silky,1
potent,1
full,1
Common,1
competitive,1
typical,1
assorted,1
worthy,1
uneventful,1
classic,1
fire,1
organic,1
sprawling,1
surprising,1
enough,1
moderate,1
Initial,1
Staff,1
suited,1
sliced,1
roasted,1
pre-packed,1
deli,1
tasteless,1
hangout-with-drinks,1
pear,1
unbelievable,1
vegetarian,1
chill,1
pet,1
vibes,1
a/an,1
artisan,1
wild,1
newest,1
unnecessary,1
pricey,1
market/restaurant,1
