Adjective,Count
great,153
friendly,87
nice,55
sweet,54
wonderful,53
good,51
clean,46
super,44
cute,39
little,36
amazing,33
much,29
best,28
adorable,27
awesome,26
Great,26
Such,20
many,20
perfect,20
helpful,18
delicious,18
sure,18
cafe,17
beautiful,17
playful,17
cool,16
new,15
happy,14
next,14
fantastic,14
fun,13
better,12
first,12
available,11
able,11
adoptable,11
local,10
Wonderful,10
relaxing,10
favorite,9
unique,9
hard,9
different,9
cat,9
special,9
whole,9
chill,9
excellent,9
knowledgeable,8
Amazing,7
high,7
small,7
comfortable,7
relaxed,7
Friendly,7
worth,7
Awesome,7
open,7
separate,6
pleasant,6
hot,6
big,6
iced,6
private,6
precious,6
Excellent,6
reasonable,6
second,6
social,5
warm,5
full,5
free,5
active,5
fur,5
real,5
last,5
kitty,5
Good,5
phenomenal,5
calm,5
allergic,5
entire,5
enough,4
due,4
Best,4
large,4
spacious,4
positive,4
quiet,4
furry,4
ready,4
extra,4
personable,4
therapeutic,4
accessible,4
total,3
certain,3
several,3
present,3
older,3
neat,3
sweetest,3
fresh,3
sleepy,3
bad,3
lovely,3
tasty,3
attentive,3
cozy,3
poor,3
welcoming,3
absolute,3
huge,3
feline,3
old,3
easy,3
human,3
Adorable,3
informative,3
affordable,3
u,3
gentle,3
aware,3
comfy,3
loud,3
clear,3
modern,3
entertaining,3
impressed,2
allergy,2
financial,2
least,2
disappointed,2
friendlier,2
aggressive,2
yummy,2
incredible,2
Most,2
wide,2
recent,2
sick,2
aesthetic,2
expensive,2
eclectic,2
willing,2
alone,2
impossible,2
wrong,2
green,2
Cool,2
overall,2
enjoyable,2
flavorful,2
low,2
specific,2
multiple,2
pricey,2
wish,2
difficult,2
..,2
Fantastic,2
various,2
pandemic,2
healthy,2
main,2
simple,2
glad,2
loving,2
Super,2
Beautiful,2
busy,2
soft,2
peaceful,2
Overall,2
forever,2
thoughtful,2
Reasonable,2
eager,2
Other,2
tiny,2
respectful,2
lovable,2
homeless,2
cutest,2
strong,2
handicap,2
2-4,2
genius,1
recommended,1
please,1
courteous,1
cuddly,1
skiddish,1
normal,1
opposite,1
rad,1
plenty,1
ridiculous,1
early,1
front,1
limited,1
options-,1
good-sized,1
Stellar,1
website,1
stress-free,1
close,1
excited,1
weekly,1
place-,1
unsupervised,1
Ex-,1
mere,1
SUCH,1
secret,1
extraordinary,1
lucky,1
mean,1
final,1
magical,1
charming,1
convenient,1
est,1
trop,1
tous,1
sullen,1
youngest,1
astonishing,1
white,1
horrible,1
knowledgeable-,1
wine,1
past,1
pro,1
enjoyable…,1
…,1
unknowing,1
sad,1
Several,1
lethargic,1
spreadable,1
energetic,1
immaculate,1
atmosphere,1
similar,1
toys,1
fabulous,1
ultimate,1
”,1
friendly/sweet,1
impressive,1
meow-mosas,1
soooo,1
tricky,1
industrial,1
terrific,1
required,1
5-6,1
welcomed,1
hopeful,1
cheapest,1
spotless,1
adopted,1
Fabulous,1
uplifting,1
straight,1
hospitable,1
😋,1
though,1
quaint,1
homes.The,1
Lovely,1
rough,1
individual,1
silly,1
uncomfortable,1
else,1
calmly,1
upstairs,1
4-day,1
possible,1
decafe,1
French,1
purrrrfect,1
Delightful,1
Only,1
confusing,1
calming,1
AMAZING,1
general,1
solid,1
mild,1
responsive,1
covid,1
chin,1
importantly-,1
SO,1
apprehensive,1
😂,1
live,1
First,1
primary,1
thankful,1
chic,1
outstanding,1
skeptical,1
Decent,1
disabled,1
ok,1
significant,1
shady,1
heavy,1
prompt,1
superior,1
bored,1
10-15,1
younger,1
top,1
skittish,1
patient,1
*,1
slightest,1
thorough,1
pet,1
greatest,1
kitten,1
Wish,1
necessary,1
obvious,1
passionate,1
aloud,1
kempt,1
half,1
down-to-earth,1
okay,1
Surprised,1
boo-boo,1
Incredible,1
critique-,1
right,1
CUTE,1
fluffy,1
oh,1
closer,1
higher,1
Clean,1
historic,1
daily,1
Good-sized,1
restricted,1
careful,1
shy,1
rude,1
snugglable,1
eat,1
girl,1
trained,1
Cant,1
zen,1
cutee,1
safe,1
experience-,1
worst,1
plastic,1
avid,1
profitable,1
true,1
urban,1
❤️❤️❤️,1
kept,1
nicest,1
proper,1
medical,1
catnip,1
fine,1
animal,1
average,1
pushy,1
invasive,1
public,1
dusty,1
delish,1
gorgeous,1
30-60,1
momma,1
black,1
interesting,1
ungraded,1
decaffeinated,1
involved,1
familiar,1
happiest,1
coziest,1
smaller,1
surrounding,1
online,1
outdoor,1
Double,1
ur,1
upbeat,1
mental,1
understanding😍😍,1
w/o,1
8-10,1
HAPPY,1
on-edge,1
confident,1
<,1
interactive,1
funniest,1
purrfect,1
local.or,1
playtime,1
particular,1
win,1
thru,1
honest,1
well-behaved,1
non-stressful,1
knowledgable,1
effective,1
short,1
lazy,1
friendliest,1
enthusiastic,1
Magical,1
awake,1
hidden,1
beat,1
Big,1
cold,1
FUN,1
Monday-night,1
miserable,1
established,1
>,1
^,1
Therapeutic,1
polite,1
professional,1
brilliant,1
future,1
google,1
Happy,1
natural,1
cats-,1
