Adjective,Count
great,15
friendly,13
live,9
delicious,6
good,6
local,6
nice,5
super,4
helpful,3
personable,3
cheese,3
little,3
first,3
new,3
best,2
sweet,2
fun,2
fantastic,2
Such,2
small,2
different,2
cozy,2
expensive,2
comfortable,2
happy,2
warm,2
fresh,2
old,1
gingerbread,1
hot,1
comfy,1
Awesome,1
polite,1
available,1
freakin,1
incredible,1
Wonderful,1
juice,1
ice,1
open,1
mic,1
Fantastic,1
top,1
huge,1
sure,1
pup,1
large,1
smaller,1
yummy,1
substantial,1
neighborhood,1
third,1
much,1
next,1
cute,1
double,1
“,1
clean,1
Great,1
go-to,1
energetic,1
perfect,1
welcoming,1
high,1
iced,1
Good,1
First,1
Friendly,1
indoor,1
outdoor,1
limited,1
nicest,1
n,1
right,1
Local,1
Best,1
drip,1
better,1
everyday,1
impressed,1
less,1
uhaul,1
welcome,1
fav,1
wonderful,1
regular,1
inviting,1
