Adjective,Count
good,25
soft,24
great,21
nice,12
delicious,12
friendly,11
black,11
best,10
green,10
matcha,9
special,9
sweet,9
little,8
super,8
favorite,7
cute,6
helpful,6
much,6
happy,6
first,5
beautiful,5
authentic,4
clean,4
different,4
overall,4
expensive,4
next,4
wonderful,4
unique,3
high,3
Best,3
able,3
welcoming,3
iced,3
ube,3
aesthetic,3
amazing,3
free,3
perfect,3
awesome,3
big,3
Delicious,2
real,2
whipped,2
lovely,2
bad,2
rich,2
creamy,2
red,2
pretty,2
fresh,2
pricey,2
full,2
Asian,2
seasonal,2
stronger,2
Overall,2
yummy,2
top,2
ok,2
various,2
small,2
Amazing,2
fair,2
knowledgeable,2
Beautiful,2
Japanese,2
u,2
chic,2
sure,2
Friendly,2
baked,2
roasted,2
phenomenal,2
cozy,2
incredible,2
tasty,2
picky,1
sugary,1
“,1
less,1
matcha/hojicha,1
toasted-nut,1
skinny,1
extra,1
uncomfortable,1
taller,1
leg,1
shaded,1
comfortable,1
instagramable,1
decent,1
regular,1
Adorable,1
hooked,1
hot,1
least,1
magic,1
organic,1
cheap,1
intense,1
heavenly,1
disappointed,1
excellent,1
twist,1
huge,1
ready,1
7-,1
Excellent,1
fine,1
current,1
wrong,1
Golden,1
ultimate,1
flex,1
soft-serve,1
edible,1
present,1
strongest,1
early,1
Wonderful,1
strong,1
dairy,1
new,1
last,1
relaxing,1
worth,1
Green,1
love🥰,1
online,1
easy,1
pre-order,1
tastiest,1
delightful,1
several,1
Smooth-tasting,1
BOTTOM-LINE,1
outdoor,1
cold,1
standard,1
smoked,1
American,1
macho,1
GREEN,1
golden,1
soft-served,1
attentive,1
well-designed,1
rustic,1
wooden,1
front,1
patio,1
4-5,1
retail,1
geese,1
fluffy,1
French,1
avocado,1
stressful,1
worst,1
equal,1
pleasant,1
cheese,1
Wish,1
buenas,1
contra,1
sweetness,1
Good,1
def,1
busy,1
worse,1
welcoming.1st,1
interior,1
sparkling,1
fantastic,1
fancy,1
ordinary,1
overwhelming,1
plus,1
flavored,1
difficult,1
many,1
interesting,1
excited,1
cool,1
cafe,1
rare,1
premium,1
patient,1
unexpectedly,1
personal,1
GOOD,1
long,1
smooth,1
subtle,1
overrated,1
japanese,1
bubble,1
nutty,1
hojicha,1
straight,1
safe,1
Happy,1
drink,1
Enough,1
available,1
wider,1
Authentic,1
reliable,1
Korean/Japanese,1
hard,1
greater,1
Awesome,1
glad,1
welcome,1
drop,1
💚,1
major,1
bitter,1
nuttier,1
