Adjective,Count
delicious,25
great,23
best,22
good,21
friendly,19
Greek,10
amazing,6
little,6
authentic,5
Great,5
many,5
Good,5
fresh,5
fantastic,4
Excellent,4
cheese,4
excellent,4
comfortable,4
favorite,4
hot,3
perfect,3
small,3
Best,3
less,3
quick,3
big,3
Friendly,3
wonderful,3
glad,2
super,2
First,2
much,2
second,2
organic,2
sweet,2
south,2
better,2
high,2
huge,2
Tasty,2
awesome,2
daily,2
traditional,2
welcome,2
first,2
Fantastic,2
old,2
cafe,2
light,2
real,2
Amazing,2
greek,2
past,1
cute,1
happy,1
unmatched,1
unbeatable,1
Live,1
excited,1
disappointed,1
least,1
weekly,1
unbelievable,1
terrific,1
female,1
unprofessional,1
local,1
Φρεντο,1
Και,1
πολυ,1
INCREDIBLE,1
upset,1
regular,1
Terrible,1
artificial,1
inedible,1
expensive,1
bagel,1
reasonable,1
go-to,1
Comfortable,1
quiet,1
been-,1
solo,1
lovely,1
Cute,1
inside-many,1
indoor,1
strong/intense,1
lower,1
manuverable,1
top,1
bottom,1
Tremendous,1
European,1
helpful,1
italian,1
High,1
kept,1
secret,1
clean,1
phenomenal,1
personable,1
nutty,1
giant,1
Awesome,1
spot-,1
Nice,1
pet,1
overall,1
typical,1
frappe,1
uptown,1
paradise,1
grand,1
famous,1
.quick,1
aromatic,1
whipped,1
overwhelming,1
Delightful,1
oven,1
wrong,1
yummy,1
thin,1
strong,1
review,1
different,1
Wonderful,1
AMAZING,1
impressed,1
nice,1
indulgent,1
true,1
okay,1
special,1
Organic,1
Overall,1
greatest,1
basic,1
swiss,1
entire,1
cold,1
recommend,1
Exceptional,1
baked,1
new,1
warm,1
atmosphere,1
right,1
Delicious,1
Such,1
open,1
everyday,1
worth,1
incredible,1
outside,1
bistro,1
sure,1
last,1
..,1
