Adjective,Count
great,86
good,48
friendly,41
local,26
best,23
nice,22
Good,21
favorite,17
little,15
super,14
excellent,13
delicious,13
Great,13
awesome,10
first,9
Wonderful,9
hot,9
cozy,9
comfortable,8
Friendly,8
Best,7
fantastic,7
quiet,7
open,7
much,6
helpful,6
pleasant,6
free,6
least,5
due,5
perfect,5
small,5
new,5
cool,5
next,5
fresh,5
better,5
amazing,4
fast,4
warm,4
tasty,4
Nice,4
French,4
loud,4
busy,4
regular,4
easy,4
yummy,3
whole,3
simple,3
quick,3
Excellent,3
unique,3
rich,3
several,3
bad,3
sure,3
iced,3
cute,3
cold,3
happy,3
pretty,3
many,3
wonderful,3
right,3
able,2
different,2
actual,2
flat,2
glad,2
strong,2
dog,2
clear,2
First,2
Fantastic,2
hidden,2
full,2
absolute,2
Cute,2
neighborhood,2
spacious,2
dark,2
low,2
interesting,2
knowledgeable,2
Overall,2
Such,2
last,2
decent,2
black,2
rude,2
Solid,2
large,2
incredible,2
clean,2
nostalgic,2
courteous,2
hard,2
eclectic,2
soft,2
alternative,2
slow,2
top,2
mic,2
supportive,2
special,2
Free,2
welcoming,2
private,2
less,1
divine,1
Perfect,1
Hot,1
Double,1
boyfriend,1
ideal,1
interested,1
terrible,1
nitro,1
non,1
commercial,1
friendliest,1
cafe,1
for…interesting,1
worst,1
burnt,1
ta,1
—,1
noise-cancelling,1
sad,1
occasional,1
casual,1
frequent,1
treat,1
creative,1
smooth,1
real,1
☺️,1
substantial,1
Red,1
final,1
GREAT,1
nicest,1
particular,1
fav,1
entertaining,1
awkward,1
solid,1
lovely,1
available,1
second,1
minor,1
become,1
fun,1
quirky,1
chill,1
fireside,1
clean/safe,1
correct,1
social,1
Decent,1
okay,1
flavorful,1
agile,1
worse,1
inappropriate,1
spectacular,1
crazy,1
traditional,1
dirty,1
daily,1
disappointed,1
non-dairy,1
Wish,1
Clean,1
brought,1
profitable,1
big,1
major,1
mandatory,1
utter,1
go-to,1
reliable,1
decaf,1
GOOD,1
salted,1
closer,1
weak,1
espresso,1
delish,1
remote,1
Tall,1
cutest,1
pet,1
sugar,1
coziest,1
Reasonable,1
polite,1
flavored,1
ahhhhhmazing,1
gluten,1
inviting,1
quality,1
early,1
constant,1
extensive,1
possible,1
convenient,1
uptown,1
apt,1
larger,1
superior,1
well-made,1
rare,1
numerous,1
worth,1
couch,1
expensive,1
Comfortable,1
relaxing,1
safe,1
Cool,1
ok,1
similar,1
library,1
strange,1
old,1
weekly,1
..,1
light,1
chatty,1
ina,1
productive,1
relaxed,1
da,1
Last,1
great-tasted,1
sweet,1
suppose,1
laid,1
retired,1
seating—some,1
informative,1
unusable,1
moist,1
legit,1
comfy,1
weekday,1
sit-,1
dont,1
shy,1
aware,1
close,1
unreliable,1
late,1
refreshing,1
experienced,1
barista,1
effective,1
top-notch,1
personal,1
mature,1
in-,1
estaba,1
fisrt,1
Big,1
competitive,1
scream,1
prepared,1
artesian,1
everyday,1
fair,1
counter,1
type,1
Awesome,1
faster,1
south,1
personable,1
Convenient,1
ample,1
lone,1
net,1
lil,1
Better,1
helpfull,1
non-existent,1
homogeneous,1
visa,1
favourite,1
meet,1
multiple,1
general,1
visible,1
50-80,1
usual,1
allowed,1
entire,1
furious,1
popular,1
plentiful,1
abundant,1
efficient,1
tasteful,1
Large,1
overall,1
