Adjective,Count
great,23
good,19
nice,11
hot,10
new,8
iced,7
best,7
clean,6
delicious,6
friendly,5
amazing,5
better,5
Great,4
seasonal,4
glad,4
first,4
favorite,3
local,3
Simple,3
wonderful,3
cool,3
tasty,3
incredible,3
perfect,3
super,3
small,3
clear,3
quiet,2
cute,2
fantastic,2
simple,2
free,2
pleasant,2
top,2
slow,2
outside,2
beautiful,2
disappointed,2
smooth,2
much,2
noda,2
nos,2
expensive,2
happy,2
extra,2
last,2
Good,2
grand,2
least,1
fond,1
exceptional,1
consistent,1
baked,1
helpful,1
complicated,1
high,1
surprising,1
golden,1
maple,1
Solid,1
bright,1
😌,1
Weekly,1
thick,1
biodegradable,1
“,1
pretty,1
wish,1
busy,1
loud,1
Easy,1
fast,1
early,1
Sunflour,1
First,1
bold,1
wee,1
laidback,1
Amazing,1
outdoor,1
traditional,1
personable,1
Nice,1
double,1
silky,1
relaxing,1
warm,1
pure,1
sure,1
Excellent,1
overall,1
almond,1
elderly,1
personal,1
le,1
ahí,1
ellas,1
queriendo,1
más,1
gluten,1
huge,1
rich,1
sweet,1
hungry,1
tiny,1
true,1
lil,1
avocado,1
Awesome,1
fresh,1
single,1
….my,1
post-yoga,1
mini,1
sooooo,1
vegetarian,1
ok,1
bad,1
5-,1
cravable,1
carmel,1
crazy,1
half,1
full,1
maiden,1
yummy,1
next,1
friendlier,1
interactive,1
smaller,1
overnight,1
particular,1
cold,1
Delicious,1
Super,1
bitter,1
awesome,1
outrageous,1
regular,1
Clear,1
correct,1
cheap,1
quick,1
excellent,1
modern,1
simplistic,1
delish,1
underserved,1
third,1
talented,1
chai,1
ridiculous,1
cafe,1
