Adjective,Count
great,9
delicious,7
friendly,5
good,4
nice,3
incredible,3
Great,3
super,2
clean,2
Amazing,2
sweet,2
fresh,2
Fantastic,2
beaten,2
best,2
open,1
unlocked,1
chefs,1
seasonal,1
average,1
par,1
bitter,1
unique,1
little,1
several,1
cool,1
Best,1
Awesome,1
..,1
first,1
awesome,1
real,1
consistent,1
hot,1
simple,1
underdeveloped,1
rad,1
scandi,1
quiet,1
excellent,1
next,1
fancy,1
fine,1
small,1
Friendly,1
south,1
new,1
easy,1
Excellent,1
flat,1
white,1
gorgeous,1
interior,1
maple,1
oatmeal,1
coworking-friendly,1
beautiful,1
modern,1
third,1
espresso,1
neat,1
longer,1
knowledgeable,1
bakery,1
wonderful,1
