Adjective,Count
good,42
best,38
great,29
friendly,15
Good,13
busy,9
little,9
amazing,8
delicious,8
favorite,8
excellent,7
Best,7
perfect,6
different,6
cool,6
many,6
7th,6
new,6
iced,5
open,5
wonderful,5
cold,5
next,5
quick,5
fantastic,5
nitro,5
Excellent,5
better,5
awesome,4
nice,4
regular,4
espresso,4
typical,4
local,4
bad,4
fresh,4
sour,3
first,3
much,3
happy,3
brown,3
sweet,3
uptown,3
right,3
available,3
chill,3
Great,3
high,3
sure,3
relaxed,3
small,3
indoor,3
higher,3
super,3
Wonderful,3
knowledgeable,3
flat,3
tiny,3
multiple,2
nasty,2
limited,2
worth,2
Cute,2
several,2
patient,2
Friendly,2
Such,2
light,2
counter,2
black,2
large,2
consistent,2
enough,2
single,2
impressed,2
tea,2
Fantastic,2
top,2
greater,2
cute,2
smooth,2
creamy,2
slow,2
pleasant,2
outstanding,2
complex,2
wrong,2
tasty,2
Counter,2
Public,2
incredible,2
real,2
Second,2
Nice,2
severe,1
long,1
enjoyed,1
yummy,1
slight,1
drip,1
prompt,1
AMAZING,1
Most,1
seasonal,1
sad,1
homie,1
liquid,1
moreish,1
overpriced,1
fast,1
efficient,1
pre-made,1
prepared,1
bright,1
hot,1
hard,1
certain,1
wooden,1
simple,1
exceptional,1
oat,1
Original,1
unique,1
true,1
undescribable,1
internal,1
Just,1
Busy,1
fine,1
Creative,1
professional,1
foam,1
plastic,1
Expensive,1
legit,1
Quick,1
informative,1
na,1
unplug,1
“,1
ice,1
phenomenal,1
late,1
beautiful,1
knowledgable,1
please,1
ordinary,1
froth,1
Worth,1
coffee,1
due,1
nearby,1
pay,1
atmosphere,1
brew,1
delish,1
tough,1
😁,1
nutty,1
last,1
strong,1
warm,1
hardest,1
fav,1
original,1
lovely,1
Wish,1
top-notch,1
Ok,1
Nicest,1
robust,1
tbis,1
mu,1
ive,1
cant,1
public,1
larger,1
attentive,1
huge,1
high-quality,1
poor,1
white,1
straight,1
isolated,1
expensive,1
talented,1
clean,1
flavoured,1
usual,1
Delicious,1
particular,1
featured,1
full,1
standard,1
Warm,1
le,1
commerçant,1
enjoy,1
comfortable,1
unbalanced,1
outdoor,1
crazy,1
cheerful,1
solid,1
ready,1
hand-stamped,1
to-go,1
damn,1
weird,1
second,1
hey,1
interested,1
disappointed,1
lucky,1
barista,1
downtown,1
Next,1
ten,1
extra,1
go-to,1
special,1
productive,1
First,1
less,1
table,1
thick,1
12-15,1
decent,1
past,1
pretty,1
Summary,1
4-,1
pricey,1
told,1
equal,1
art,1
thr,1
double,1
Amazing,1
latte,1
Clean,1
online,1
skilled,1
close,1
individual,1
traditional,1
quality,1
5-10,1
seventh,1
worst,1
St,1
mind,1
least,1
hidden,1
basic,1
friendliest,1
stellar,1
additional,1
pumpkin,1
regional,1
