Adjective,Count
great,32
good,24
best,12
friendly,11
favorite,10
nice,9
little,9
Best,6
cool,6
iced,5
Good,5
delicious,5
amazing,5
hot,4
Great,4
open,4
natural,4
rude,3
busy,3
long,3
full,3
close,3
Friendly,3
new,3
perfect,3
local,3
better,3
awesome,3
super,2
non-dairy,2
fancy,2
exceptional,2
quiet,2
seasonal,2
huge,2
cold,2
gorgeous,2
overall,2
Counter,2
Such,2
Nice,2
impressive,2
espresso,2
lovely,2
small,2
live,2
Beautiful,2
excellent,2
several,2
easy,2
pretty,1
Belgian,1
light-rail,1
warmer,1
willing,1
larger,1
pricey,1
lactose-intolerant,1
vibes,1
bigger,1
strong,1
extra,1
incredible,1
worth,1
effortless,1
traditional,1
black,1
inspired,1
current,1
efficient,1
thoughtful,1
excited,1
coffee,1
Delicious,1
rock-solid,1
interior,1
Light,1
Cool,1
spotty,1
able,1
🥞/brunch,1
blonde,1
thin,1
Pretentious,1
mediocre,1
Horrible,1
avocado,1
unnecessary,1
Ambient,1
difficult,1
main,1
available,1
loud,1
earbuds,1
least,1
ok.,1
impossible,1
due,1
ambiant,1
right,1
entire,1
straw,1
suitable,1
biodegradable,1
drinkable,1
reasonable,1
cute,1
south,1
wonderful,1
prompt,1
house-cured,1
tomato,1
aoili-,1
fantastic,1
Clean,1
last,1
decent,1
neat,1
Awesome,1
upset,1
terrible,1
recent,1
short,1
daily,1
chic,1
divine,1
sweet,1
baked,1
cherry,1
pop-tart,1
Cant,1
special,1
slow,1
multiple,1
burnt,1
unpleasant,1
smaller,1
beautiful,1
strange,1
equal,1
enjoy,1
cafe,1
interesting,1
eclectic,1
minor,1
top,1
welcoming,1
casual,1
daddy,1
OK,1
hard-core,1
serious,1
tasty,1
artisan,1
fresh,1
organic,1
average,1
commercial,1
patient,1
unreal,1
trendy,1
quality,1
pastry/baked,1
Wknderful,1
superb,1
HAPPY,1
ONLY,1
Gorgeous,1
peaceful,1
unpretentious,1
third,1
calm,1
Free,1
lit,1
partial,1
single,1
knowledgeable,1
helpful,1
courteous,1
affable,1
bright,1
massive,1
attractive,1
comfortable,1
True,1
outside,1
parking,1
visible,1
latte,1
passing,1
much,1
