Adjective,Count
great,28
good,21
best,20
nice,14
delicious,13
little,10
friendly,9
favorite,8
amazing,7
Good,7
laptop,7
iced,6
perfect,5
awesome,5
cool,5
small,5
local,4
Great,4
excellent,4
tasty,4
bad,4
top,4
sure,4
Best,4
Friendly,3
expensive,3
strong,3
bitter,3
Amazing,3
rude,3
super,3
fresh,3
Excellent,3
new,3
comfortable,3
hot,3
sweet,3
beautiful,3
full,3
pretty,3
cold,3
reasonable,3
Overall,2
cute,2
delightful,2
spectacular,2
helpful,2
yummy,2
terrible,2
professional,2
crazy,2
limited,2
welcome,2
available,2
stellar,2
phenomenal,2
quick,2
“,2
much,2
free,2
first,2
nitro,2
high,2
Perfect,2
tea,2
heavy,2
thoughtful,2
beaten,2
fantastic,2
incredible,2
modern,2
unreasonable,2
busy,2
Spacious,1
average,1
single,1
solid,1
south,1
least,1
state-local,1
seasonal,1
smaller,1
second,1
inclusive,1
clean,1
overall,1
close,1
actitud,1
te,1
outdoor,1
park,1
loud,1
latte-,1
young,1
polite,1
true,1
micro-brew,1
classic,1
Italian,1
oatmeal,1
responsible,1
ethical,1
wrong,1
less,1
safe,1
unwelcome,1
unsafe,1
worst,1
regular,1
pandemic,1
disappointing,1
ready,1
able,1
healthier,1
b4,1
unsweetened,1
steep,1
dangerous,1
اجمل,1
artisanal,1
complete,1
next,1
fabulous,1
Indian,1
cozy,1
foster,1
actual,1
lap,1
absurd,1
bizarre,1
pricey,1
additional,1
large,1
cheap,1
premium,1
odd,1
extra,1
Consistent,1
approachable,1
interactive,1
forbidden,1
Adrian,1
latte,1
surprised,1
peaceful,1
horrible,1
strange,1
Terrible,1
Exceptional,1
Counter,1
inside,1
covered,1
unique,1
serious,1
Doubtful,1
obvious,1
brewed,1
courteous,1
callus,1
Wonderful,1
Pure,1
Free,1
fair,1
bean,1
inedible,1
flat-out,1
fine.,1
”,1
decaf,1
quiet,1
melting,1
generous,1
drip,1
quality,1
friend/pour-over,1
equal,1
adjustable,1
poached,1
skilled,1
sooooo,1
worth,1
worse,1
long,1
later,1
airy,1
off-the-,1
stunning,1
creatively-prepared,1
high-end,1
toast,1
Wi-Fi,1
real,1
unnecessary,1
well-conceived,1
many,1
cinnamon,1
sneaky,1
avocado,1
non-dairy,1
absolute,1
impressive,1
croissant,1
rich,1
sleek,1
laid-back,1
wonderful,1
casual,1
total,1
entire,1
Big,1
numerous,1
copious,1
big,1
unplugged,1
enough,1
vacant,1
avoid,1
peak,1
go-to,1
incompetent,1
noI,1
Such,1
trendy,1
chill,1
decent,1
friendly.The,1
main,1
