Adjective,Count
great,32
nice,18
friendly,10
open,10
Great,10
large,9
good,9
delicious,8
Good,6
super,5
new,5
little,4
excellent,4
knowledgeable,4
amazing,4
spacious,3
much,3
avocado,3
cool,3
small,3
yummy,2
sure,2
regular,2
ridiculous,2
many,2
awesome,2
seasonal,2
loud,2
first,2
perfect,2
giant,2
tiny,2
special,2
next,2
Excellent,2
tasty,2
ceramic,2
outdoor,2
Friendly,2
Spacious,2
favorite,2
pleasant,2
free,2
uptown,2
biggest,2
pickled,2
better,2
big,2
best,2
less,2
Best,2
available,2
Wonderful,2
modern,2
early,1
afforable,1
actual,1
nooks,1
outside,1
watch,1
rich,1
Affordable,1
come,1
Incredible,1
subpar,1
particular,1
initial,1
hot,1
late,1
njc,1
curated,1
well-designed,1
underpaid,1
underappreciated,1
longer,1
huge,1
trendy,1
near,1
difficult,1
higher,1
exceptional,1
creamy,1
Sure,1
great…,1
un,1
diverse,1
sweaty,1
nervous,1
Just,1
expected,1
important,1
tall,1
annoyed,1
disposable,1
table,1
airy,1
inspired,1
full,1
overall,1
cold,1
study,1
hipster,1
Small,1
expensive,1
enjoyable,1
last,1
Open,1
”,1
worst,1
helpful,1
Decent,1
iced,1
weak,1
warehouse-like,1
normal,1
dirty,1
traditional,1
Greek,1
candied,1
enough,1
safe,1
wish,1
false,1
lunch,1
everyday,1
okay,1
Nice,1
comfortable,1
wine-Why,1
unfortunate,1
remote,1
co-working,1
unique,1
better/creamier,1
lovely,1
Japanese,1
fir,1
standard,1
local,1
flat,1
white,1
varied,1
Neat,1
courteous,1
specific,1
picky,1
phenomenal,1
Delicious,1
aesthetic,1
GREAT,1
crazy,1
dead,1
complete,1
smaller,1
write,1
delighted,1
gorgeous,1
COVID,1
wide,1
west,1
flavorful,1
fabulous,1
Overall,1
pretty,1
natural,1
stellar,1
Fantastic,1
Beautiful,1
busy,1
high,1
typical,1
impressive,1
flexible,1
hustle,1
bustle,1
Clean,1
additional,1
