Adjective,Count
good,31
great,28
best,22
friendly,17
delicious,17
nice,14
small,13
little,8
amazing,8
Good,7
excellent,6
Great,6
perfect,6
avocado,5
Best,5
awesome,5
super,5
full,5
uptown,5
fantastic,4
cold,4
first,4
favorite,4
high,4
local,4
seasonal,3
sweet,3
new,3
decent,3
hot,3
tasty,3
worth,3
large,3
sure,3
unique,3
comfortable,3
light,3
quiet,3
wonderful,3
special,3
helpful,3
much,3
Nice,2
Amazing,2
overall,2
many,2
available,2
flavorful,2
short,2
Friendly,2
clean,2
long,2
wrong,2
solid,2
fresh,2
lox,2
better,2
incredible,2
real,2
impressed,2
smooth,2
Excellent,2
Cute,1
complex,1
half,1
cute,1
important,1
biggest,1
delish,1
smaller,1
top,1
traditional,1
divine,1
4-,1
able,1
rush,1
sized,1
working,1
oatmeal,1
picky,1
semi,1
big,1
stuff,1
welcoming,1
quick,1
High,1
service/cute,1
avo,1
heavy,1
disappointed,1
iced,1
lemon,1
Next,1
cookie,1
bad,1
correct,1
pickled,1
amazing…,1
Tasty,1
bougie,1
else,1
pleasant,1
table,1
rare,1
cappuccino,1
right,1
Pleasant,1
online,1
drinkable,1
warm,1
blonde,1
modern,1
urban,1
patient,1
appropriate,1
scrumptious,1
counter,1
late,1
Stellar,1
creamy,1
major,1
typical,1
terrible,1
flat,1
white,1
full-bodied,1
multiple,1
single,1
rich,1
tasted,1
ice,1
weird,1
enough,1
admirable,1
“,1
”,1
almond,1
burnt,1
straight,1
fast,1
free,1
personal,1
un,1
giant,1
Awesome,1
careful,1
double,1
spectacular,1
reasonable,1
2-3,1
italian,1
classic,1
Wonderful,1
boring,1
uncomfortable,1
Beautiful,1
friendliest,1
Ideal,1
exquisite,1
posh,1
beautiful,1
usual,1
minimalistic,1
ready,1
Small,1
huge,1
feels,1
cool,1
near,1
stylistic,1
cracked,1
black,1
knowledgeable,1
toast,1
limited,1
impressive,1
Overall,1
comfy,1
outstanding,1
fig,1
cheese,1
off-menu,1
extra,1
serious,1
Closed,1
Counter,1
trendy,1
fancy,1
Trendiest,1
true,1
Delightful,1
natural,1
simple,1
artificial,1
spot-on,1
key,1
Much,1
quality,1
Just,1
posterior,1
wish,1
pretty,1
uneventful,1
Due,1
7th,1
bright,1
