Adjective,Count
great,100
good,83
many,55
different,43
cool,32
Great,32
little,25
amazing,24
delicious,23
best,18
nice,18
awesome,17
Good,17
first,16
much,16
outdoor,16
Indian,15
clean,14
new,12
Ethiopian,11
busy,11
large,11
favorite,10
outside,10
old,9
sure,9
beautiful,9
expensive,9
free,9
small,8
difficult,7
friendly,7
wide,7
local,7
hard,7
cheese,7
Nice,7
easy,7
unique,7
several,6
grilled,6
Amazing,6
available,6
atmosphere,6
excellent,6
Many,6
tasty,6
Wonderful,6
big,6
high,6
First,6
open,5
casual,5
fun,5
wonderful,5
fantastic,5
hot,5
Such,5
clear,5
next,5
modern,5
industrial,4
ample,4
full,4
fabulous,4
enough,4
Overall,4
last,4
longer,4
hungry,4
international,4
Cool,4
fresh,4
indoor,4
perfect,4
entire,4
pretty,4
multiple,4
bad,4
incredible,4
Awesome,4
Best,4
pet,3
super,3
picky,3
sushi,3
overall,3
neat,3
top,3
better,3
young,3
ethnic,3
retail,3
ready,3
disappointed,3
interesting,3
vegan,3
various,3
cute,3
Free,3
limited,3
like,3
ok,3
stationary,3
lunch,3
wrong,3
able,3
earlier,2
Fantastic,2
u,2
Open,2
Next,2
Excellent,2
coolest,2
social,2
safe,2
agradable,2
papi,2
Asian,2
delightful,2
private,2
laz,2
huge,2
aware,2
garlic,2
poor,2
pricier,2
impressed,2
tricky,2
warm,2
table,2
third,2
authentic,2
enjoyable,2
Huge,2
reasonable,2
early,2
short,2
lamb,2
affordable,2
single,2
Other,2
outstanding,2
nearby,2
light,2
trendy,2
natural,2
crowded,2
eclectic,2
extra,2
late,2
absolute,2
wish,2
flavorful,2
worth,2
personal,2
glad,2
inconvenient,1
10-20,1
sleazy,1
general,1
Better,1
crazy,1
phenomenal,1
hawks,1
understandable,1
pop-up,1
MANY,1
Large,1
historical,1
remote,1
Fabulous,1
comfortable,1
limpio,1
photographed,1
okay,1
cheaper,1
Mexican,1
higher,1
double,1
terrific,1
quick,1
God-foresaken,1
sophisticated,1
Clean,1
parking,1
narrow,1
hawkish,1
cautious,1
encanta,1
postre,1
patient,1
Delish,1
fancy,1
iconic,1
patio,1
horrendous,1
public,1
20th,1
creative,1
parmesan,1
estimated,1
ooey,1
soft,1
weekday,1
helpful,1
Several,1
rare,1
spindle,1
sweet,1
enjoyed,1
Incredible,1
ten,1
picnic,1
sublime,1
brown,1
delish,1
cutest,1
diet,1
senior,1
healthy,1
money…,1
smart,1
Chinese,1
rustic,1
prime,1
cultural,1
cheap,1
gourmet,1
secret,1
wanted,1
giant,1
attentive,1
..,1
ridiculous,1
nonsensical,1
worse,1
automated,1
poorly,1
spendy,1
pre-worry,1
worst,1
popular,1
great-looking,1
frustrating,1
smaller,1
allergy,1
dietary,1
Little,1
pricey,1
lunch/,1
careful,1
sour,1
internacional,1
indecisive,1
present,1
must-go,1
regular,1
fellowship,1
faves-,1
salmon,1
airy,1
knowledgeable,1
sad,1
lol,1
delectable,1
artisan,1
.great,1
romantic,1
live,1
superlative,1
gustatory,1
physical,1
instant,1
interactive,1
vibramt,1
taco,1
Big,1
overwhelming,1
Fav,1
pre-mixed,1
offensive,1
Noble,1
birthday,1
dessert,1
noodle,1
doable,1
11a-3p,1
3-6ish,1
Simple,1
black,1
interested,1
mega,1
ein,1
bester,1
Industrieromatik-Athmosphäre,1
tolle,1
und,1
alle,1
Easy,1
disappointing,1
fashioned,1
capable,1
smoke/second,1
'spensive,1
fusion,1
stretchy,1
menu,1
dog,1
Korean,1
hispanic,1
gustan,1
real,1
courteous,1
professional,1
tempting,1
2nd,1
recommend,1
Average,1
Live,1
historic,1
larger,1
gon,1
udon,1
crowdy,1
empty,1
half,1
added,1
nighttime,1
and/or,1
interior,1
baked,1
pure,1
ssssooo,1
noble,1
tonkotsu,1
awesomest,1
foodie,1
grand,1
eating,1
goood,1
atleast,1
one…,1
fried,1
Enough,1
congested,1
laid,1
definitely,1
tough,1
negative,1
due,1
deeee-licious,1
fierce…Optimist,1
family-fun,1
diverse,1
Betty,1
Decent,1
freaking,1
strong,1
whole,1
green,1
charming,1
broad,1
go,1
adventurous,1
yummy,1
GREAT,1
biggest,1
mindful,1
greatest,1
overcrowded,1
rude,1
mid,1
kinda,1
solid,1
upscale,1
alive,1
right,1
Wish,1
20-25,1
25-45,1
fast,1
willing,1
addictive,1
decent,1
welcome,1
LEGIT,1
toasty,1
bright,1
vegetarian,1
bigger,1
polite,1
equal,1
Upscale,1
primo,1
optimist,1
red,1
electric,1
true,1
least,1
pleasant,1
Italian,1
plenty,1
endless,1
box,1
pizza,1
hidden,1
