Adjective,Count
good,55
great,41
Good,28
clean,17
wrong,14
nice,13
healthy,12
busy,11
quick,11
friendly,11
delicious,10
fresh,10
sure,10
many,9
big,9
fast,9
excellent,8
new,8
past,8
extra,8
first,8
long,8
horrible,8
bad,8
least,7
helpful,7
best,7
little,7
full,7
old,7
small,7
professional,6
second,6
much,6
easy,6
cold,6
whole,6
last,6
Excellent,6
several,5
cheese,5
ready,5
Horrible,5
large,5
awful,5
different,5
correct,5
empty,5
better,5
green,5
sandwich,4
white,4
hard,4
tasty,4
late,4
pleasant,4
Great,4
multiple,4
Clean,4
rude,4
slow,4
perfect,4
lunch,4
red,3
able,3
worst,3
allergic,3
next,3
super,3
overall,3
entire,3
free,3
outdoor,3
wonderful,3
frozen,3
fine,3
usual,3
favorite,3
disappointed,3
everyday,3
Indian,2
salad,2
“,2
cautious,2
safe,2
extreme,2
recent,2
due,2
disappointing,2
frustrated,2
tight,2
loud,2
rapid,2
open,2
outstanding,2
table,2
dirty,2
less,2
consistent,2
incorrect,2
frustrating,2
attentive,2
flat,2
amazing,2
Nice,2
prepared,2
right,2
unacceptable,2
overpriced,2
Friendly,2
fav,2
sweet,2
quiet,2
reasonable,2
short,2
Second,2
Fresh,2
Green,2
happy,2
tough,2
healthier,2
accurate,2
popular,2
pretty,2
huge,2
relative,2
sanitary,2
decent,2
curbside,1
well-staffed,1
mac,1
take-out,1
kiosk,1
appalled,1
dietary,1
whipped,1
preparation-,1
severe,1
alert,1
life-threatening,1
4-star,1
5-star,1
regular,1
potential,1
idk,1
Ridiculous,1
homeless,1
closest,1
available,1
Pleased,1
pandemic,1
familiar,1
Open,1
early,1
Many,1
embarrassed,1
как,1
dine-in,1
leisurely,1
Stupendous,1
sick,1
corporate,1
cheap,1
spotless,1
relaxing,1
phenomenal,1
Greek,1
Small,1
ok.,1
warm,1
vegetarian,1
oblivious,1
gluten,1
incompetent,1
negative,1
2-3,1
human,1
high,1
Expensive,1
minute,1
single,1
humorous,1
smoothly,1
Terrible,1
horseradish,1
Amazing,1
/sticky,1
spilled,1
various,1
imaginable,1
yucky,1
visible,1
public,1
young,1
surprised,1
average,1
convenient,1
carry-out,1
v,1
missing/incorrect,1
tastiest,1
typical,1
amable,1
dreary,1
stale,1
iced,1
confident,1
inspired,1
local,1
unusual,1
numerous,1
clear,1
willing,1
costly,1
special,1
current,1
ongoing,1
Quiet,1
too-,1
Cold,1
Super,1
sorry,1
tall,1
superb,1
lemonade,1
French,1
pick,1
to-,1
u,1
Most,1
baked,1
plus,1
dining,1
macaroni,1
black,1
racial,1
plain,1
ole,1
Consistent,1
Chief,1
inadequate,1
gritty,1
mush,1
Generous,1
suitable,1
prime,1
sealed,1
cleanliness,1
Delicious,1
comfortable,1
glad,1
alternative,1
Big,1
mean,1
ice,1
filthy,1
ta,1
melted,1
raw,1
pickled,1
poor,1
decline,1
oh,1
outside,1
personal,1
fantastic,1
careful,1
half,1
light,1
broccoli/cheese,1
chewy,1
dark,1
burnt,1
ample,1
giant,1
rare,1
relaxing/offers,1
alright,1
pickup,1
dessert,1
close,1
To-go,1
premade,1
appear,1
self,1
lower,1
mediocre,1
crunchy,1
particular,1
impressive,1
similar,1
certain,1
🤦🏻‍♀️,1
crappy,1
worse,1
real,1
enough,1
nasty,1
hot,1
orange,1
sour,1
bloody,1
friendliest,1
greater,1
to-go,1
sent,1
stupid,1
spend,1
understaffed,1
toasted,1
nicest,1
comforable,1
hungry,1
rich,1
neat,1
un,1
Needless,1
ordered,1
freshest,1
odd,1
inconvenient,1
Asian,1
serious,1
spoiled,1
ok,1
bus,1
solvable,1
Yummy,1
polite,1
exceptional,1
spectacular,1
cordial,1
awkward,1
Free,1
soups,1
present,1
online,1
latest,1
arrive,1
WONDERFUL,1
dumb,1
bogus,1
Ca,1
Best,1
common,1
Awesome,1
4-5,1
terrible,1
off-peak,1
unnecssary,1
Positive,1
Efficient,1
laptop,1
standard,1
Other,1
Worse,1
inexcusable,1
liberal,1
office-away-from-the-office,1
