Adjective,Count
good,45
great,28
nice,13
delicious,13
new,10
clean,10
Good,10
last,9
bad,9
busy,9
much,9
sure,9
hard,8
hot,8
first,8
friendly,8
quick,8
cold,7
long,7
best,6
dirty,6
ok,6
better,6
healthy,6
extra,5
cheese,5
short,5
wrong,5
wonderful,5
ready,5
small,5
fresh,5
horrible,5
excellent,4
terrible,4
due,4
less,4
warm,4
sticky,4
correct,4
Terrible,4
sandwich,3
chipotle,3
little,3
favorite,3
salad,3
Last,3
awesome,3
chicken,3
easy,3
right,3
curbside,3
old,3
brown,3
usual,3
least,3
black,3
fine,3
Nice,3
Excellent,3
big,3
many,3
sorry,3
wheelchair,2
cashier,2
overall,2
please,2
oatmeal,2
green,2
huge,2
filthy,2
timely,2
corporate,2
invalid,2
multiple,2
super,2
perfect,2
Wish,2
dry,2
second,2
grilled,2
soggy,2
Friendly,2
available,2
large,2
pleasant,2
chin,2
whole,2
stale,2
empty,2
slowest,2
lunch,2
expensive,2
turkey,2
poor,2
convenient,2
disappointing,2
aware,2
front,2
raw,2
efficient,2
simple,2
enough,2
Clean,2
worst,2
helpful,2
safe,2
Asian,2
consistent,2
noodle,2
popular,2
general,2
reasonable,2
bread,2
sweet,2
OK,2
different,2
awful,2
plain,1
cloudy,1
Best,1
memorable,1
odd,1
cashless,1
strange,1
yr,1
5-7,1
particular,1
empathetic,1
corrective,1
random,1
Short,1
early,1
impossible,1
older,1
tough,1
patient,1
solid,1
charred,1
Least,1
softer,1
muti-Million,1
minimal,1
inedible,1
Huge,1
current,1
upset,1
kitchen,1
mile,1
total,1
personal,1
front-of-house,1
unfortunate,1
”,1
necessary,1
arrival,1
“,1
open,1
beneficial,1
rudimentary,1
unlikely,1
mediterainian,1
stellar,1
single,1
divine,1
un,1
in-store,1
TO-GO,1
ongoing,1
pizza,1
possible,1
flatbread,1
comfortable,1
pretty,1
several,1
unprofessional,1
classic,1
white,1
thick,1
Such,1
10-15,1
hungry,1
overeasy,1
rush,1
noddle,1
mixed,1
fruit,1
separate,1
young,1
bakery,1
major,1
pepperoni,1
red,1
couple,1
French,1
lemon,1
later,1
proper,1
Other,1
sick,1
greek,1
vegetable,1
covid,1
outstanding,1
Delicious,1
lady,1
varied,1
higher,1
fifteen,1
highest,1
gross,1
drink,1
normal,1
rundown,1
forgotten,1
outside,1
....,1
parked,1
ridiculous,1
trained,1
Greek,1
unbelievable,1
top,1
Management,1
courteous,1
positive,1
horrific,1
baked,1
recent,1
courtesy,1
entree,1
Hot,1
Horrible,1
able,1
real,1
honest,1
Great,1
Curtious,1
zero,1
insane,1
professional,1
pleased,1
tuff,1
special,1
tortilla,1
rainy,1
interested,1
bitter,1
frontega,1
bigger,1
busier,1
boisterous,1
entire,1
ordinary,1
rude,1
prompt,1
facial,1
unkempt,1
trashy,1
Perfect,1
seating.only,1
typical,1
added,1
shredded,1
former,1
lemonde,1
nature,1
First,1
unable,1
sunny,1
everyday,1
bt,1
low,1
pecan,1
dissatisfied,1
impersonal,1
cramped,1
dish,1
microwaved,1
cafe,1
whipped,1
Cafe,1
fundamental,1
enjoyable,1
specific,1
happy,1
Busy,1
free,1
high,1
decent,1
Many,1
togo,1
erroneous,1
wait,1
difficult,1
02-26-17,1
understanding,1
*,1
apologetic,1
reliable,1
Italian,1
Sad,1
YOU,1
stonewalled,1
oh,1
NEW,1
serious,1
filling,1
rich,1
flavorful,1
conducive,1
avocado,1
smaller,1
polite,1
cool,1
loud,1
slow,1
disrespectful,1
shouldnt,1
rapid,1
quiet,1
alternative,1
frequent,1
pAyyy,1
