Adjective,Count
good,55
great,37
Good,31
nice,27
friendly,23
delicious,18
Excellent,11
quick,11
fresh,10
Great,10
ready,9
tasty,8
last,8
worst,8
available,8
small,8
little,8
busy,8
clean,8
healthy,8
favorite,7
best,7
better,7
hot,7
outside,7
first,6
correct,6
sure,6
cold,6
helpful,6
usual,6
new,6
excellent,6
wrong,5
bad,5
Clean,5
extra,5
easy,5
cheese,5
fast,5
large,4
smaller,4
entire,4
long,4
lunch,4
several,4
convenient,4
slow,4
special,4
Fresh,4
right,4
ok,4
second,3
old,3
many,3
accurate,3
awesome,3
late,3
due,3
Friendly,3
super,3
curbside,3
aware,3
next,3
Nice,3
decent,3
sandwich,3
efficient,3
whole,3
higher,2
past,2
human,2
awful,2
empty,2
dirty,2
table,2
terrible,2
slowest,2
inviting,2
loud,2
polite,2
okay,2
iced,2
overall,2
young,2
regular,2
..,2
much,2
horrible,2
fine,2
flatbread,2
Terrible,2
familiar,2
Fantastic,2
cool,2
french,2
expensive,2
poor,2
prompt,2
quiet,2
cozy,2
amazing,2
to-go,2
unapologetic,2
hard,2
minimal,2
Best,2
black,2
impressed,2
limited,2
stale,2
free,2
remote,2
comfortable,2
Last,2
peak,2
self-service,2
worth,1
self,1
soup,1
creamy,1
crazy,1
slimey,1
sticky,1
pathetic,1
timely,1
u,1
tasted,1
thoughtful,1
15-20,1
biggest,1
meaningful,1
noticeable,1
front,1
current,1
self-serve,1
rude,1
dry,1
Rest,1
sweet,1
skim,1
milk,1
altered,1
coffee,1
hospitable,1
To-Go,1
single,1
unsanitary,1
interior,1
outdated,1
pleased,1
able,1
01-04-2022,1
dine-in,1
tight,1
pandemic,1
Overall,1
Consistent,1
aspirational,1
30-minute,1
expected,1
colombian,1
online,1
specific,1
oiled,1
Impressive,1
Authentic,1
Indian,1
Reasonable,1
particular,1
pleasant,1
pick-up,1
suitable,1
substitute,1
delicious-5,1
separate,1
different,1
grateful,1
Ample,1
lovin,1
vibe,1
least,1
lazy,1
make,1
handicap,1
incorrect,1
profiled,1
unacceptable,1
early,1
spider,1
fantastic,1
bread,1
.10,1
short,1
covid,1
Busy,1
full,1
location-,1
extended,1
perfect,1
Real,1
coffee-based,1
overpriced,1
net,1
danish,1
.very,1
calm,1
cant,1
apathetic,1
Pathetic,1
indecisive,1
Favorite,1
experienced,1
high,1
responsive,1
present,1
understandable,1
disappointing,1
sorry,1
drive,1
unapproachable,1
sick,1
diet,1
normal,1
simple,1
baked,1
tucked,1
corporate,1
Plenty,1
please,1
soft,1
absurd,1
prepared,1
understaffed,1
romantic,1
unwrapping,1
attentive,1
couple,1
Lovely,1
calorie,1
closest,1
rapid,1
bulk,1
patient,1
entertaining,1
congested,1
difficult,1
weekday,1
disorganized,1
Double,1
typical,1
fire-pit,1
immediate,1
major,1
Decent,1
tomato,1
chicken,1
hasty,1
sloppy,1
atmosphere,1
acceptable,1
close,1
refillable,1
unknown,1
tasteless,1
kettle,1
dull,1
Horrible,1
sprouted,1
adequate,1
fair,1
alright,1
modern,1
Wish,1
puddle,1
flawless,1
larger,1
für,1
den,1
sein,1
ansonsten,1
sehr,1
gerne,1
gluten-free,1
AMAZING,1
quite,1
delectable,1
thier,1
filthy,1
wonderful,1
Other,1
phenomenal,1
competent,1
personable,1
reasonable,1
promised,1
ok.,1
sour,1
grest,1
negative,1
neighboring,1
strange,1
immaterial,1
indifferent,1
missed,1
general,1
yummy,1
Typical,1
uncaring,1
consistent,1
Healthy,1
wax,1
nicest,1
popular,1
sufficient,1
tough,1
Always,1
tricky,1
toasted,1
minute,1
important,1
smart,1
diverse,1
dietary,1
exceptional,1
real,1
French,1
direct,1
hungry,1
