Adjective,Count
good,48
great,22
nice,17
fresh,15
Good,15
wrong,12
friendly,10
small,10
hot,10
clean,9
best,9
busy,9
little,9
cheese,8
cold,8
last,8
first,8
healthy,8
rude,7
excellent,7
slow,7
ready,6
much,6
fast,6
open,6
delicious,6
Great,6
wonderful,5
grilled,5
long,5
better,5
new,5
usual,5
expensive,5
correct,5
bad,5
old,4
Nice,4
helpful,4
sure,4
favorite,4
horrible,4
due,4
empty,4
free,4
Friendly,4
large,4
aware,4
awesome,4
quick,4
next,4
Excellent,4
hard,3
Last,3
tasty,3
iced,3
amazing,3
full,3
burnt,3
available,3
young,3
sad,3
disappointed,3
whole,3
happy,3
big,3
sorry,3
online,3
Delicious,3
several,3
Horrible,3
outside,3
difficult,3
terrible,3
perfect,3
inconsistent,2
general,2
worse,2
worth,2
main,2
special,2
past,2
flat,2
bread,2
simple,2
Terrible,2
worst,2
disrespectful,2
pleasant,2
least,2
drive-thru,2
regular,2
web,2
patio,2
huge,2
slowest,2
poor,2
cheap,2
skimpy,2
mid,2
easy,2
sweet,2
professional,2
sandwich,2
frustrating,2
warm,2
many,2
satisfied,2
able,2
Typical,2
Clean,2
average,2
Best,2
Limited,2
entire,2
efficient,2
different,2
Worse,1
rice,1
utensils,1
Other,1
watered,1
overall,1
luke,1
Next,1
biggest,1
edible,1
particular,1
thin,1
dissernable,1
table,1
electric,1
wow,1
“,1
salty,1
sour,1
stale,1
dry,1
fave,1
less,1
possible,1
detailed,1
sandwish,1
fourth,1
excited,1
front,1
automated,1
drive-through,1
late,1
U-Pick2,1
unprofessional,1
top,1
saved,1
super,1
tiny,1
awful,1
brown,1
internal,1
requested,1
tummy,1
flatbread,1
chipotle,1
cream,1
solid,1
Unacceptable,1
understaffed,1
quiet,1
curbside,1
waverly,1
rudest,1
careful,1
understanding,1
right,1
nose,1
positive,1
white,1
horseradish,1
prickly,1
pear,1
refreshing,1
multiple,1
high,1
focaccia,1
indoor,1
raw,1
Green,1
overpriced,1
lukewarm,1
dead,1
present,1
Most,1
disgusting,1
half,1
incomplete,1
covid-,1
food-,1
tomato,1
consistent,1
social,1
separate,1
nutritious,1
yummy,1
mushy,1
monthly,1
soup,1
prior,1
salad,1
Fantastic,1
side,1
unable,1
sloppy,1
disappointing,1
Slow,1
dense,1
pretty,1
encantó,1
delish,1
pricey,1
second,1
third,1
superb,1
important,1
lower,1
toasted,1
longer,1
messy,1
pick-2,1
fat/skin,1
green,1
single,1
Nasty,1
vegetable,1
u,1
Unimpressive,1
great-,1
real,1
OTHERS,1
ok,1
thick,1
self,1
danish,1
Easy,1
quick-service,1
pleased,1
Awful,1
double,1
earlier,1
easier,1
glad,1
French,1
enclosed,1
outstanding,1
balsamic,1
wait,1
12:45-1:00,1
lunch,1
4:00-4:15,1
Understandable,1
Busy,1
semi-melted,1
ok.,1
judgemental,1
sub,1
rapid,1
knowledgeable,1
typical,1
gracious,1
smoothy,1
consecutive,1
bright,1
decent,1
accurate,1
loud,1
drive,1
make,1
Pricey-ish,1
alright,1
wilted,1
designated,1
school/business,1
temp,1
tonight,1
willing,1
various,1
go-to,1
kiosk,1
outdoor,1
rewards,1
healthier,1
comfortable,1
casual,1
drink,1
courteous,1
allergic,1
