Adjective,Count
good,40
great,30
wrong,16
friendly,16
clean,15
Good,14
first,13
nice,13
little,11
bad,11
quick,10
much,10
second,10
least,9
best,9
last,8
whole,8
rude,8
Great,8
ready,8
better,7
fresh,7
delicious,7
full,6
excellent,6
hot,6
incorrect,6
cold,6
healthy,6
favorite,5
hard,5
long,5
wonderful,5
young,5
different,5
many,5
grilled,5
“,4
extra,4
helpful,4
late,4
horrible,4
regular,4
busy,4
free,4
correct,4
next,4
sure,4
old,4
available,4
new,4
poor,4
overall,4
fast,4
several,4
big,4
Friendly,4
professional,4
right,4
Excellent,4
entire,3
Typical,3
salad,3
cheese,3
past,3
due,3
white,3
super,3
special,3
fantastic,3
obvious,3
huge,3
empty,3
unacceptable,3
enough,3
worst,3
small,3
online,3
quiet,3
corporate,2
unprofessional,2
fine,2
important,2
average,2
hungry,2
particular,2
expensive,2
front,2
able,2
warm,2
respectful,2
arrive,2
easy,2
solid,2
awesome,2
pleasant,2
decent,2
generous,2
large,2
back,2
dirty,2
actual,2
amazing,2
Green,2
perfect,2
red,2
simple,2
polite,2
usual,2
horrendous,2
handicapped,2
bread,2
emphatic,2
Fantastic,2
sorry,2
Polite,2
ok.,2
casual,2
asap,1
discrete,1
YOUR,1
oatmeal,1
bottom,1
Proper,1
odd,1
public,1
fail,1
wifi,1
irritated,1
flippant,1
checked-out,1
interactions…My,1
acknowledging,1
to-go,1
sourdough,1
oh,1
pretty,1
miss,1
honest,1
dirtier,1
grateful,1
avaiilable,1
preferred,1
non-busy,1
poor-serviced,1
detailed,1
outside,1
loud,1
expresso,1
worse,1
Greek,1
Asian,1
third,1
pandemic,1
restaurant,1
rare,1
smallest,1
non-dairy,1
dietary,1
understanding,1
thick,1
thin,1
sprouted,1
American,1
soggy,1
disgusted,1
First,1
Always,1
..,1
cooperative,1
Pathetic,1
OK,1
logic,1
glad,1
sheep,1
recurrent,1
sick,1
gross,1
maximum,1
waiting,1
minutes.Despite,1
key,1
sandwich,1
soft,1
lunch,1
black,1
normal,1
Such,1
asiago,1
bear,1
fair,1
cleaner,1
low,1
closing,1
lit,1
accessible,1
click,1
expired,1
happier,1
unusual,1
proud,1
kicthen,1
absolute,1
unattended,1
sticky,1
real,1
closest,1
positive,1
impressed,1
appreciative,1
courteous,1
cage-free,1
hard-boiled,1
Nutritional,1
disappointing,1
20-,1
parking,1
patient,1
apologetic,1
unforgivable,1
designated,1
general,1
unkempt,1
gloved,1
deli,1
crumpled,1
brown,1
Last,1
seasoned,1
susceptible,1
encouraging,1
stressful,1
charismatic,1
personal,1
ok,1
specific,1
gon,1
Busy,1
longer,1
rapid,1
hateful,1
upset,1
worth,1
unsweetened,1
plum,1
stocked,1
delish,1
typical,1
consistent,1
despicable,1
facial,1
mediocre,1
geeat,1
lazy,1
High,1
nasty,1
11-1,1
Small,1
slapped,1
cool,1
additional,1
poppy,1
espresso,1
Double,1
el,1
las,1
ensaladas,1
limpio,1
se,1
meeting,1
super-nice,1
thorough,1
tasty,1
okay,1
disrespectful,1
filthy,1
hay,1
broccoli,1
encantan,1
especial,1
Convenient,1
Amazing,1
Decent,1
sociable,1
dry,1
greatest,1
fixed,1
wait,1
reasonable,1
min,1
thoughtful,1
close,1
early,1
famous,1
bright,1
nourishing,1
scrumptous,1
self-ordering,1
superb,1
peaceful,1
tricky,1
dicey,1
Apparent,1
SECOND,1
Ridiculous,1
Terrible,1
Fourteen,1
Expensive,1
Highly,1
national,1
messy,1
slower,1
major,1
carbonated,1
funny,1
Delicious,1
Easy,1
weekly,1
Awesome,1
comfortable,1
speechless,1
wirh,1
convenient,1
uptown,1
difficult,1
congested,1
tiny,1
Able,1
efficient,1
neat,1
GREAT,1
tough,1
FREE,1
keep,1
common,1
welcoming,1
american,1
Clean,1
Other,1
cooking,1
louder,1
hood,1
Overall,1
appropriate,1
less,1
table,1
incredible,1
Multiple,1
local,1
willing,1
To-go,1
retail,1
asign,1
various,1
iced,1
blue,1
organic,1
biggest,1
unsafe,1
spacious,1
dessert,1
refreshing,1
bean,1
flat,1
busier,1
basic,1
likely,1
minor,1
pleased,1
Above-average,1
brisk,1
impossible,1
ignorant,1
associate,1
else,1
mine,1
terrible,1
