Adjective,Count
good,63
great,33
wrong,23
Good,23
clean,20
worst,19
nice,16
ready,16
friendly,15
cold,14
new,12
long,11
little,11
hot,10
sure,10
helpful,9
correct,9
many,8
single,8
busy,8
expensive,8
poor,8
different,8
small,8
delicious,8
hard,7
drive,7
last,7
empty,7
least,7
first,6
rude,6
fresh,6
disappointed,6
cheese,6
quick,6
excellent,6
slow,6
particular,5
full,5
several,5
whole,5
warm,5
large,5
free,5
better,5
online,5
light,5
right,5
favorite,5
“,4
old,4
fine,4
worth,4
fast,4
usual,4
super,4
extra,4
sandwich,4
third,4
awful,4
drive-through,4
bad,4
terrible,4
iced,4
wonderful,4
multiple,3
open,3
healthy,3
apologetic,3
high,3
prepared,3
best,3
happy,3
toasted,3
due,3
less,3
entire,3
Decent,3
big,3
hungry,3
common,3
much,3
tough,3
..,3
easy,3
horrible,3
next,3
late,3
smaller,3
real,3
quicker,2
annoyed,2
unacceptable,2
short,2
higher,2
sorry,2
longer,2
wait,2
straw,2
polite,2
bread,2
Terrible,2
front,2
plastic,2
ridiculous,2
certain,2
filthy,2
table,2
inconsistent,2
able,2
rapid,2
tiny,2
lousy,2
necessary,2
una,2
fue,2
un,2
available,2
tasty,2
happen,2
ok,2
decent,2
basic,2
caprese,2
perfect,2
Excellent,2
young,2
curbside,2
Best,2
attentive,2
willing,2
consistent,2
Clean,2
drive-thru,2
low,2
safe,2
french,2
Great,2
similar,2
negative,2
likely,2
half,2
dirty,2
crazy,2
okayish,2
allergic,2
checked,1
worse,1
incorrect,1
dry,1
mobile,1
recent,1
confused,1
sassy,1
um,1
snarky,1
local,1
Other,1
specific,1
unhelpful,1
untrained,1
main,1
aggrivated,1
forgot,1
enough,1
drink,1
Dependable,1
15-20,1
miserable,1
sparse,1
ample,1
vast,1
remarkable,1
panera,1
limited,1
disappointing,1
Pathetic,1
saddest,1
white,1
broken,1
caring,1
respectful,1
nicest,1
angry,1
vegetarian,1
unhappy,1
nonsense…,1
mistake-,1
older,1
understaffed,1
incomplete,1
idk,1
modified,1
sweet,1
Unsweetened,1
timed,1
desirable,1
pre-ordered,1
curb-side,1
More,1
joint,1
couple,1
back,1
nasty,1
grilled,1
Asian,1
plain,1
wild,1
watery,1
impressed,1
cheaper,1
normal,1
frustrating,1
tinted,1
pumpkin,1
chlorine-like,1
vulgar,1
no-,1
sliced,1
bag-,1
electronic,1
waverly,1
double,1
friendly/fast,1
re-,1
moldy,1
accurate,1
dispatched,1
comer,1
más,1
pedidos,1
los,1
empleados,1
confusing,1
permite,1
quizas,1
nos,1
tiempo,1
ese,1
professional,1
Wet,1
chewy,1
strong,1
frozen,1
curb,1
Flavorful,1
enjoyable,1
Fair,1
green,1
valuable,1
teenage,1
drill,1
rich,1
kryptonite,1
impeachment,1
cautious,1
ot,1
pandemic,1
reheated,1
timely,1
morning.First,1
kitchen,1
rush,1
nonexistent,1
amazing,1
fair,1
modern,1
pleasant,1
Any,1
4th,1
outstanding,1
clear,1
First,1
complimentary,1
Limited,1
total,1
photos,1
blank,1
visable,1
tight,1
souffle,1
lucky,1
yummy,1
soup,1
Phenomenal,1
unique,1
baked,1
well-stocked,1
freaking,1
organic,1
Easy,1
Ample,1
whopping,1
Also-,1
thin,1
burnt,1
inedible,1
iPad,1
Nice,1
comfortable,1
Quiet,1
second,1
outside,1
inconsiderate,1
gross,1
customized,1
utensils,1
satisfied,1
popular,1
swiss,1
overall,1
scrambled,1
dumbest,1
1-2,1
past,1
prompt,1
skimpy,1
stone,1
minimal,1
hello,1
cafe,1
inattentive,1
브런치를,1
important,1
serving,1
enthusiastic,1
soggy,1
complete,1
Wish,1
minute,1
cashier,1
email,1
close,1
pathetic,1
corporate,1
upset,1
repeated,1
convenient,1
blasted,1
*,1
technical,1
savory,1
exact,1
automated,1
noone,1
interested,1
huge,1
please,1
ham,1
sloppy,1
additional,1
messy,1
cleaner,1
6-10,1
excessive,1
unavailable,1
sticky,1
like,1
dead,1
heavy,1
30-45,1
stale,1
pricey,1
instant,1
slicing,1
Disappointing,1
superb,1
potstoe,1
steady,1
A-ARon,1
fiesta,1
foul,1
difficult,1
human,1
capable,1
thru,1
Horrible,1
obnoxious,1
seamless,1
Long,1
scrumptious,1
typical,1
Greek,1
crusty,1
5-6,1
worried,1
favourite,1
tricky,1
pretty,1
impressive,1
