Adjective,Count
good,56
great,38
friendly,22
Good,15
slow,13
new,12
busy,10
clean,10
full,10
wrong,10
little,9
ready,8
long,8
super,8
least,7
correct,7
nice,7
better,7
best,7
delicious,7
quick,7
sure,7
bad,7
easy,6
polite,6
fresh,6
extra,6
fast,6
to-go,6
first,6
several,5
awesome,5
last,5
cheese,5
Great,5
general,5
small,5
Excellent,5
iced,4
hot,4
free,4
late,4
short,4
healthy,4
able,4
expensive,4
Nice,4
whole,4
excellent,4
limited,4
big,4
much,4
helpful,4
second,4
sandwich,4
incorrect,3
favorite,3
enough,3
right,3
rude,3
professional,3
hard,3
typical,3
cashier,3
many,3
multiple,3
worst,3
high,3
green,3
usual,3
empty,3
dirty,3
online,2
accurate,2
sweet,2
pleasant,2
cold,2
Wonderful,2
rapid,2
regular,2
ranch,2
white,2
peak,2
real,2
aware,2
average,2
efficient,2
Clean,2
tasty,2
young,2
neat,2
burnt,2
complete,2
open,2
available,2
mobile,2
lunch,2
single,2
consistent,2
soggy,2
impressive,2
poor,2
large,2
balsamic,2
First,1
act,1
mixed,1
palm,1
conducive,1
unpleasant,1
unclicked,1
unlimited,1
corporate,1
bright,1
10-15,1
closest,1
good👍,1
poppy,1
lunch.The,1
thoughtful,1
past,1
personal,1
quietest,1
una,1
costumer,1
chase,1
huge,1
Every,1
drive,1
crib,1
annoyed,1
unable,1
broccoli-cheddar,1
impressed,1
effective,1
Open-concept,1
baked,1
Such,1
weird,1
unfortunate,1
salad,1
OK,1
possible,1
amazing,1
sloppy,1
friendliest,1
FRESH,1
ya,1
curbside,1
ruined,1
sticky,1
10-person,1
recomendable,1
third,1
normal,1
dining-in,1
outdoor,1
runny,1
prepackaged,1
pleased,1
Worse,1
lunchtime,1
square,1
courteous,1
expedious,1
superb,1
i.e,1
prefect,1
Amazing,1
cheaper,1
easier,1
noodle,1
Warm,1
modern,1
lucky,1
tough,1
Local,1
stale,1
foul,1
Frequent,1
inaccurate,1
Other,1
fine,1
likely,1
bagels,1
internal,1
chaotic,1
chronic,1
certain,1
french,1
though-,1
Basic,1
avocado,1
horrible,1
Expensive,1
inconvenient,1
slower,1
almond,1
due,1
drive-thru,1
solid,1
abundant,1
please,1
human,1
chicken,1
Last,1
..,1
soft,1
plain,1
timely,1
Solid,1
larger,1
less,1
inedible,1
sad,1
French,1
apathetic,1
smallest,1
slowest,1
seasonal,1
unsliced,1
needless,1
dry,1
old,1
newer,1
worse,1
dissatisfied,1
parmesan,1
Pleasant,1
pricey,1
thos,1
smooth,1
eatable,1
ok,1
particular,1
happy,1
personable,1
availible,1
phenomenal,1
uniform,1
Small,1
lowest,1
snd,1
pick-up,1
meek,1
disappointed,1
welcoming,1
Most,1
proper,1
performing,1
Classic,1
longer,1
outside,1
Terrible,1
unsanitary,1
basic,1
decent,1
terrible,1
scrambled,1
wonderful,1
Hopeless,1
hopeless,1
.3,1
poppyseed,1
drive-through,1
closed,1
Easy,1
interested,1
Fresh,1
filthy,1
black,1
sizeable,1
additional,1
rushed,1
srive,1
messy,1
prompt,1
healthiest,1
luke,1
bread,1
