Adjective,Count
good,26
great,24
Good,16
nice,11
fresh,10
friendly,9
quick,9
clean,8
best,8
ready,7
delicious,6
uptown,5
many,5
little,5
busy,5
healthy,5
cheese,4
Great,4
Friendly,4
helpful,4
easy,4
expensive,4
last,4
right,3
wrong,3
small,3
cold,3
rude,3
outside,3
rapid,3
excellent,3
long,3
hot,3
sweet,3
favorite,3
lunch,3
next,3
warm,3
fast,3
second,2
open,2
Nice,2
Courteous,2
sure,2
tiny,2
high,2
alright,2
awesome,2
Excellent,2
French,2
short,2
human,2
front,2
normal,2
able,2
several,2
general,2
pleasant,2
reasonable,2
enough,2
u,2
special,2
ok,2
Fantastic,2
better,2
perfect,2
sandwich,2
fantastic,2
decent,2
unprofessional,1
upper,1
sloppy,1
messy,1
fine,1
frustrating,1
soup,1
impressed,1
listed,1
mediocre,1
shoty,1
patient,1
bad,1
chicken,1
gross,1
closed,1
major,1
familiar,1
outrageous,1
deceptive,1
printed,1
corporate,1
consistent,1
old,1
productive,1
apparent,1
less,1
impersonal,1
unpersönlich,1
aber,1
ist,1
amazing,1
different,1
Modern,1
slower,1
table,1
Usual,1
questionable,1
mobile,1
big,1
certain,1
relative,1
comparable,1
multiple,1
overpriced,1
store-,1
👌,1
disappointed,1
pecan,1
coffee+refill,1
Incorrect,1
hummus,1
mustard,1
pretty,1
Fabulous,1
American,1
lovin,1
nutritional,1
vegetarian,1
Decent,1
professional,1
yummy,1
regular,1
him-,1
Awesome,1
understandable,1
fake,1
unsanitary,1
Last,1
toilet,1
Fresh,1
mam,1
Terrible,1
bare,1
3-6,1
due,1
bummed,1
top,1
outdoor,1
bread,1
stable,1
green,1
gloomy,1
lemon,1
added,1
prepared,1
granola,1
go-to,1
foreign,1
eating,1
specific,1
awful,1
correct,1
late,1
automated,1
cashier,1
enjoyable,1
glazed,1
worst,1
nearest,1
full,1
large,1
Easy,1
typical,1
¢υѕтσмєея,1
¢υѕтσмєя,1
soo,1
longer,1
black,1
wow,1
noodle,1
wonderful,1
single,1
fabulous,1
peaceful,1
first,1
dismissive,1
Typical,1
cozy,1
relaxed,1
walked,1
window,1
apologetic,1
basic,1
poor,1
upset,1
sorry,1
rough,1
hospitable,1
close,1
frequent,1
efficient,1
possible,1
hectic,1
argumentative,1
e,1
organic,1
hard,1
told,1
SECOND,1
peak,1
friendliest,1
in-town,1
Mon-,1
lousy,1
curly,1
unidentifiable,1
plastic,1
wide,1
