Adjective,Count
great,17
good,15
little,9
delicious,8
nice,7
friendly,7
amazing,7
super,6
best,5
favorite,5
hard,4
sure,4
new,4
next,4
last,3
Great,3
outdoor,3
many,2
prepared,2
scrambled,2
close,2
sandwich,2
Friendly,2
different,2
fantastic,2
welcoming,2
special,2
fresh,2
First,2
cheese,2
hidden,2
thick,2
awesome,2
personal,2
local,2
incredible,2
Best,2
small,2
delish,1
correct,1
superior,1
posti,1
undesirable,1
pleased,1
basic,1
awhile,1
cooked,1
cheap,1
offensive,1
please,1
least,1
inform,1
hot-smoked,1
disappointed,1
nearby,1
Amazing,1
guest,1
old,1
Special,1
kindest,1
✨DIVINE,1
Decent,1
neat,1
online,1
enjoyable,1
harsh,1
write,1
dang,1
single,1
on-tap,1
culinary,1
nourish,1
brilliant,1
perfect,1
ya,1
first,1
delicous,1
fishy,1
raw,1
smoked,1
n,1
wonderful,1
Good,1
cute,1
side,1
chipotle,1
atmosphere,1
Incredible,1
wholesome,1
Awesome,1
sammich,1
Puppy,1
♿,1
accessible,1
updog,1
-Your,1
wicked,1
pastrami,1
Wonderful,1
Attentive,1
dog,1
smart,1
capable,1
out-of-this-world,1
flavourful,1
delectable,1
instant,1
addicting,1
grilled,1
local/homemade,1
alcoholic,1
non-alcoholic,1
Next,1
Candied,1
crunchy,1
bad,1
Few,1
nicest,1
due,1
genuine,1
obvious,1
Cant,1
able,1
pandemic,1
regular,1
worth,1
Fantastic,1
affordable,1
yummy,1
horseradish,1
interesting,1
better,1
