Adjective,Count
great,19
nice,10
good,10
peaceful,9
warm,9
local,8
beautiful,8
wonderful,8
sweet,8
delicious,7
first,7
special,6
best,6
Great,6
live,6
cozy,5
amazing,5
tea,5
small,5
knowledgeable,4
unique,4
loose,4
awesome,4
right,4
different,4
perfect,4
relaxing,4
Such,4
whole,4
cute,4
serene,4
next,3
available,3
friendly,3
Wonderful,3
free,3
inviting,3
favorite,3
open,3
new,3
comfortable,3
glad,3
clean,3
black,3
many,3
herbal,3
lovely,2
sweetest,2
attentive,2
informative,2
little,2
delightful,2
apothecary,2
Excellent,2
helpful,2
able,2
calm,2
welcoming,2
sacred,2
super,2
full,2
sure,2
pleasant,2
long,2
welcome,2
owned,2
white,2
extensive,2
large,2
leaf,2
tasty,2
Beautiful,2
bridal,2
similar,1
bold,1
Friendly,1
grateful,1
rainy,1
Comfortable,1
individual,1
outside,1
aromatic,1
clear,1
intimate,1
everyday,1
nurturing,1
unplug,1
Peaceful,1
labyrinth,1
gal,1
warmest,1
generous,1
southern,1
interactive,1
personable,1
tabletop,1
charming,1
On-site,1
easy,1
yummy,1
soothing,1
thoughtful,1
happy,1
tranquil,1
stellar,1
vast,1
true,1
curious,1
comfy,1
floral,1
Indian,1
relaxed,1
magical,1
quaint,1
w/Golden,1
“,1
card,1
intentioned,1
promotional,1
welcomed,1
nakery,1
original,1
second,1
tin-,1
ceramic,1
old,1
wrong,1
maximum,1
loud,1
boisterous,1
obnoxious,1
negative,1
please,1
unfortunately,1
tea😉THE,1
terrible,1
less,1
condescending,1
disappointed,1
joyful,1
yoga,1
Best,1
want,1
near,1
intermit,1
pure,1
30-50,1
enough,1
affordable,1
sanctuary,1
bigger,1
essential,1
due,1
viewing,1
Nice,1
talented,1
social,1
lemon,1
fantastic,1
Awesome,1
Must,1
artist,1
guest,1
better,1
absolute,1
Fantastic,1
perfectly-steeped,1
green,1
hearth,1
nooks,1
baked,1
unexpected,1
mindful,1
rich,1
mic,1
unwind,1
connect,1
gracious,1
least,1
weekly,1
Good,1
big,1
outstanding,1
