Adjective,Count
great,39
good,19
friendly,15
secret,13
new,12
Good,10
unique,10
awesome,10
favorite,9
nice,9
Great,9
best,8
hidden,7
cool,7
warm,6
large,6
amazing,6
different,6
solid,5
live,5
many,5
perfect,5
big,5
comfortable,4
delicious,4
top,4
fun,4
sure,4
tasty,4
wonderful,4
cozy,4
outdoor,4
eclectic,4
sour,4
fantastic,4
Friendly,4
outside,3
creative,3
private,3
excellent,3
pleasant,3
previous,3
super,3
much,3
whole,3
coolest,2
short,2
less,2
wide,2
to-go,2
small,2
interior,2
seasonal,2
special,2
Nice,2
patio,2
glad,2
interesting,2
easy,2
overall,2
Top,2
helpful,2
skyline,2
worth,2
tap,2
happy,2
available,2
expansive,2
Best,2
Excellent,2
old,2
open,2
uptown,2
library,2
unmatched,2
ordinary,1
welcoming,1
inviting,1
massive,1
positive,1
loud,1
timey,1
Knowledgeable,1
deplorable,1
speakeasy,1
full,1
bald,1
second,1
petty,1
least,1
character,1
weird,1
visible,1
main,1
artistic,1
experimental,1
partitioned-off,1
casual,1
notice,1
dark,1
female,1
subsequent,1
subpar,1
funky,1
killer,1
long,1
degree,1
easygoing/low-key,1
tiny,1
incredible,1
slow,1
able,1
Awesome,1
huge,1
twin,1
Tasty,1
overpriced,1
traditional,1
attentive,1
quality,1
dog,1
Amazing,1
inexperienced,1
fake,1
actual,1
rude,1
Favorite,1
atmosphere,1
phenomenal,1
aesthetic,1
Such,1
fruited,1
appropriate,1
Rustic,1
hesitant,1
refreshing,1
authentic,1
knowledgeable,1
Wonderful,1
lucky,1
exceptional,1
Most,1
irish,1
industrial,1
soft,1
several,1
awkward,1
local,1
late,1
absolute,1
nicest,1
homey,1
last,1
cheese,1
kindest,1
soild,1
enjoyable,1
taco,1
impressed,1
quarantine,1
original,1
accent,1
Secret,1
wish,1
Fantastic,1
beautiful,1
Ample,1
spacious,1
cold,1
north,1
Overall,1
library-like/English,1
pub,1
alcoholic,1
close,1
distant,1
added,1
pretty,1
true,1
comfy,1
Similar,1
sweet,1
Wrong,1
boring,1
ok,1
stunning,1
open-air,1
newest,1
due,1
definite,1
strange,1
luxurious,1
