Adjective,Count
great,76
good,61
best,39
friendly,34
nice,26
vegan,25
delicious,25
amazing,15
favorite,15
excellent,15
local,13
Great,13
Good,12
awesome,12
iced,11
super,11
fantastic,11
helpful,10
little,10
small,10
quiet,9
cute,9
better,9
hot,9
available,8
cold,8
Best,8
quick,7
many,7
wonderful,7
big,7
Excellent,7
perfect,7
cool,7
upstairs,7
unique,7
comfortable,6
sweet,6
Queen,6
new,6
different,6
beautiful,6
Most,5
Friendly,5
special,5
tasty,5
white,5
sure,5
uptown,5
natural,5
rude,4
top,4
whole,4
Nice,4
fresh,4
Fantastic,4
first,4
red,4
happy,4
busy,4
several,4
drip,4
clean,4
next,4
open,4
atmosphere,3
bad,3
outside,3
creative,3
fabulous,3
flat,3
seasonal,3
huge,3
non,3
average,3
right,3
horrible,3
cozy,3
ok,3
various,3
vegetarian,3
go-to,3
overall,3
full,3
smooth,3
green,3
golden,2
”,2
extra,2
expansive,2
cheese,2
delicious-,2
chill,2
fancy,2
ceramic,2
second,2
Last,2
thick,2
large,2
personal,2
added,2
possible,2
gluten-free/vegan,2
worth,2
expensive,2
slow,2
Clean,2
casual,2
yummy,2
dairy,2
welcome,2
spacious,2
patient,2
multiple,2
able,2
front,2
okay,2
last,2
pricey,2
sorry,2
late,2
consistent,2
incredible,2
interior,2
exceptional,2
active,2
Wish,2
professional,2
less,2
Amazing,2
eclectic,2
downtown,2
interesting,2
much,2
modern,2
knowledgeable,2
free,2
personable,2
Authentic,1
sour,1
Easy,1
scannable,1
pet,1
regular,1
damn,1
enough,1
solid,1
normal,1
basic,1
cheaper,1
authentic,1
proper,1
breakfast,1
Impossible,1
chicken,1
sand-which,1
timely,1
puppy,1
soggy,1
polite,1
tiny,1
bacon,1
visible,1
veggie,1
thin,1
balanced,1
deep-toned,1
general,1
creamy,1
trained,1
enjoyable,1
delcious,1
raw,1
Spacious,1
dismissive,1
disrespectful,1
wrong,1
dyed,1
frequent,1
pathetic,1
Such,1
historical,1
online,1
ready,1
tired,1
hippy,1
willing,1
Real,1
leaf,1
superrrr,1
attentive,1
mediocre,1
quite,1
chownow,1
total,1
innocent,1
drinkable,1
isolated,1
despicable,1
10-15,1
wild,1
special/new,1
entertaining,1
black,1
spectacular,1
seating,1
meticulous,1
fine,1
exemplary,1
Next,1
Solid,1
young,1
pleasant,1
sweeter,1
cream,1
oat,1
dark,1
correct,1
trendy,1
filling,1
couple,1
“,1
comfy,1
lounge-,1
gracias,1
delish,1
Inclusive,1
delightful,1
decent,1
indoor,1
clear,1
10-10,1
Well-worth,1
adventurous,1
eco-friendly,1
supportive,1
freshest,1
crimson,1
spotty,1
easier,1
convenient,1
chai,1
lonely,1
social,1
south,1
urban,1
inclusive,1
couch,1
snobbier,1
talkative,1
strong,1
baked,1
rea,1
mine,1
disappointed,1
up-charge,1
scrabble,1
lousy,1
Seasonal,1
gf,1
bear,1
industrial,1
Starbucks-like,1
atmosphere/,1
hard,1
former,1
evident,1
unpleasant,1
stale,1
future,1
long,1
massive,1
cramped,1
downstairs,1
crown,1
unable,1
bizarre,1
overly,1
warm,1
greasy,1
weird,1
artsy,1
flavorful,1
balsamic,1
rare,1
drink,1
welcoming,1
soy,1
rich,1
short,1
odd,1
conducive,1
entire,1
difficult,1
C'mon,1
it-all,1
unbearable-so,1
lucky,1
foam,1
real,1
Modern,1
pumpkin,1
ups,1
Phenomenal,1
talented,1
revolving,1
relaxing,1
Cool,1
20-or-so,1
fav,1
friendliest,1
Quiet,1
bigger,1
archaic,1
pecan,1
lemon,1
flaky,1
gorgeous,1
tight,1
Terrible,1
terrible,1
loft,1
Expensive,1
decaf,1
efficient,1
positive,1
First,1
impressive,1
alone,1
heavy,1
upscale,1
owl,1
loud,1
Impressive,1
avid,1
More,1
light,1
Every,1
relaxed,1
FABulous,1
happier,1
fanatic,1
ive,1
matcha,1
sooo,1
easy,1
diverse,1
chic,1
wine,1
trivia,1
live,1
cinnamon,1
latte-the,1
clearly-labeled,1
a-ma-zing,1
least,1
carrot,1
curtious,1
fun,1
past,1
caprese,1
cheerful,1
Free,1
angood,1
Rich,1
hidden,1
glad,1
hightop,1
larger,1
nitro,1
fig,1
nicest,1
genuine,1
Tasty,1
