Adjective,Count
great,16
good,15
friendly,12
sweet,11
nice,10
delicious,7
many,6
cheese,5
best,5
super,5
different,5
awesome,4
Good,4
Korean,4
helpful,4
clean,4
extra,4
additional,4
amazing,3
high,3
wrong,3
large,3
available,3
bubble,3
much,3
light,3
sure,3
tasty,3
last,3
soft,3
right,3
decent,3
original,2
near,2
dry,2
new,2
favorite,2
cool,2
comfortable,2
disappointed,2
Overall,2
local,2
quiet,2
fresh,2
cute,2
popcorn,2
strong,2
korean,2
unique,2
worth,2
nicest,1
red,1
addictive,1
efficient,1
caramelized,1
rosemary,1
easy,1
unhappy,1
mediocre,1
low,1
refreshing,1
liquid,1
Weird,1
Bubble,1
overwhelming,1
first,1
freshest,1
lounge,1
Next,1
independent,1
Delicious,1
eager,1
fast,1
expensive,1
special…,1
bottom,1
bitter,1
drinkable,1
couch,1
cozy,1
separate,1
worst,1
bad,1
nearby,1
competitive,1
modern,1
relaxed,1
whole,1
heavy,1
mixed,1
nicer,1
wonderful,1
informative,1
able,1
special,1
atmospheric,1
huge,1
French,1
pricey,1
mayo,1
sauce…,1
authentic,1
Cute,1
stronger,1
Such,1
several,1
consistent,1
giant,1
Clean,1
odd,1
squishy,1
trendy,1
green,1
Friendly,1
framed,1
fun,1
favourite,1
golden,1
oolong,1
fried,1
discriminatory,1
sugar,1
likely,1
ok,1
irritated,1
seasoned,1
cajun,1
fancy,1
bold,1
headcheese,1
rich,1
Hawaiian,1
peaceful,1
starbicks,1
smells,1
Great,1
full,1
floral,1
specialized,1
hot,1
cold,1
chill,1
little,1
regular,1
dish,1
real,1
welcoming,1
First,1
fine,1
Taiwanese,1
descent,1
Smart,1
happy,1
