Adjective,Count
good,57
great,37
bubble,23
delicious,22
first,21
favorite,16
friendly,16
amazing,14
nice,13
different,13
best,12
boba,12
green,12
awesome,12
little,10
much,9
bad,9
sweet,9
free,8
Great,8
hot,8
new,8
popcorn,8
small,7
extra,7
cool,6
clean,6
sure,6
Good,6
quick,6
many,6
helpful,5
black,5
fresh,5
Best,5
tea,5
tasty,5
super,5
Vietnamese,4
full,4
next,4
real,4
whole,4
cute,4
big,4
Bubble,4
easy,4
last,3
soft,3
fast,3
red,3
ok,3
Korean,3
“,3
unique,3
cauliflower,3
fried,3
regular,3
huge,3
classic,3
stale,3
Delicious,3
flavorful,3
worth,3
Friendly,3
expensive,3
close,2
terrible,2
Such,2
similar,2
disappointed,2
brown,2
sad,2
local,2
military,2
patient,2
mango,2
hungry,2
nasty,2
young,2
actual,2
like,2
okay,2
wide,2
half,2
least,2
empty,2
beautiful,2
excited,2
pretty,2
w/,2
courteous,2
queen,2
simple,2
crystal,2
wish,2
ready,2
cold,2
high,2
Wonderful,2
hidden,2
refreshing,2
iced,2
happy,2
perfect,2
lychee,2
right,2
glad,2
less,2
go-to,2
available,2
waffle,2
cheese,2
hard,2
First,2
Pure,1
hyperbolic,1
French,1
Oreo,1
liquid,1
👎🏼👎🏼,1
enjoyable,1
confusing,1
secret,1
poor,1
bland,1
bit,1
guys,1
informative,1
taro,1
fun,1
nose,1
rude,1
u,1
nutritional,1
smoothie,1
powdered,1
major,1
vegan,1
second,1
unfortunate,1
gentle,1
buzz,1
short-ribs,1
short,1
banh,1
overpriced,1
teas,1
greater,1
strong,1
Last,1
herbal,1
wrong,1
warm,1
exhausted,1
walked,1
thirsty,1
bright,1
”,1
brought,1
rainy,1
eve,1
prettty,1
tasteful,1
cayenne,1
Many,1
Cajun,1
original,1
welcoming,1
Taiwanese,1
pressured,1
personal,1
fantastic,1
strange,1
rich,1
interior,1
smart,1
processed,1
healthy,1
strawberry,1
absolute,1
yum,1
plus,1
better,1
previous,1
Previous,1
dumb,1
Amazing,1
update,1
open,1
gray,1
basic,1
corporate,1
tapioca,1
online/in,1
horrible,1
old,1
excellent,1
current,1
able,1
overall,1
weird,1
Queen,1
Excellent,1
wonderful,1
ice,1
online,1
inconsistent,1
correct,1
several,1
freaking,1
due,1
nostalgic,1
Decent,1
slow,1
chewy,1
knowledgeable,1
amazinggg,1
bigger,1
numerous,1
worst,1
cup,1
novel,1
creative,1
Ridiculous,1
Rose,1
aka,1
sized,1
delicious.The,1
vietnamese,1
trendy,1
🍗,1
modern,1
light,1
thick,1
20-24,1
competitive,1
common,1
+,1
crispy,1
lemon,1
creamy,1
large,1
popular,1
yummy,1
low,1
sauce,1
tender,1
convenient,1
salt,1
pepper,1
soggy,1
delish,1
Most,1
🍵,1
quiet,1
decent,1
Sure,1
late,1
nearby,1
fourth,1
caffeine,1
Casual,1
Pleasant,1
ample,1
Went,1
familiar,1
foreign-sounding,1
taro-flavored,1
Delish,1
garnish,1
Other,1
Nice,1
Phenomenal,1
detailed,1
pleasant,1
frequent,1
incredible,1
added,1
pricey,1
portable,1
greasy,1
Asian-themed,1
Asian,1
Indian,1
board/card,1
cozy,1
addicted,1
authentic,1
chic,1
spacious,1
cutest,1
15-20,1
comparable,1
.....,1
long,1
