Adjective,Count
great,25
good,24
Resident,8
cool,7
super,7
new,7
best,6
south,6
incredible,5
Good,5
nice,5
long,4
busy,4
amazing,4
bad,4
better,4
grand,4
attentive,3
sure,3
local,3
regular,3
excellent,3
due,3
friendly,3
outside,3
favorite,3
wonderful,3
last,3
tasty,3
enough,3
Overall,3
main,3
Best,2
Other,2
casual,2
little,2
small,2
much,2
low,2
larger,2
pretty,2
popular,2
free,2
open,2
solid,2
Friendly,2
sensitive,2
Great,2
old,2
slow,2
ready,2
hard,2
wait,2
delicious,2
different,2
big,2
Excellent,2
horrible,2
aggressive,2
disappointed,2
available,2
outdoor,2
multiple,2
colorful,2
obvious,2
potential,1
bigger,1
active,1
brunch,1
light,1
fast,1
original,1
wine,1
non-existent,1
trendiness,1
high,1
Second,1
Sublime,1
resident,1
longer,1
top,1
bitter,1
greasy,1
enjoyable,1
go-to,1
mobile,1
plant-filled,1
unique,1
quirky,1
true,1
double,1
flavorful,1
espresso,1
tight,1
helpful,1
uncomfortable,1
absolute,1
tap,1
mixed,1
”,1
sour,1
—,1
crowded,1
beat,1
empty,1
clear,1
tremendous,1
reputable,1
higher,1
personalized,1
door,1
many,1
prospective,1
nonexistent,1
decent,1
sound,1
Long,1
biggest,1
pricy,1
glad,1
full,1
non,1
hungry,1
nightclub,1
social,1
weird,1
simple,1
loud,1
photogenic,1
chill,1
terrible,1
young,1
horrendous,1
unjustifiable,1
satisfied,1
Sadistic,1
poor,1
Worst,1
black,1
absurd,1
past,1
brief,1
unlawful,1
awesome,1
happy,1
impressed,1
lousy,1
21-26,1
sugar,1
cheap,1
certain,1
destination/entertainment,1
several,1
Smallest,1
ok,1
picnic,1
Loud,1
quick,1
industrial,1
Open,1
vibrant,1
energetic,1
wide,1
uncommon,1
southwestern,1
burrito,1
on-site,1
useless,1
🙄,1
accommodating,1
present,1
entire,1
private,1
spacious,1
natural,1
beautiful,1
fastest,1
messy,1
extra,1
movable,1
mini,1
loose,1
hot,1
fresh,1
onsite,1
walkable,1
outstanding,1
ironic,1
basic,1
fantastic,1
laid,1
understandable,1
scan,1
Amazing,1
normal,1
able,1
quite,1
modern,1
taco,1
physical,1
website/QR,1
smaller,1
Mexican,1
sensory,1
clean,1
tacos,1
